kind	k	cohorts	combo	score	malig_def	unit	n	rho	p	I2	stouffer_z	stouffer_p	note	loo	source	n_q1	n_q4	n_compared	r_rb	p_q4q1	delta_median	thin_q4
single	1	GSE123902	GSE123902	mean	marker_malig	donor	13	-0.6538461538461539	0.015348516732105473	0.0			Laughney 2020 tumor/met donors; marker-malignant; normals dropped		this_pr							True
single	1	GSE127465	GSE127465	mean	tisch_malig	patient	7	0.10714285714285716	0.8191508555699912	0.0			TISCH patient units, n_mal>=20 and n_tnk>=20		this_pr							True
single	1	GSE131907	GSE131907	mean	author_malig	sample	21	-0.39610389610389607	0.07547637795047248	0.0			author Malignant; tumor sites; n_mal>=20; sample-level (Kim 2020)		this_pr	6.0	5.0	11.0	-0.5333333333333333	0.17748917748917747	-0.24036941118890154	True
single	1	GSE148071	GSE148071	mean	tisch_malig	patient	22	0.07961603613777528	0.7246926801743929	0.0			TISCH malignant (drop 3 epithelial-like); n_mal>=20		this_pr	6.0	6.0	12.0	-0.05555555555555558	0.9372294372294373	-0.05241397789913105	False
single	1	GSE189357	GSE189357	mean	marker_malig	patient	9	-0.5166666666666667	0.15439012098622507	0.0			Zhu/Wang AIS–IAC; 9 patients; marker-malignant		this_pr							True
single	1	GSE205335	GSE205335	mean	author_malig	patient	22	-0.20045172219085267	0.3710825718233011	0.0			author malignant, all subtypes		this_pr	6.0	6.0	12.0	-0.5555555555555556	0.13203463203463203	-0.16474964596607827	False
single	1	GSE207422	GSE207422	mean	author_DRMref	patient	12	-0.09090909090909093	0.7787253962454419	0.0			locked A3 DRMref 12-patient table; CLDN4 mean only (%pos absent)		this_pr							True
single	1	GSE123902	GSE123902	pct	marker_malig	donor	13	-0.6593406593406593	0.0142255785114567	0.0			Laughney 2020 tumor/met donors; marker-malignant; normals dropped		this_pr							True
single	1	GSE127465	GSE127465	pct	tisch_malig	patient	7	0.1785714285714286	0.7016579425162727	0.0			TISCH patient units, n_mal>=20 and n_tnk>=20		this_pr							True
single	1	GSE131907	GSE131907	pct	author_malig	sample	21	-0.5220779220779221	0.015195754492505785	0.0			author Malignant; tumor sites; n_mal>=20; sample-level (Kim 2020)		this_pr	6.0	5.0	11.0	-0.6	0.12554112554112554	-0.3416745582410896	True
single	1	GSE148071	GSE148071	pct	tisch_malig	patient	22	-0.015245623941276118	0.9463127607520941	0.0			TISCH malignant (drop 3 epithelial-like); n_mal>=20		this_pr	6.0	6.0	12.0	-0.05555555555555558	0.9372294372294373	-0.05241397789913105	False
single	1	GSE189357	GSE189357	pct	marker_malig	patient	9	-0.6	0.08762282904140249	0.0			Zhu/Wang AIS–IAC; 9 patients; marker-malignant		this_pr							True
single	1	GSE205335	GSE205335	pct	author_malig	patient	22	-0.43534726143421804	0.042861326301676765	0.0			author malignant, all subtypes		this_pr	6.0	6.0	12.0	-0.7777777777777778	0.025974025974025976	-0.3978244846100106	False
