kind	k	cohorts	combo	score	malig_def	unit	n	rho	p	I2	stouffer_z	stouffer_p	note	loo	source	member_rhos	member_ns	n_q1	n_q4	n_compared	r_rb	p_q4q1	delta_median	thin_q4
full_pool	7	GSE123902+GSE127465+GSE131907+GSE148071+GSE189357+GSE205335+GSE207422	FULL_POOL:GSE123902+GSE127465+GSE131907+GSE148071+GSE189357+GSE205335+GSE207422	mean	marker_malig+tisch_malig+author_malig+tisch_malig+marker_malig+author_malig+author_DRMref	mixed	106	-0.2522180595231167	0.028089021690579734	11.909051729261641	-2.3260264206670023	0.020017141250188178	FULL-POOL one row, not the answer; Fisher-z RE of 7 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.654,GSE127465:0.107,GSE131907:-0.396,GSE148071:0.080,GSE189357:-0.517,GSE205335:-0.200,GSE207422:-0.091	GSE123902:13,GSE127465:7,GSE131907:21,GSE148071:22,GSE189357:9,GSE205335:22,GSE207422:12	27	27	54	-0.3964334705075446	0.012731364269923499	-0.20478743487125278	False
full_pool	6	GSE123902+GSE127465+GSE131907+GSE148071+GSE189357+GSE205335	FULL_POOL:GSE123902+GSE127465+GSE131907+GSE148071+GSE189357+GSE205335	pct	marker_malig+tisch_malig+author_malig+tisch_malig+marker_malig+author_malig	mixed	94	-0.3910026723373074	0.002980259336627027	27.201966870964867	-3.508963364889749	0.0004498568651443729	FULL-POOL one row, not the answer; Fisher-z RE of 6 cohort Spearmans; n=sum of patients		this_pr	GSE123902:-0.659,GSE127465:0.179,GSE131907:-0.522,GSE148071:-0.015,GSE189357:-0.600,GSE205335:-0.435	GSE123902:13,GSE127465:7,GSE131907:21,GSE148071:22,GSE189357:9,GSE205335:22	24	24	48	-0.5208333333333333	0.0020517454392337897	-0.2786753734514373	False
