cohort	predictor	endpoint	n	rho	p	ci_lo	ci_hi	rho_adj_epithelial	p_adj_epithelial	verdict	note
LUAD_tumor	CLDN4	CD8A	58	-0.48106678150665977	0.00013206770411352097	-0.6595768867352861	-0.24392528355116916	-0.4234254151903376	0.0010313481193671191	HOLDS	
LUAD_tumor	CLDN4	ImmuneScore	58	-0.17745854994001664	0.18264041915753088	-0.411670230208126	0.0712005866398392	-0.12419311028126559	0.3573456611910328	NO_EVIDENCE	
LUAD_tumor	CLDN4	epithelial_z	58	0.3385216401611862	0.009343708397366228	0.09501068379820084	0.5570899204144621			NO_EVIDENCE	context
LUAD_tumor	CD8A	ImmuneScore	58	0.55956811959765	4.961767020038738e-06	0.3310245453179009	0.731070912069103	0.5377510666471983	1.6053245855196312e-05	OPPOSITE	positive control
LUAD_tumor	CLDN4	CD274	0							ABSENT_ON_GPL96	CD274 / PDCD1LG1 not on HG-U133A
LUAD_Current_Smoker	CLDN4	CD8A	24	-0.3869565217391304	0.06175922020928208	-0.730138379730209	0.04414365854050044	-0.29719139699614144	0.1684663566903218	UNDERPOWERED	smoking stratum; not the claim
LUAD_Current_Smoker	CLDN4	ImmuneScore	24	-0.2026086956521739	0.34237332678092114	-0.6104072905667435	0.27015051834130754	-0.16378720035664512	0.455210486321928	UNDERPOWERED	smoking stratum; not the claim
LUAD_Former_Smoker	CLDN4	CD8A	18	-0.38080495356037153	0.11898433684768547	-0.7321044621778238	0.11459019362486828	-0.38591298697143206	0.12603048122816926	UNDERPOWERED	smoking stratum; not the claim
LUAD_Former_Smoker	CLDN4	ImmuneScore	18	0.003095975232198142	0.990272385227047	-0.46105055270742196	0.42986726249586177	0.10143584902648223	0.6984779517594041	UNDERPOWERED	smoking stratum; not the claim
LUAD_Never_Smoked	CLDN4	CD8A	16	-0.5617647058823529	0.02353701647428084	-0.8241785910379525	-0.05112951807228957	-0.45450779418271	0.08874361734569311	UNDERPOWERED	smoking stratum; not the claim
LUAD_Never_Smoked	CLDN4	ImmuneScore	16	-0.5294117647058824	0.03495200678951804	-0.8496409436765565	0.03872618605391617	-0.5386732923275508	0.03828339079328425	UNDERPOWERED	smoking stratum; not the claim
