nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
0	31	0	31	0.0	1.0	1.680381178855896	1.680381178855896	Epithelial cells	1	31			False		
1	31	31	0	1.0	0.0	0.07368555665016174		NK cells	1	31			False		
2	31	0	31	0.0	1.0	2.1429643630981445	2.1429643630981445	Epithelial cells	1	31			False		
3	31	31	0	1.0	0.0	0.04294797033071518		NK cells	1	31			False		
4	31	31	0	1.0	0.0	0.1275670826435089		T lymphocytes	1	31			False		
5	31	0	0	0.0	0.0	0.19145849347114563		Myeloid cells	1	31			False		
6	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
7	31	0	31	0.0	1.0	1.6561782360076904	1.6561782360076904	Epithelial cells	1	31			False		
8	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
9	31	0	31	0.0	1.0	1.6875412464141846	1.6875412464141846	Epithelial cells	1	31			False		
10	31	31	0	1.0	0.0	0.1483236700296402		T lymphocytes	1	31			False		
11	31	0	31	0.0	1.0	1.011887550354004	1.011887550354004	Epithelial cells	1	31			False		
12	31	12	19	0.3870967741935484	0.6129032258064516	1.0428156852722168	1.7014360427856445	Epithelial cells	6	31	-0.6571428571428573	0.1561749271137024	True	0.4916363636363636	0.4758521052619837
13	31	0	31	0.0	1.0	1.8613635301589966	1.8613635301589966	Epithelial cells	1	31			False		
14	31	0	31	0.0	1.0	1.9826548099517822	1.9826548099517822	Epithelial cells	1	31			False		
15	31	0	31	0.0	1.0	2.169680595397949	2.169680595397949	Epithelial cells	3	31			False		
16	31	31	0	1.0	0.0	0.05277010798454285		NK cells	2	31			False		
17	31	0	0	0.0	0.0	0.042464807629585266		Myeloid cells	1	31			False		
18	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
19	31	31	0	1.0	0.0	0.25362175703048706		T lymphocytes	1	31			False		
20	31	0	31	0.0	1.0	2.0240094661712646	2.0240094661712646	Epithelial cells	3	31			False		
21	31	31	0	1.0	0.0	0.06584030389785767		NK cells	2	31			False		
22	31	0	0	0.0	0.0	0.032543767243623734		Myeloid cells	1	31			False		
23	31	0	31	0.0	1.0	1.347712755203247	1.347712755203247	Epithelial cells	1	31			False		
24	31	0	31	0.0	1.0	1.2554099559783936	1.2554099559783936	Epithelial cells	1	31			False		
25	31	31	0	1.0	0.0	0.4579618573188782		T lymphocytes	1	31			False		
26	31	0	31	0.0	1.0	2.064116954803467	2.064116954803467	Epithelial cells	1	31			False		
27	31	0	31	0.0	1.0	1.0958104133605957	1.0958104133605957	Epithelial cells	1	31			False		
28	31	0	31	0.0	1.0	1.3277742862701416	1.3277742862701416	Epithelial cells	2	31			False		
29	31	0	31	0.0	1.0	2.237607955932617	2.237607955932617	Epithelial cells	2	31			False		
30	31	0	31	0.0	1.0	1.9131163358688354	1.9131163358688354	Epithelial cells	1	31			False		
31	31	0	0	0.0	0.0	0.40032827854156494		Myeloid cells	1	31			False		
32	31	0	30	0.0	0.967741935483871	1.0436557531356812	1.078444242477417	Epithelial cells	1	31			False		
33	31	0	0	0.0	0.0	0.11366361379623413		Myeloid cells	1	31			False		
34	31	0	31	0.0	1.0	1.7799336910247803	1.7799336910247803	Epithelial cells	2	31			False		
35	31	0	31	0.0	1.0	1.666667103767395	1.666667103767395	Epithelial cells	2	31			False		
36	31	0	31	0.0	1.0	1.5341506004333496	1.5341506004333496	Epithelial cells	1	31			False		
37	31	0	31	0.0	1.0	1.813775658607483	1.813775658607483	Epithelial cells	2	31			False		
38	31	0	0	0.0	0.0	0.050288211554288864		B lymphocytes	1	31			False		
39	31	0	0	0.0	0.0	0.0		Myeloid cells	1	31			False		
40	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
41	31	0	31	0.0	1.0	1.9539430141448975	1.9539430141448975	Epithelial cells	2	31			False		
42	31	0	31	0.0	1.0	1.3683356046676636	1.3683356046676636	Epithelial cells	1	31			False		
43	31	0	0	0.0	0.0	0.296776682138443		Myeloid cells	1	31			False		
44	31	0	31	0.0	1.0	1.3341484069824219	1.3341484069824219	Epithelial cells	1	31			False		
45	31	0	31	0.0	1.0	1.6721082925796509	1.6721082925796509	Epithelial cells	1	31			False		
46	31	0	31	0.0	1.0	1.4319785833358765	1.4319785833358765	Epithelial cells	1	31			False		
47	31	0	31	0.0	1.0	1.8269280195236206	1.8269280195236206	Epithelial cells	1	31			False		
48	31	0	31	0.0	1.0	2.1135592460632324	2.1135592460632324	Epithelial cells	1	31			False		
49	31	0	31	0.0	1.0	2.4076626300811768	2.4076626300811768	Epithelial cells	1	31			False		
