cohort	contrast	n	spearman_rho	spearman_p	note	bh_q_primary
GSE131907	TACSTD2 vs B fraction	32	0.04545454545454545	0.8048872299009386		0.9149645472989616
GSE131907	TACSTD2 vs TLS12	32	0.43841642228739	0.012076318375102525		0.11271230483429023
GSE131907	CLDN4 vs B fraction	32	-0.3027859237536657	0.09209043331982752		0.257853213295517
GSE131907	CLDN4 vs TLS12	32	-0.22727272727272727	0.2109542734664188		0.41752772664405513
GSE131907	TACSTD2 vs CXCL13 mean	32	0.24816715542521994	0.17083431380850786		
GSE131907	TACSTD2 vs MS4A1 mean	32	0.11656891495601172	0.5252003200408104		
GSE131907	CLDN4 vs CXCL13 mean	32	-0.0971407624633431	0.5968734614273277		
GSE131907	CLDN4 vs MS4A1 mean	32	-0.2283724340175953	0.20869433096098186		
GSE131907	TACSTD2 vs B+plasma fraction	32	0.04545454545454545	0.8048872299009386		
GSE131907	TACSTD2 vs B fraction given epi fraction	32	-0.06430029665125211	0.7266179595969954	partial_on_epi_fraction	
GSE131907	CLDN4 vs TLS12 given epi fraction	32	0.03594158067815177	0.8451659003844464	partial_on_epi_fraction	
GSE148071	TACSTD2 vs B fraction	41	-0.0015831875494292523	0.9921618353169458		0.9921618353169458
GSE148071	TACSTD2 vs TLS12	41	-0.2165505226480837	0.17385556929512389		0.3846545394254218
GSE148071	CLDN4 vs B fraction	41	0.2153135067223783	0.176387376065848		0.3846545394254218
GSE148071	CLDN4 vs TLS12	41	-0.2918118466898955	0.06413434541286926		0.2384739259459898
GSE148071	TACSTD2 vs CXCL13 mean	41	-0.18987117292983668	0.23443022092153318		
GSE148071	TACSTD2 vs MS4A1 mean	41	0.09183053916391068	0.5679813695567438		
GSE148071	CLDN4 vs CXCL13 mean	41	-0.2695398536231323	0.08833887458890977		
GSE148071	CLDN4 vs MS4A1 mean	41	0.19018889763438176	0.2336336283919172		
GSE148071	TACSTD2 vs B+plasma fraction	41	0.18031358885017423	0.25926000607839245		
GSE148071	TACSTD2 vs B fraction given epi fraction	41	0.04587262732640219	0.7758016600688716	partial_on_epi_fraction	
GSE148071	CLDN4 vs TLS12 given epi fraction	41	-0.16845721514765097	0.29241341745058247	partial_on_epi_fraction	
GSE154826	TACSTD2 vs B fraction	30	-0.2289210233592881	0.22367556784502954		0.41752772664405513
GSE154826	TACSTD2 vs TLS12	30	0.33392658509454953	0.07131888151686552		0.2384739259459898
GSE154826	CLDN4 vs B fraction	30	-0.25230837846637955	0.1785896075903744		0.3846545394254218
GSE154826	CLDN4 vs TLS12	30	0.39715207721559737	0.02977040608762522		0.16671427409070122
GSE154826	TACSTD2 vs CXCL13 mean	30	0.44160177975528364	0.014563951168300312		
GSE154826	TACSTD2 vs MS4A1 mean	30	-0.2088987764182425	0.2679284761138114		
GSE154826	CLDN4 vs CXCL13 mean	30	0.3833574392394814	0.03651349216228933		
GSE154826	CLDN4 vs MS4A1 mean	30	-0.19067749589566776	0.3128283287160632		
GSE154826	TACSTD2 vs B+plasma fraction	30	0.015350389321468297	0.9358320204669303		
GSE154826	TACSTD2 vs B fraction given epi fraction	30	-0.08664135407541508	0.6489312356702224	partial_on_epi_fraction	
GSE154826	CLDN4 vs TLS12 given epi fraction	30	0.34146944282575714	0.06477816813472642	partial_on_epi_fraction	
GSE207422	TACSTD2 vs B fraction	15	-0.6357142857142856	0.010860746168789803		0.11271230483429023
GSE207422	TACSTD2 vs TLS12	15	0.2785714285714285	0.3147094732307908		0.5183450147330673
GSE207422	CLDN4 vs B fraction	15	-0.23928571428571427	0.3903793119202356		0.5465310366883298
GSE207422	CLDN4 vs TLS12	15	0.05357142857142857	0.8496099367776072		0.9149645472989616
GSE207422	TACSTD2 vs CXCL13 mean	15	-0.24285714285714283	0.38312834183934164		
GSE207422	TACSTD2 vs MS4A1 mean	15	-0.6499999999999999	0.008711583621912315		
GSE207422	CLDN4 vs CXCL13 mean	15	-0.48571428571428565	0.06642631232518953		
GSE207422	CLDN4 vs MS4A1 mean	15	-0.25	0.3688462917839305		
GSE207422	TACSTD2 vs B+plasma fraction	15	-0.5464285714285714	0.03506666021670983		
GSE207422	TACSTD2 vs B fraction given epi fraction	15	-0.6368504432396731	0.010676060494620918	partial_on_epi_fraction	
GSE207422	CLDN4 vs TLS12 given epi fraction	15	0.06668744223116913	0.8133284651322553	partial_on_epi_fraction	
GSE241934_IIT	TACSTD2 vs B fraction	11	-0.5545454545454546	0.07665233333978243		0.2384739259459898
GSE241934_IIT	TACSTD2 vs TLS12	11	-0.29090909090909095	0.3854569696913654		0.5465310366883298
GSE241934_IIT	CLDN4 vs B fraction	11	-0.6090909090909091	0.046695709354098905		0.21791331031912822
GSE241934_IIT	CLDN4 vs TLS12	11	-0.17272727272727276	0.6115423848512369		0.7639234895771025
GSE241934_IIT	TACSTD2 vs CXCL13 mean	11	-0.7818181818181819	0.004473162252783043		
GSE241934_IIT	TACSTD2 vs MS4A1 mean	11	-0.46363636363636374	0.15090149929248592		
GSE241934_IIT	CLDN4 vs CXCL13 mean	11	-0.7272727272727273	0.011204967253592074		
GSE241934_IIT	CLDN4 vs MS4A1 mean	11	-0.5181818181818182	0.1024915397909638		
GSE241934_IIT	TACSTD2 vs B+plasma fraction	11	-0.6454545454545455	0.03196279932801746		
GSE241934_IIT	TACSTD2 vs B fraction given epi fraction	11	-0.32593252702463255	0.32799743415185734	partial_on_epi_fraction	
GSE241934_IIT	CLDN4 vs TLS12 given epi fraction	11	-0.19931641855528184	0.5568257559761084	partial_on_epi_fraction	
GSE241934_RWC	TACSTD2 vs B fraction	24	0.5104347826086956	0.010817218599752947		0.11271230483429023
GSE241934_RWC	TACSTD2 vs TLS12	24	-0.021739130434782605	0.9196887674366273		0.9537513143787246
GSE241934_RWC	CLDN4 vs B fraction	24	0.24434782608695652	0.24985580217173992		0.43724765380054487
GSE241934_RWC	CLDN4 vs TLS12	24	-0.10434782608695652	0.6275085807240485		0.7639234895771025
GSE241934_RWC	TACSTD2 vs CXCL13 mean	24	-0.1660869565217391	0.4379669016082392		
GSE241934_RWC	TACSTD2 vs MS4A1 mean	24	0.4721739130434783	0.019822625417352607		
GSE241934_RWC	CLDN4 vs CXCL13 mean	24	0.054782608695652164	0.799308243488264		
GSE241934_RWC	CLDN4 vs MS4A1 mean	24	0.20869565217391303	0.32775348376704777		
GSE241934_RWC	TACSTD2 vs B+plasma fraction	24	0.4156521739130434	0.0433815483803308		
GSE241934_RWC	TACSTD2 vs B fraction given epi fraction	24	0.572480809384462	0.0034617981628900195	partial_on_epi_fraction	
GSE241934_RWC	CLDN4 vs TLS12 given epi fraction	24	-0.10465245318538591	0.6264986317903404	partial_on_epi_fraction	
GSE253013	TACSTD2 vs B fraction	9	-0.08333333333333334	0.831214097710308		0.9149645472989616
GSE253013	TACSTD2 vs TLS12	9	-0.35	0.35581957250178897		0.5465310366883298
