contrast	k	n_total	rho	p	ci_lo	ci_hi	tau2	Q	note	cohorts
TACSTD2 vs B fraction	7	162	-0.11021848769218553	0.4704619695386437	-0.3894996550611155	0.18762454908751477	0.10195827251019589	17.701338764255247		GSE131907,GSE148071,GSE154826,GSE207422,GSE241934_IIT,GSE241934_RWC,GSE253013
TACSTD2 vs TLS12	7	162	0.07802164182234923	0.548511771503355	-0.17538068207570642	0.32172835951240586	0.05937636673552722	12.814385578115614		GSE131907,GSE148071,GSE154826,GSE207422,GSE241934_IIT,GSE241934_RWC,GSE253013
CLDN4 vs B fraction	7	162	-0.09153349781357975	0.47164601984278987	-0.329023300176868	0.15684623718592497	0.05480589796659107	12.28985135386792		GSE131907,GSE148071,GSE154826,GSE207422,GSE241934_IIT,GSE241934_RWC,GSE253013
CLDN4 vs TLS12	7	162	-0.12925542654388697	0.3442116680927997	-0.3793723025845789	0.13846586998538954	0.07163739868903539	14.221534649545891		GSE131907,GSE148071,GSE154826,GSE207422,GSE241934_IIT,GSE241934_RWC,GSE253013
