name	count	pmids	term
title_abstract_ko_and_proteomics	2	30353739;20511395	"(CLDN4[Title/Abstract] OR ""claudin-4""[Title/Abstract] OR ""claudin 4""[Title/Abstract] OR Cldn4[Title/Abstract]) AND (knockout[Title/Abstract] OR knockdown[Title/Abstract] OR siRNA[Title/Abstract] OR shRNA[Title/Abstract] OR CRISPR[Title/Abstract]) AND (proteome[Title/Abstract] OR proteomic[Title/Abstract] OR proteomics[Title/Abstract] OR ""mass spectrometry""[Title/Abstract])"
all_fields_ko_and_proteomics	6	38345099;37889067;33757879;30353739;20511395;19318328	"(CLDN4 OR ""claudin-4"" OR ""claudin 4"" OR Cldn4) AND (knockout OR knockdown OR siRNA OR shRNA OR CRISPR) AND (proteomics OR proteome OR ""mass spectrometry"" OR ""LC-MS/MS"")"
