query_name	domain	accession	title	class	description_head
ae_CLDN4	biostudies-arrayexpress	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	exact_cldn4_mention	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice. WT mice and claudin 4 KO mice were ex
ae_CLDN4	biostudies-arrayexpress	E-GEOD-22493	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	exact_cldn4_and_perturbation	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells. CLDN4 gene was knocked down by CLDN4 siRNA lentivirus. Total RNA was extracted and microarray was perfomed to compare the gene profiling changes between CLDN4-overexpressing (Control) and CLDN4-silencing cells. The experiment was 
ae_CLDN4	biostudies-arrayexpress	E-GEOD-60885	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	exact_cldn4_and_perturbation	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K arr
ae_CLDN4	biostudies-arrayexpress	E-GEOD-84742	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	exact_cldn4_and_perturbation	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 act
ae_quoted_CLDN4	biostudies-arrayexpress	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	exact_cldn4_mention	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice. WT mice and claudin 4 KO mice were ex
ae_quoted_CLDN4	biostudies-arrayexpress	E-GEOD-22493	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	exact_cldn4_and_perturbation	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells. CLDN4 gene was knocked down by CLDN4 siRNA lentivirus. Total RNA was extracted and microarray was perfomed to compare the gene profiling changes between CLDN4-overexpressing (Control) and CLDN4-silencing cells. The experiment was 
ae_quoted_CLDN4	biostudies-arrayexpress	E-GEOD-60885	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	exact_cldn4_and_perturbation	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K arr
ae_quoted_CLDN4	biostudies-arrayexpress	E-GEOD-84742	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	exact_cldn4_and_perturbation	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 act
ae_CLDN4_AND_ko	biostudies-arrayexpress	E-GEOD-22493	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	exact_cldn4_and_perturbation	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells. CLDN4 gene was knocked down by CLDN4 siRNA lentivirus. Total RNA was extracted and microarray was perfomed to compare the gene profiling changes between CLDN4-overexpressing (Control) and CLDN4-silencing cells. The experiment was 
ae_CLDN4_AND_ko	biostudies-arrayexpress	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	exact_cldn4_mention	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice. WT mice and claudin 4 KO mice were ex
ae_CLDN4_AND_ko	biostudies-arrayexpress	E-GEOD-60885	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	exact_cldn4_and_perturbation	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K arr
ae_CLDN4_AND_ko	biostudies-arrayexpress	E-GEOD-84742	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	exact_cldn4_and_perturbation	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 act
bs_CLDN4_AND_ko	biostudies	S-EPMC9224287	Hypomethylation of <i>CLDN4</i> Gene Promoter Is Associated with Malignant Phenotype in Urinary Bladder Cancer.	exact_cldn4_mention	
bs_CLDN4_AND_ko	biostudies	S-EPMC8660803	SPTBN2 regulated by miR-424-5p promotes endometrial cancer progression via CLDN4/PI3K/AKT axis.	exact_cldn4_mention	
bs_CLDN4_AND_ko	biostudies	S-EPMC10472310	IGF2BP3 drives gallbladder cancer progression by m6A-modified CLDN4 and inducing macrophage immunosuppressive polarization.	exact_cldn4_mention	
bs_CLDN4_AND_ko	biostudies	S-EPMC7689408	BTEB2-Activated lncRNA TSPEAR-AS2 Drives GC Progression through Suppressing GJA1 Expression and Upregulating CLDN4 Expression.	exact_cldn4_mention	
bs_CLDN4_AND_ko	biostudies	S-EPMC4187039	Claudin 4 knockout mice: normal physiological phenotype with increased susceptibility to lung injury.	exact_cldn4_and_perturbation	
bs_CLDN4_AND_ko	biostudies	S-EPMC10105442	Claudin-4-adhesion signaling drives breast cancer metabolism and progression via liver X receptor β.	exact_cldn4_mention	
bs_CLDN4_AND_ko	biostudies	S-EPMC6481338	Targeting claudin-4 enhances CDDP-chemosensitivity in gastric cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC12281411	CLDN4 palmitoylation promotes hepatic-to-biliary lineage transition and lenvatinib resistance in hepatocellular carcinoma.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC9224287	Hypomethylation of <i>CLDN4</i> Gene Promoter Is Associated with Malignant Phenotype in Urinary Bladder Cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC10472310	IGF2BP3 drives gallbladder cancer progression by m6A-modified CLDN4 and inducing macrophage immunosuppressive polarization.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC8660803	SPTBN2 regulated by miR-424-5p promotes endometrial cancer progression via CLDN4/PI3K/AKT axis.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC3075966	C terminus of Clostridium perfringens enterotoxin downregulates CLDN4 and sensitizes ovarian cancer cells to Taxol and Carboplatin.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC9008023	TGF-β induces GBM mesenchymal transition through upregulation of CLDN4 and nuclear translocation to activate TNF-α/NF-κB signal pathway.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC6767752	High-CLDN4 ESCC cells harbor stem-like properties and indicate for poor concurrent chemoradiation therapy response in esophageal squamous cell carcinoma.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC7689408	BTEB2-Activated lncRNA TSPEAR-AS2 Drives GC Progression through Suppressing GJA1 Expression and Upregulating CLDN4 Expression.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC9942341	RBM15 suppresses hepatic insulin sensitivity of offspring of gestational diabetes mellitus mice via m6A-mediated regulation of CLDN4.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC7066891	The IL1β-HER2-CLDN18/CLDN4 axis mediates lung barrier damage in ARDS.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC10214683	Liposomes targeting the cancer cell-exposed receptor, claudin-4, for pancreatic cancer chemotherapy.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC10105442	Claudin-4-adhesion signaling drives breast cancer metabolism and progression via liver X receptor β.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC7527063	Porcine Reproductive and Respiratory Syndrome Virus Structural Protein GP3 Regulates Claudin 4 To Facilitate the Early Stages of Infection.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC6481338	Targeting claudin-4 enhances CDDP-chemosensitivity in gastric cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC5561086	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA mediated miRNA evasion.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC4187039	Claudin 4 knockout mice: normal physiological phenotype with increased susceptibility to lung injury.	exact_cldn4_and_perturbation	
bs_CLDN4	biostudies	S-EPMC6324772	Anti-claudin-4 extracellular domain antibody enhances the antitumoral effects of chemotherapeutic and antibody drugs in colorectal cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC4407676	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC6996904	Clostridium perfringens enterotoxin induces claudin-4 to activate YAP in oral squamous cell carcinomas.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC12626167	NK Cell‐Derived Small Extracellular Vesicles Armed With CLDN4‐Targeting Peptides Potentiate Radiotherapy in Gastric Cancer	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC8907593	Evaluation of the Prognostic Relevance of Differential Claudin Gene Expression Highlights Claudin-4 as Being Suppressed by TGFβ1 Inhibitor in Colorectal Cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC7226188	Targeting claudin-4 enhances chemosensitivity in breast cancer.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC9796105	Computational study of ion permeation through claudin-4 paracellular channels.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC10326589	Claudin 4 enhances the malignancy of glioma cells via NNAT/Wnt signaling.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-EPMC5815640	Claudin-4 Expression is Associated With Survival in Ovarian Cancer But Not With Chemotherapy Response.	exact_cldn4_mention	
bs_CLDN4	biostudies	S-BSST1967	CLDN4 palmitoylation promotes hepatic-to-biliary lineage transition and lenvatinib resistance in hepatocellular carcinoma	exact_cldn4_mention	
