query_name	domain	accession	title	class	description_head
pride_unquoted_CLDN4	pride	PXD051839	Mass-spectrometry analysis of isolated brain vessels from vehicle treated Foxf2iECKO, vehicle-treated Ctrl, and AKB-9778 treated Foxf2iECKO mice	no_exact_cldn4_string	To further characterize the role of endothelial Foxf2 in the maintenance of vascular function and examine a possible mediating effect of Tie2 signaling, we pharmacologically modulated Tie2 activity in mice and performed subsequent in vivo analyses together with studies on isolated brain vessels. Specifically, we applied AKB-9778, a selective small molecule inhibitor of vascular endothelial protein
pride_unquoted_CLDN4	pride	PXD051838	Mass-spectrometry analysis of brain endothelial cells (BECs) from Foxf2iECKO and Ctrl mice	no_exact_cldn4_string	To identify the molecular and cellular pathways mediating the effects of Foxf2 in brain endothelial cells (BECs), we performed proteomic analysis of mouse BECs. For this, we applied our previously published BEC enrichment protocol using magnetic-activated cell sorting (MACS) combined with liquid chromatography-mass spectrometry (LC-MS/MS) based proteomics (Todorov-Völgyi et al., 2024) to 6 months 
ae_CLDN4	biostudies-arrayexpress	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	exact_cldn4_mention	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice. WT mice and claudin 4 KO mice were ex
ae_CLDN4	biostudies-arrayexpress	E-GEOD-22493	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	exact_cldn4_and_perturbation	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells. CLDN4 gene was knocked down by CLDN4 siRNA lentivirus. Total RNA was extracted and microarray was perfomed to compare the gene profiling changes between CLDN4-overexpressing (Control) and CLDN4-silencing cells. The experiment was 
ae_CLDN4	biostudies-arrayexpress	E-GEOD-60885	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	exact_cldn4_and_perturbation	Previously we have shown that extravillous cytotrophoblast (EVT) outgrowth and migration on a collagen gel explant model were restricted by exposure to decidual natural killer cells (dNK). This study investigates the molecular causes behind this phenomenon. Genome wide DNA methylation of exposed and unexposed EVT was assessed using the Illumina Infinium HumanMethylation450 BeadChip array (450K arr
ae_CLDN4	biostudies-arrayexpress	E-GEOD-84742	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	exact_cldn4_and_perturbation	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 act
ae_CLDN4	biostudies-arrayexpress	E-GEOD-16876	Analysis of milk removal frequency on bovine mammary gene expression	no_exact_cldn4_string	Regulation of milk synthesis and secretion is controlled mostly through local (intra-mammary) mechanisms. To gain insight into the molecular pathways comprising this response, an analysis of mammary gene expression was conducted in 12 lactating cows shifted from twice daily to once daily milking. Tissues were sampled by biopsy from adjacent mammary quarters of these animals during the two milking 
ae_CLDN4	biostudies-arrayexpress	E-GEOD-4328	Identification of novel neuroendocrine markers by gene expression profiling	no_exact_cldn4_string	(This section will be revisited in good time prior to publication, for final approval) Research within the field of functional genomics provides a more profound understanding of living organisms, by elucidating the interaction between genes and gene products. This is of increasing importance in many fields, and especially within cancer research.  With the use of microarray technology, the gene exp
ae_CLDN4	biostudies-arrayexpress	E-GEOD-8337	Messenger RNA profiling of bovine endometrium during the estrous cycle using a custom-made cDNA array	no_exact_cldn4_string	The endometrium provides optimal conditions for the transport of sperm to the oviduct, to the site of fertilization, and later on for the reception of the embryo. To study these changes on the level of gene expression, a messenger RNA expression profiling of endometrium tissue samples collected from 19 cyclic heifers at five stages of the estrous cycle (days 0, 3.5, 12, 18, 20) was performed. RNA 
ae_quoted_CLDN4	biostudies-arrayexpress	E-GEOD-50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	exact_cldn4_mention	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice. WT mice and claudin 4 KO mice were ex
