sample,patient,n_high,n_low,mean_high,mean_low,ratio,threshold
LUAD-5 R1,Lung5,8576,5226,0.12733208955223882,0.19001148105625718,0.6701283987915408,2.0
LUAD-5 R2,Lung5,7904,5537,0.1624493927125506,0.1804226115224851,0.9003826701195122,2.0
LUAD-5 R3,Lung5,6379,5908,0.14720175576109107,0.1772173324306026,0.8306284365200821,2.0
LUSC-6,Lung6,16323,49873,0.04196532500153158,0.0547390371543721,0.7666434629309101,1.0
LUAD-9 R1,Lung9,19330,11030,0.07630625969994827,0.4300997280145059,0.1774152707610517,2.0
LUAD-9 R2,Lung9,34539,36954,0.048814383740119864,0.3466201223142285,0.1408296304732914,2.0
LUAD-12,Lung12,3723,11007,0.1807681976900349,0.7802307622422096,0.2316855556560566,2.0
LUAD-13,Lung13,13643,6853,0.4361210877373012,0.7280023347439077,0.5990655069680748,2.0
