set	name_in_paper	symbols_searched	present_in_moesm2_or_moesm5
isg10	ISG15	ISG15	no
isg10	MX1	MX1	no
isg10	OAS1	OAS1	yes
isg10	IFIT1	IFIT1	no
isg10	EIF2AK2	EIF2AK2	no
isg10	IRF7	IRF7	yes
isg10	STAT1	STAT1	no
isg10	RSAD2	RSAD2	no
isg10	BST2	BST2	yes
isg10	IFI44	IFI44	yes
sting_named	cGAS	CGAS,MB21D1	no
sting_named	STING	STING1,TMEM173	no
sting_named	LC3	MAP1LC3,MAP1LC3A,MAP1LC3B	no
sting_named	TBK1	TBK1	no
sting_named	IRF3	IRF3	no
sting_named	Beclin-1	BECN1	no
sting_named	Rab7	RAB7,RAB7A	no
