term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	fdr_family	size_note	contrast	kind	n_genes_ranked	n_perm	seed
REACTOME_NONHOMOLOGOUS_END_JOINING	0.255971	0.772586	0.322677	29	0.0523917	LIG4,PRKDC,LRIF1,HERC2,ATM,UBE2V2,TP53BP1,XRCC5,TDP2	9	0.397436	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
REACTOME_STING_MEDIATED_INDUCTION	-0.357431	-0.729373	0.447552	8	-0.00739455	TRIM21	1	0.447552	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	-0.621536	-1.79425	0.002997	38	-0.293835	IRF5,IRF1,HLA-C,OAS1,ISG20,OAS3,IFI6,IFI35,ISG15,BST2	10	0.0104895	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
REACTOME_INTERFERON_GAMMA_SIGNALING	-0.335164	-0.999999	0.281718	47	-0.0956922	TRIM25,GBP2,TRIM8,HLA-DRB1,FCGR1A,SMAD7,PML,TRIM5,CAMK2G,IRF5,IRF1,HLA-C,OAS1,JAK2,TRIM21,TRIM38,OAS3,TRIM6-TRIM34	18	0.397436	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
REACTOME_CLASS_I_MHC_PEPTIDE_LOADING	0.26767	0.721384	0.340659	19	0.0362849	SEC24A,PIK3C3,SEC24D,SEC23A	4	0.397436	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
IFN	-0.67437	-1.8415	0.001998	29	-0.45135	JAK2,OAS3,IFI6,IFI35,ISG15,IFI44,BST2	7	0.0104895	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
APM	-0.565586	-1.1916	0.148851	9	-0.1548	CALR,PSME1,PSME2,ERAP1,HLA-C	5	0.347319	pathway_sets_min8	standard floor	T47D	pathway	12635	1000	42
NHEJ_CORE	0.61748	1.25251	0.107892	6	0.231813	LIG4,PRKDC	2		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	T47D	named_panel	12635	1000	42
STING_AXIS	0.355605	0.589419	0.423576	3	0.0135391	MB21D1,TBK1,IRF3	3		not_applied_set_below_8	named panel below the 8-gene GSEA floor; nominal p only	T47D	named_panel	12635	1000	42
REACTOME_NONHOMOLOGOUS_END_JOINING	0.209037	0.591753	0.526474	29	0.0432976	ARTN,ATM,BRCA1,POLM,XRCC4,POLL,H2AFX,XRCC5,TP53BP1	9	0.526474	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
REACTOME_STING_MEDIATED_INDUCTION	0.285877	0.597582	0.484515	8	0.0914467	TRIM21,MB21D1,XRCC5,IRF3,XRCC6	5	0.526474	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	-0.514491	-1.5396	0.004995	38	-0.189662	USP18,IFITM1,RNASEL,IFI6,OAS3,IFNAR1,BST2,GBP2,IFITM2,OAS1,IFIT1,SOCS3,IFITM3,IRF6	14	0.034965	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
REACTOME_INTERFERON_GAMMA_SIGNALING	-0.392052	-1.24809	0.0629371	47	-0.0740587	TRIM6-TRIM34,OAS3,NCAM1,CAMK2B,GBP2,MT2A,OAS1,SOCS3,IRF6,HLA-DRB1,HLA-DRB5	11	0.146853	pathway_sets_min8	standard floor	MCF7	pathway	12635	1000	42
