gene	deposited_symbol	method	contrast	log2FC	stat	pvalue	fdr	fit
CLDN4	CLDN4	DESeq2	T47D	-1.04786	-9.72277	2.41137e-22	2.38164e-20	parametric
TACSTD2	TACSTD2	DESeq2	T47D	-0.641831	-7.89569	2.88708e-15	1.61991e-13	parametric
PRKDC	PRKDC	DESeq2	T47D	0.257987	4.67617	2.92277e-06	4.47414e-05	parametric
LIG4	LIG4	DESeq2	T47D	0.125081	0.547849	0.583796	0.805736	parametric
XRCC4	XRCC4	DESeq2	T47D	-0.0981017	-0.592343	0.553621	0.786313	parametric
XRCC5	XRCC5	DESeq2	T47D	0.167656	3.4193	0.000627834	0.00507191	parametric
XRCC6	XRCC6	DESeq2	T47D	-0.19466	-3.83902	0.000123527	0.00122846	parametric
NHEJ1	NHEJ1	DESeq2	T47D	0.0464892	0.294666	0.768249	0.911357	parametric
CGAS	CGAS	DESeq2	T47D	0.364722	2.77578	0.00550703	0.0310808	parametric
STING1	STING1	DESeq2	T47D	0.429167	0.515628	0.606114	0.820148	parametric
TBK1	TBK1	DESeq2	T47D	0.0281676	0.360516	0.718462	0.885589	parametric
IRF3	IRF3	DESeq2	T47D	-0.0749516	-0.648069	0.51694	0.761417	parametric
CLDN4	CLDN4	edgeR_QL	T47D	-1.05427	-255.806	1.62173e-10	2.02601e-08	QLF_common_disp_0.001336
TACSTD2	TACSTD2	edgeR_QL	T47D	-0.648424	-152.74	5.09597e-09	3.08756e-07	QLF_common_disp_0.001336
PRKDC	PRKDC	edgeR_QL	T47D	0.251568	28.2844	0.000101433	0.000831055	QLF_common_disp_0.001336
LIG4	LIG4	edgeR_QL	T47D	0.117018	0.786298	0.389909	0.536011	QLF_common_disp_0.001336
XRCC4	XRCC4	edgeR_QL	T47D	-0.105576	-1.06048	0.32023	0.465731	QLF_common_disp_0.001336
XRCC5	XRCC5	edgeR_QL	T47D	0.161202	13.3786	0.00250877	0.0109394	QLF_common_disp_0.001336
XRCC6	XRCC6	edgeR_QL	T47D	-0.201099	-20.352	0.000465492	0.00283343	QLF_common_disp_0.001336
NHEJ1	NHEJ1	edgeR_QL	T47D	0.0399742	0.173083	0.68357	0.790907	QLF_common_disp_0.001336
CGAS	CGAS	edgeR_QL	T47D	0.358375	22.3569	0.000306642	0.00202741	QLF_common_disp_0.001336
STING1	STING1	edgeR_QL	T47D	0.422425	0.839563	0.374734	0.521539	QLF_common_disp_0.001336
TBK1	TBK1	edgeR_QL	T47D	0.0214711	0.135917	0.717782	0.817052	QLF_common_disp_0.001336
IRF3	IRF3	edgeR_QL	T47D	-0.0822781	-1.329	0.267913	0.409943	QLF_common_disp_0.001336
CLDN4	CLDN4	limma_trend	T47D	-1.04916	-16.1699	5.16856e-10	6.69847e-08	limma_trend
TACSTD2	TACSTD2	limma_trend	T47D	-0.646869	-12.5209	1.20218e-08	7.44011e-07	limma_trend
PRKDC	PRKDC	limma_trend	T47D	0.252406	5.37529	0.000124767	0.00103043	limma_trend
LIG4	LIG4	limma_trend	T47D	0.115117	0.902009	0.3834	0.52855	limma_trend
XRCC4	XRCC4	limma_trend	T47D	-0.0991622	-0.970467	0.34946	0.494574	limma_trend
XRCC5	XRCC5	limma_trend	T47D	0.16152	3.6866	0.00272318	0.0119356	limma_trend
XRCC6	XRCC6	limma_trend	T47D	-0.200511	-4.54221	0.000547855	0.00334324	limma_trend
NHEJ1	NHEJ1	limma_trend	T47D	0.0445464	0.463987	0.650303	0.764252	limma_trend
CGAS	CGAS	limma_trend	T47D	0.355473	4.74283	0.000380494	0.002518	limma_trend
STING1	STING1	limma_trend	T47D	0.328602	0.889413	0.389884	0.534829	limma_trend
TBK1	TBK1	limma_trend	T47D	0.0215078	0.368452	0.718445	0.814847	limma_trend
IRF3	IRF3	limma_trend	T47D	-0.0824614	-1.15813	0.267571	0.409072	limma_trend
CLDN4	CLDN4	DESeq2	MCF7	-0.763262	-11.8533	2.06834e-32	1.68013e-30	parametric
TACSTD2	TACSTD2	DESeq2	MCF7	-1.04165	-14.5499	5.84718e-48	9.00466e-46	parametric
PRKDC	PRKDC	DESeq2	MCF7	-0.157092	-4.16881	3.06192e-05	0.000237499	parametric
LIG4	LIG4	DESeq2	MCF7	-0.0259951	-0.141813	0.887227	0.953947	parametric
XRCC4	XRCC4	DESeq2	MCF7	0.294072	2.12165	0.0338674	0.106327	parametric
XRCC5	XRCC5	DESeq2	MCF7	0.162237	5.34684	8.95032e-08	1.0793e-06	parametric
XRCC6	XRCC6	DESeq2	MCF7	0.0947029	2.92021	0.00349799	0.0162012	parametric
NHEJ1	NHEJ1	DESeq2	MCF7	-0.125957	-0.811126	0.417294	0.65148	parametric
CGAS	CGAS	DESeq2	MCF7	0.190868	1.38703	0.165431	0.353993	parametric
STING1	STING1	DESeq2	MCF7	0.403064	0.632105	0.527318	0.744503	parametric
TBK1	TBK1	DESeq2	MCF7	0.0502851	0.924204	0.35538	0.59226	parametric
IRF3	IRF3	DESeq2	MCF7	0.186397	1.96132	0.0498418	0.144556	parametric
CLDN4	CLDN4	edgeR_QL	MCF7	-0.762311	-448.869	3.79856e-11	3.84743e-09	QLF_common_disp_0.0004436
TACSTD2	TACSTD2	edgeR_QL	MCF7	-1.04055	-742.991	1.75109e-12	3.86391e-10	QLF_common_disp_0.0004436
PRKDC	PRKDC	edgeR_QL	MCF7	-0.156067	-30.4072	0.000116282	0.000594026	QLF_common_disp_0.0004436
LIG4	LIG4	edgeR_QL	MCF7	-0.0268342	-0.0565442	0.81591	0.87297	QLF_common_disp_0.0004436
XRCC4	XRCC4	edgeR_QL	MCF7	0.294102	15.1139	0.00201667	0.00655364	QLF_common_disp_0.0004436
XRCC5	XRCC5	edgeR_QL	MCF7	0.163282	43.2765	2.18251e-05	0.000147469	QLF_common_disp_0.0004436
XRCC6	XRCC6	edgeR_QL	MCF7	0.0957631	12.2756	0.00412602	0.0120433	QLF_common_disp_0.0004436
NHEJ1	NHEJ1	edgeR_QL	MCF7	-0.123431	-1.95236	0.186721	0.28758	QLF_common_disp_0.0004436
CGAS	CGAS	edgeR_QL	MCF7	0.191954	6.2464	0.0273146	0.0591676	QLF_common_disp_0.0004436
