method	contrast	term	thesis	direction	thesis_sign_match	test	effect	mean_log2FC	pvalue	n_set_in_test	lfc_floor	family	note	gsea_lead	de_fit	fdr_within_family	fdr_global
DESeq2	T47D	NHEJ_CORE	down	up	False	gsea	1.09375	0.0507421	0.188811	6	0	primary	two-sided gene-set permutation	PRKDC,XRCC5	parametric	0.274725	0.520897
DESeq2	T47D	NHEJ_CORE	down	up	False	mean_stat_perm	0.751104	0.0507421	0.415584	6	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.753532	0.691505
DESeq2	T47D	NHEJ_CORE	down	up	False	wilcoxon_log2FC	0.0507421	0.0507421	0.5625	6	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.883929	0.795732
DESeq2	T47D	NHEJ_CORE	down	up	False	wilcoxon_thesis_sided	0.0507421	0.0507421	0.78125	6	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.956823
DESeq2	T47D	STING_AXIS	up	up	True	gsea	0.978456	0.186776	0.248751	4	0	primary	two-sided gene-set permutation	CGAS	parametric	0.274725	0.573
DESeq2	T47D	STING_AXIS	up	up	True	mean_stat_perm	0.750962	0.186776	0.47952	4	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.753532	0.729158
DESeq2	T47D	STING_AXIS	up	up	True	wilcoxon_log2FC	0.186776	0.186776	0.375	4	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.6875	0.65625
DESeq2	T47D	STING_AXIS	up	up	True	wilcoxon_thesis_sided	0.186776	0.186776	0.1875	4	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	0.520897
DESeq2	T47D	IFN	up	down	False	gsea	-1.40734	-0.344747	0.045954	48	0	primary	two-sided gene-set permutation	IFIH1,IRF9,IRF1,JAK2,USP18,IFI27,LY6E,IFI35,OAS3,IFI44,BST2,IFI6,ISG15	parametric	0.21978	0.352025
DESeq2	T47D	IFN	up	down	False	mean_stat_perm	-0.715892	-0.344747	0.0749251	48	0	primary	two-sided gene-label permutation of mean statistic		parametric	0.274725	0.422494
DESeq2	T47D	IFN	up	down	False	wilcoxon_log2FC	-0.344747	-0.344747	0.133869	48	0	primary	two-sided Wilcoxon of gene log2FC vs 0		parametric	0.294512	0.483119
DESeq2	T47D	IFN	up	down	False	wilcoxon_thesis_sided	-0.344747	-0.344747	0.934401	48	0	sensitivity	one-sided Wilcoxon in the thesis direction		parametric	0.999554	1
