set	line	contrast	n_requested	n_mapped	n_expressed	n_low	n_absent	absent_genes	score_WT_NC	score_KO	delta_KO_minus_WT	delta_all_mapped	n_up	n_down	n_flat	up_genes	down_genes	score_definition	both_lines
NHEJ_CORE	T47D	T47D CLDN4-/- vs WT(NC)	6	6	6	0	0	.	4.94569	5.1775	0.231813	0.231813	2	0	4	PRKDC,LIG4	.	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
NHEJ_CORE	MCF7	MCF7 CLDN4-/- vs WT(NC)	6	6	6	0	0	.	4.99811	5.01615	0.0180339	0.0180339	0	0	6	.	.	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
STING_AXIS	T47D	T47D CLDN4-/- vs WT(NC)	4	3	3	0	1	STING1	4.62504	4.63858	0.0135391	0.0135391	0	0	3	.	.	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
STING_AXIS	MCF7	MCF7 CLDN4-/- vs WT(NC)	4	3	3	0	1	STING1	4.58344	4.70805	0.124612	0.124612	0	0	3	.	.	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
IFN	T47D	T47D CLDN4-/- vs WT(NC)	60	29	28	1	31	IFI27,OAS2,MX1,IFIT2,IFIT3,MX2,OASL,RSAD2,IFI16,DDX60,XAF1,LY6E,CMPK2,EPSTI1,SAMD9L,TRIM22,ZBP1,IRF7,IRF9,IFNGR2,SOCS1,GBP1,GBP4,GBP5,CXCL9,CXCL10,CXCL11,CIITA,IDO1,IFNG,IFNB1	3.35147	2.88284	-0.468635	-0.45135	2	12	14	IFITM2,HERC5	ISG15,OAS1,OAS3,USP18,IFI6,IFI35,IFI44,BST2,DDX58,IFIH1,IRF1,JAK2	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	both_lines_down
IFN	MCF7	MCF7 CLDN4-/- vs WT(NC)	60	29	25	4	31	IFI27,OAS2,MX1,IFIT2,IFIT3,MX2,OASL,RSAD2,IFI16,DDX60,XAF1,LY6E,CMPK2,EPSTI1,SAMD9L,TRIM22,ZBP1,IRF7,IRF9,IFNGR2,SOCS1,GBP1,GBP4,GBP5,CXCL9,CXCL10,CXCL11,CIITA,IDO1,IFNG,IFNB1	2.89235	2.72499	-0.167358	-0.235451	5	12	8	IFIT5,DDX58,IFIH1,HERC5,JAK2	IFIT1,OAS3,USP18,IFI6,IFI44,IFITM1,IFITM2,IFITM3,STAT2,IFNAR1,SOCS3,GBP2	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	both_lines_down
APM	T47D	T47D CLDN4-/- vs WT(NC)	22	9	9	0	13	HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,B2M,NLRC5,TAP1,TAP2,TAPBP,PSMB8,PSMB9,ERAP2	6.10979	5.95499	-0.1548	-0.1548	0	3	6	.	HLA-C,ERAP1,PSME2	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
APM	MCF7	MCF7 CLDN4-/- vs WT(NC)	22	9	9	0	13	HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,B2M,NLRC5,TAP1,TAP2,TAPBP,PSMB8,PSMB9,ERAP2	5.8267	5.82679	8.52313e-05	8.52313e-05	2	2	5	HLA-C,PSMB10	ERAP1,PSME1	mean log2(FPKM+0.5) of mapped genes with max(WT,KO) FPKM>=1; delta = KO minus parental WT	near_zero
