set	symbol	deposited_symbol	alias_used	mapped	T47D_WT	T47D_KO	log2FC_T47D	dir_T47D	MCF7_WT	MCF7_KO	log2FC_MCF7	dir_MCF7	log2FC_mean	consensus	note
QC	CLDN4	CLDN4	False	True	42.5059	20.4365	-1.03851	DOWN	85.8545	50.8495	-0.749921	DOWN	-0.894218	DOWN	descriptive; group-mean FPKM, no gene-level FDR
QC	TACSTD2	TACSTD2	False	True	59.6053	38.5188	-0.623323	DOWN	59.9174	29.539	-1.00813	DOWN	-0.815725	DOWN	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	PRKDC	PRKDC	False	True	47.0476	59.036	0.32439	UP	45.4075	38.1347	-0.248833	FLAT	0.0377786	UP	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	LIG4	LIG4	False	True	3.11745	6.92803	1.03801	UP	4.90257	4.73464	-0.0455555	FLAT	0.496226	UP	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	XRCC4	XRCC4	False	True	17.825	17.3546	-0.0375174	FLAT	18.843	22.3152	0.238184	FLAT	0.100333	FLAT	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	XRCC5	XRCC5	False	True	81.4203	91.31	0.16443	FLAT	77.472	87.1284	0.168442	FLAT	0.166436	FLAT	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	XRCC6	XRCC6	False	True	441.698	389.464	-0.181352	FLAT	450.729	485.682	0.107637	FLAT	-0.0368574	FLAT	descriptive; group-mean FPKM, no gene-level FDR
NHEJ_CORE	NHEJ1	NHEJ1	False	True	7.00274	7.44659	0.0829183	FLAT	5.81177	5.34164	-0.111671	FLAT	-0.0143764	FLAT	descriptive; group-mean FPKM, no gene-level FDR
STING_AXIS	CGAS	MB21D1	True	True	10.3282	11.4136	0.137816	FLAT	8.60214	9.93231	0.196781	FLAT	0.167298	FLAT	descriptive; group-mean FPKM, no gene-level FDR
STING_AXIS	STING1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
STING_AXIS	TBK1	TBK1	False	True	44.395	44.5696	0.00559987	FLAT	46.5068	48.555	0.0615307	FLAT	0.0335653	FLAT	descriptive; group-mean FPKM, no gene-level FDR
STING_AXIS	IRF3	IRF3	False	True	30.408	28.2823	-0.102798	FLAT	31.7074	34.3925	0.115525	FLAT	0.00636317	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI27		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	OAS2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IFIT1	IFIT1	False	True	1.03426	1.00283	-0.0298612	FLAT	1.42341	0.402981	-1.0909	DOWN	-0.56038	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	MX1		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	ISG15	ISG15	False	True	50.6308	13.1474	-1.90557	DOWN	40.0522	43.1148	0.105038	FLAT	-0.900264	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFIT2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IFIT3		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	IFIT5	IFIT5	False	True	7.68333	7.19201	-0.0893274	FLAT	2.85571	4.58175	0.598707	UP	0.25469	UP	descriptive; group-mean FPKM, no gene-level FDR
IFN	MX2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	OAS1	OAS1	False	True	1.96057	1.10937	-0.612497	DOWN	0.839395	0.136714	-1.07286	LOW	-0.84268	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	OAS3	OAS3	False	True	7.1991	2.99109	-1.14101	DOWN	4.51072	2.96373	-0.532691	DOWN	-0.836852	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	OASL		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	RSAD2		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
IFN	USP18	USP18	False	True	15.5443	12.1073	-0.347802	DOWN	7.99059	5.96711	-0.392744	DOWN	-0.370273	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI6	IFI6	False	True	78.8604	30.5673	-1.35302	DOWN	32.5125	23.3648	-0.468128	DOWN	-0.910575	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI35	IFI35	False	True	2.8439	0.424033	-1.85552	DOWN	0.462029	0.507106	0.0660632	LOW	-0.894726	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI44	IFI44	False	True	6.45941	0.526812	-2.76079	DOWN	1.10851	0.229645	-1.14046	DOWN	-1.95063	DOWN	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI44L	IFI44L	False	True	1.25912	1.57567	0.238723	FLAT	0.721774	0.151599	-0.906921	LOW	-0.334099	FLAT	descriptive; group-mean FPKM, no gene-level FDR
IFN	IFI16		False	False				ABSENT				ABSENT		ABSENT	absent from cufflinks table (annotation gap, not a measured zero)
