srr	gsm	line	genotype	n_processed	n_pseudoaligned	gene_count_sum	CLDN4	STING1	CGAS
SRR20029125	GSM6310640	T47D	WT	44062012	16347693	15623461	1008	10	389
SRR20029124	GSM6310641	T47D	WT	45214824	16731219	15976407	953	7	380
SRR20029123	GSM6310642	T47D	KO	44424212	17457708	16789682	512	14	544
SRR20029122	GSM6310643	T47D	KO	44387540	16475127	15798097	479	10	491
SRR20029121	GSM6310644	MCF7	WT	46699152	17511283	16837128	2377	16	339
SRR20029120	GSM6310645	MCF7	WT	45458325	17478422	16811200	2375	13	383
SRR20029119	GSM6310646	MCF7	KO	47026612	19629075	18834157	1545	20	461
SRR20029118	GSM6310647	MCF7	KO	44087640	18561055	17816445	1525	22	443
