accession,category,reason,taxon,n_samples,pubmed,title
GSE111414,ANALYZED,PBMC CD8+ T-cell counts; responder vs non-responder; epithelial-null control,Homo sapiens,20,30765392,KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer
GSE126044,ANALYZED,tumor RNA-seq counts; responder vs non-responder (anti-PD-1); TACSTD2/CLDN4 present,Homo sapiens,16,32879421,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE135222,ANALYZED,tumor RNA-seq TPM; PFS (anti-PD-1/PD-L1); TACSTD2/CLDN4 present,Homo sapiens,27,31537801;32762727,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq]
GSE182328,ANALYZED,lung-tumor RNA-seq counts; Akkermansia ICI-prognostic surrogate; TACSTD2/CLDN4 present,Homo sapiens,44,,Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].
GSE136961,VERIFIED_NO_TARGET_GENES,"NSCLC anti-PD-1 DCB/NDB, but Oncomine 395-gene immune panel lacks TACSTD2/CLDN4",Homo sapiens,21,31959763,Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer
GSE120028,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,19,31340866,"Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody  [3'SAGE-seq]"
GSE120101,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,105,31340866,"T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]"
GSE124885,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,4,32112047;33772013,"A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children"
GSE127825,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,6,30518613;35367648,Noncoding regions are the main source of targetable tumor-specific antigens
GSE139327,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,28,32508817,Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection
GSE141479,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,74,31855576,Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy
GSE148944,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,67,32383556,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease
GSE150972,LUNG_ICI_other,"lung+ICI; needs case-by-case review (small n, targeted, or no per-sample outcome)",Homo sapiens,1,,Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1
