contrast	feature	exclude_outlier	n_a	n_b	mean_a	mean_b	delta_b_minus_a	welch_t	welch_p	mwu_u	mwu_p	note
WT ICB vs baseline	Cldn4	False	10	6	0.12803456322983156	0.20872810220200655	0.08069353897217499	1.4527466190435436	0.16853991833822501	43.0	0.1738866597606088	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	Cldn4_tpm	False	10	6	0.09726928380281692	0.1574034061032863	0.06013412230046937	1.3597014508143712	0.19571619746113342	43.0	0.1738866597606088	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	tnk_mean	False	10	6	2.422025805889572	3.968004526755465	1.545978720865893	4.077270090457033	0.0011993987310119799	55.0	0.004745254745254745	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	ifn_meanz	False	10	6	-0.6513867653078664	0.656122522338162	1.3075092876460284	3.9553212509176263	0.00172156411812885	56.0	0.002997002997002997	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	mhc_meanz	False	10	6	-0.8704068997154677	0.31718765179519176	1.1875945515106594	2.5947071610468737	0.02586867782132647	53.0	0.010989010989010988	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	tismo_tnk_infil	False	10	6	-0.42748201963076937	0.0011370658732296434	0.428619085503999	1.769803642216319	0.12620954195865172	46.0	0.09340659340659341	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	Cd8a	False	10	6	1.8261982070068967	4.157513455553549	2.3313152485466526	5.098578990307959	0.00026169015470647243	57.0	0.0017482517482517483	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	Ifng	False	10	6	1.6594552784180032	3.5688714863804254	1.9094162079624222	3.941758193858019	0.0017187743841643975	53.0	0.010989010989010988	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	Cd274	False	10	6	3.7483264764621302	5.297658026607035	1.5493315501449048	4.441874985935442	0.0008481422575646547	58.0	0.000999000999000999	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
WT ICB vs baseline	Actb	False	10	6	11.6827265821663	11.03772157938507	-0.6450050027812306	-2.2856944058175745	0.04043821818581881	7.0	0.014522829486654653	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Cldn4	False	10	7	0.26720103590172417	0.6008010386252158	0.33360000272349166	0.7458759039428848	0.48203860774690005	33.0	0.8867749897161661	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Cldn4_tpm	False	10	7	0.22371196056338016	1.2991804386317904	1.0754684780684103	0.9114624265578345	0.3968812696878835	33.0	0.8867749897161661	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	tnk_mean	False	10	7	3.1959538356745085	4.447516855240987	1.2515630195664782	2.9741515596053847	0.012548168799264172	59.0	0.01851090086384204	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	ifn_meanz	False	10	7	0.026617823780017057	0.330136325892787	0.30351850211277	1.0080165789320321	0.33920005038871004	48.0	0.2295351707116413	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	mhc_meanz	False	10	7	0.15496668353174683	0.7501823215808672	0.5952156380491204	1.790247009809275	0.10145182450516858	56.0	0.043089263677498976	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	tismo_tnk_infil	False	10	7	-0.22060120782363954	0.924858554186388	1.1454597620100275	2.112672836666111	0.0745135329409779	51.0	0.13307280954339779	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Cd8a	False	10	7	3.0296209764523017	4.494472889590161	1.464851913137859	2.857928934583958	0.01835861113108129	60.0	0.013574660633484163	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Ifng	False	10	7	2.5748073076983182	3.3310886274052516	0.7562813197069334	1.332585083647731	0.21138963569960706	47.0	0.269847799259564	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Cd274	False	10	7	4.556908218917682	5.809273392267527	1.2523651733498449	3.8891854354739226	0.005955789174015517	65.0	0.00195392842451666	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
Setdb1_KO ICB vs baseline	Actb	False	10	7	11.589724504142492	11.299111316630315	-0.2906131875121769	-0.9832182338744421	0.34245805745809366	16.0	0.07083677658196276	Setdb1_KO ICB = Responders; WT ICB = Non-responders (genotype-confounded)
treated Setdb1_KO (R) vs WT (NR)	Cldn4	False	6	7	0.20872810220200655	0.6008010386252158	0.3920729364232093	0.8898922548377598	0.40736761880320005	17.0	0.6282051282051282	NOT a within-genotype R vs NR. Response label is the Setdb1 genotype.
treated Setdb1_KO (R) vs WT (NR)	Cldn4_tpm	False	6	7	0.1574034061032863	1.2991804386317904	1.1417770325285042	0.9696302483073574	0.3696358735849282	17.0	0.6282051282051282	NOT a within-genotype R vs NR. Response label is the Setdb1 genotype.
