subset	x	y	n	rho	p
all_mice	Cldn4	tnk_mean	33	0.12242854255817893	0.4973021910069357
all_mice	Cldn4	ifn_meanz	33	0.11958525673374037	0.5074190682896657
all_mice	Cldn4	mhc_meanz	33	0.14065902225604987	0.4349425132799649
all_mice	Cldn4	tismo_tnk_infil	33	0.022746286595508657	0.9000127764339928
all_mice	Cldn4	Cd8a	33	0.13831749275357103	0.4427029097972973
all_mice	Cldn4	Ifng	33	0.0796120030842803	0.6596458269198325
all_mice	Cldn4	Cd274	33	0.14366956018780835	0.42507551110643155
drop_SRX8918393	Cldn4	tnk_mean	32	0.0627408079021403	0.7330047299837334
drop_SRX8918393	Cldn4	ifn_meanz	32	0.20088065687965975	0.27027623910368154
drop_SRX8918393	Cldn4	mhc_meanz	32	0.08897453752204107	0.628206010874053
drop_SRX8918393	Cldn4	tismo_tnk_infil	32	-0.05503579640538623	0.764810549222399
drop_SRX8918393	Cldn4	Cd8a	32	0.08016881009717927	0.6627181419663064
drop_SRX8918393	Cldn4	Ifng	32	0.13465424853851163	0.46247948072287964
drop_SRX8918393	Cldn4	Cd274	32	0.14602831312895814	0.42517003027901673
WT	Cldn4	tnk_mean	16	0.42773047454949503	0.09839557931424092
WT	Cldn4	ifn_meanz	16	0.24188895802109375	0.36674979887282305
WT	Cldn4	mhc_meanz	16	0.1445434017443121	0.5932778645281549
WT	Cldn4	tismo_tnk_infil	16	0.1917412472118426	0.4768402228458595
WT	Cldn4	Cd8a	16	0.37463289839852326	0.15281266952228778
WT	Cldn4	Ifng	16	0.44837953194153957	0.08152504394756667
WT	Cldn4	Cd274	16	0.1828916511866806	0.49778594462638875
Setdb1_KO	Cldn4	tnk_mean	17	-0.22549019607843138	0.3841966507618189
Setdb1_KO	Cldn4	ifn_meanz	17	-0.14215686274509806	0.586262862651232
Setdb1_KO	Cldn4	mhc_meanz	17	0.03431372549019608	0.8959808104551742
Setdb1_KO	Cldn4	tismo_tnk_infil	17	-0.16911764705882354	0.5164176230839818
Setdb1_KO	Cldn4	Cd8a	17	-0.27941176470588236	0.27743032579122134
Setdb1_KO	Cldn4	Ifng	17	-0.42401960784313725	0.0898416849718557
Setdb1_KO	Cldn4	Cd274	17	-0.05392156862745098	0.8371514461082936
Baseline	Cldn4	tnk_mean	20	0.2294355958448746	0.3305219079032393
Baseline	Cldn4	ifn_meanz	20	0.29358699599886917	0.20899638072511706
Baseline	Cldn4	mhc_meanz	20	0.3018889419011508	0.1958069833261323
Baseline	Cldn4	tismo_tnk_infil	20	0.1864164216239606	0.43132004221109577
Baseline	Cldn4	Cd8a	20	0.21132225933080556	0.37112355511937895
Baseline	Cldn4	Ifng	20	0.184152254559702	0.43703593563167303
Baseline	Cldn4	Cd274	20	0.24603948764943787	0.29571956049654524
ICB	Cldn4	tnk_mean	13	-0.47802197802197804	0.09849011541638986
ICB	Cldn4	ifn_meanz	13	-0.4835164835164835	0.09413469259693935
ICB	Cldn4	mhc_meanz	13	-0.5439560439560439	0.05464653454086549
ICB	Cldn4	tismo_tnk_infil	13	-0.39010989010989006	0.18757411613383787
ICB	Cldn4	Cd8a	13	-0.39560439560439564	0.18088916310494077
ICB	Cldn4	Ifng	13	-0.34065934065934067	0.2547064607541251
ICB	Cldn4	Cd274	13	-0.576923076923077	0.038992623432448296
