gene	present	n	n_rows	source
Cldn4	True	33	33	cldn4_icb_all.csv LLC rows
Cd274	True	33	33	
Actb	True	33	33	
Epcam	True	32	32	
Ptprc	True	33	33	
Cd8a	True	33	33	
Cd3e	True	33	33	
Cd3d	True	33	33	
Cd2	True	33	33	
Nkg7	True	33	33	
Gzmb	True	33	33	
Prf1	True	33	33	
Ifng	True	33	33	
Ncr1	True	33	33	
Stat1	True	33	33	
Cxcl9	True	33	33	
Cxcl10	True	33	33	
Ido1	True	33	33	
H2-Aa	True	33	33	
H2-K1	True	33	33	
H2-D1	True	33	33	
H2-Q4	True	33	33	
B2m	True	33	33	
Tap1	True	33	33	
Tap2	True	33	33	
