line	cancer_type	ici_outcome	cldn4_in_icb_export	n_mice_icb	n_replicates_in_vivo_meta	mean_cldn4_log2p1	mean_cldn4_tpm
CMT-167	Lung carcinoma	absent	no	0	3		
LLC	Lung carcinoma	GSE155972 anti-PD1+anti-CTLA4; R/NR = Setdb1 genotype	yes	33	68	0.28516157196679115	0.4014695742637643
