tisch_lineage	n_cells	n_patients	mean_CLDN4	mean_barrier	mean_IFN	mean_AT2	mean_sling_pt	mean_dpt	frac_cldn4_high
Malignant	11366	41	1.2208991396779558	1.0297934762918082	0.3276717630939255	0.08547602773946823	0.6894189553688606	0.4475507140159607	0.32218898469118423
Alveolar	2929	20	1.356598434359924	0.8080297079108145	0.35950409368707725	2.196251289726755	0.29847460125055597	0.31518086791038513	0.33765790372140664
Basal	679	27	1.4035470334700526	1.3396025163523404	0.5307053046847283	0.625816429091483	0.5855856411846134	0.37418365478515625	0.374079528718704
Epithelial	500	20	1.742738270521164	0.7925848405261834	0.3757774708401667	0.03302422271172206	0.6048851411521474	0.6054354310035706	0.506
