lineage	n_cells	n_patients	n_patients_eligible	start_cluster	end_cluster	clusters	mean_CLDN4_early	mean_CLDN4_late	mean_barrier_early	mean_barrier_late	mean_IFN_early	mean_IFN_late	n_early	n_late	rho_cldn4_pt	p_cldn4_pt	rho_barrier_pt	p_barrier_pt	rho_ifn_pt	p_ifn_pt	n_spearman
Lineage1	6439	39	31	27	26	27>13>4>23>7>11>2>1>15>17>26	1.780019823229521	1.0522431839647213	1.1553467062544247	1.2430906834615087	0.35876745190764747	0.29353321774449803	2005	1061	-0.307258064516129	0.09268723812758557	-0.15403225806451612	0.4080519939140674	-0.3278225806451613	0.07180482424792388	31
Lineage2	6933	39	30	27	0	27>13>4>23>7>11>2>1>28>0	1.1764388150880358	1.1020768335368114	0.7338395304362442	0.811164385263392	0.31593158690746787	0.24625404422684774	686	2263	-0.5528364849833148	0.0015336456796942932	-0.40556173526140155	0.026182167987236275	-0.3868743047830923	0.03468769801701179	30
Lineage3	7018	39	30	27	3	27>13>4>23>7>11>2>1>3	0.9629204293951056	0.8294481211164227	0.6243653151026943	0.775289006433462	0.3025249726774886	0.3128384792532617	532	3302	-0.5701890989988877	0.0010032315284755834	-0.4206896551724138	0.020618398883141435	-0.35839822024471635	0.05180221913203524	30
Lineage4	5881	39	28	27	14	27>13>4>23>7>11>2>1>14	0.9830173783892885	0.5638970949971084	0.6339075092875629	0.6333772543568231	0.30460897506639195	0.3357937816183139	545	2115	-0.5927750410509032	0.0008872772806973586	-0.4340448823207444	0.021012655206101048	-0.19649698960043788	0.31625988311748043	28
Lineage5	6562	39	30	27	21	27>13>4>23>7>11>2>1>21	0.8627635606822848	0.9692834888394091	0.5890873939800663	0.8125859832347473	0.29451676204593047	0.3248910372983395	476	3270	-0.535483870967742	0.0022929129703431776	-0.40155728587319245	0.027844016700250454	-0.3686318131256952	0.04501571377538029	30
Lineage6	4199	37	24	27	6	27>13>4>23>7>6	1.8371392477429855	1.740789389276838	1.2691226778089864	0.7507622966885844	0.3547373718044009	0.39801968142799926	3722	286	-0.009565217391304347	0.9646181660759277	-0.15826086956521737	0.46014891272810615	0.32260869565217387	0.12416401155590805	24
Lineage7	3986	37	24	27	20	27>13>4>23>7>20	0.8119743507882776	1.7259401934960532	0.5700184560665801	1.2690762741895263	0.2965950807064256	0.3720129589187915	438	1260	-0.2860869565217391	0.17534039388346936	0.05217391304347826	0.8086881976469138	0.2678260869565217	0.20576390509564654	24
Lineage8	4349	37	24	27	22	27>13>4>23>7>22	0.8918143255457068	1.3489280502687069	0.5974817961637228	0.937455440736109	0.29662667130506926	0.3963232384337592	489	1333	-0.27391304347826084	0.195251881074416	-0.05739130434782608	0.7899551413098405	0.1643478260869565	0.4428461512393397	24
Lineage9	4097	34	21	27	24	27>13>4>5>10>24	0.8460099402902477	0.7251880088388317	0.5810540208557268	0.9029899018029572	0.29421792284564297	0.4457062717804989	469	1188	-0.512987012987013	0.017401319733001772	-0.3194805194805195	0.15803468713885824	0.18441558441558442	0.42356621430502056	21
Lineage10	4084	33	21	27	25	27>13>4>5>10>25	1.1694600838396125	0.7063453837205436	0.7290580006778032	0.995519557284338	0.31718319232645925	0.3753884494585135	671	655	-0.4805194805194805	0.027462536204208972	-0.2584415584415584	0.2579885873988545	0.11948051948051949	0.6059550557298753	21
Lineage11	3464	32	19	27	8	27>13>4>5>8	0.9060355166434282	1.2356221754442562	0.6025757533963456	1.1728526791275453	0.29801144948217534	0.5098365626143637	497	440	-0.4140350877192982	0.0780194939845629	-0.22280701754385965	0.3592160229474438	0.26491228070175443	0.27305117556176156	19
Lineage12	4304	32	19	27	9	27>13>4>5>9	1.2644993699042597	1.2897142808608435	0.7695572938940819	0.4755237024093483	0.32166593753334627	0.30774018642426915	749	864	-0.3350877192982456	0.16079938595747956	-0.419298245614035	0.07393698475441432	0.1789473684210526	0.46355363606350364	19
Lineage13	2975	31	14	27	16	27>13>4>16	0.8094229136915447	1.7897514136738601	0.5698530121353362	1.358759829431872	0.2967676095944065	0.37013482049113694	437	299	0.07692307692307693	0.7938058883554534	0.37142857142857144	0.19102081204361632	-0.3626373626373627	0.2025645438172416	14
Lineage14	3083	29	15	27	19	27>13>4>19	0.7873414008943147	1.9232537092183175	0.5678912432387818	1.4748952248042184	0.3075325725248244	0.3734571374177381	344	2079	0.10714285714285714	0.7039010016261618	0.5178571428571428	0.04800407736655831	-0.22499999999999998	0.42010468690763497	15
Lineage15	2971	29	16	27	29	27>13>4>29	0.8173565508944265	1.5290453056125488	0.5696748471215423	1.096534942666268	0.29544096003041853	0.41211050088801254	445	377	-0.0029411764705882353	0.9913748045563624	0.1411764705882353	0.6020026838819792	-0.18823529411764706	0.4850866091454684	16
Lineage16	2061	17	14	27	12	27>13>12	0.821695091295566	1.0270281283751779	0.5719825424489932	0.9367516270582227	0.29676320071256024	0.4272851327179395	442	345	-0.21318681318681318	0.46430282003974443	-0.3318681318681319	0.24637718314961166	-0.01098901098901099	0.970258390096969	14
Lineage17	2182	17	13	27	18	27>13>18	0.801375139238579	2.116353474343166	0.5699232816696167	1.3980609432330973	0.3087196811943741	0.3716308480468828	336	1252	0.46153846153846156	0.11237597055825145	0.4725274725274725	0.10298105029992857	-0.37912087912087916	0.2014060899610435	13
