n	rho	p	contrast	q
39	-0.44068825910931175	0.00498732953807477	CLDN4 vs Slingshot PT	0.00997465907614954
39	-0.3797570850202429	0.017101477385585755	barrier/keratin (no CLDN4) vs Slingshot PT	0.022801969847447673
39	-0.4054655870445344	0.010443409399110837	IFN vs Slingshot PT	0.01670945503857734
42	-0.06506766064338385	0.6822497669440709	CLDN4 vs IFN	0.6822497669440709
39	-0.5771255060728746	0.00011994949626102414	AT2 vs Slingshot PT (control)	0.0009595959700881931
39	-0.45059203931647174	0.0039945029233264305	SFTPC vs Slingshot PT (control)	0.00997465907614954
42	-0.25565189206709343	0.1022385479148479	CLDN4 vs DPT (comparator clock)	0.11684405475982618
39	0.5483805668016195	0.00030121749258016155	Slingshot PT vs DPT (concordance)	0.0012048699703206462
