n	rho	p	contrast
36	-0.6077220077220078	8.458632370435127e-05	malignant-only CLDN4 vs Slingshot PT
36	-0.5276705276705277	0.0009421941461234521	malignant-only barrier vs Slingshot PT
36	-0.4293436293436294	0.008972945847679069	malignant-only IFN vs Slingshot PT
39	-0.06437246963562754	0.697031506523565	malignant-only CLDN4 vs IFN
36	-0.6077220077220078	8.458632370435127e-05	drop leftover-dominant CLDN4 vs Slingshot PT
42	-0.46049752856332554	0.002149614758590738	CLDN4 vs Slingshot PT (mean across lineages)
42	-0.14609837128271616	0.35589323080717694	IFN vs Slingshot PT (mean across lineages)
31	-0.307258064516129	0.09268723812758557	Lineage1 patient CLDN4 vs PT
31	-0.3278225806451613	0.07180482424792388	Lineage1 patient IFN vs PT
30	-0.5528364849833148	0.0015336456796942932	Lineage2 patient CLDN4 vs PT
30	-0.3868743047830923	0.03468769801701179	Lineage2 patient IFN vs PT
30	-0.5701890989988877	0.0010032315284755834	Lineage3 patient CLDN4 vs PT
30	-0.35839822024471635	0.05180221913203524	Lineage3 patient IFN vs PT
28	-0.5927750410509032	0.0008872772806973586	Lineage4 patient CLDN4 vs PT
28	-0.19649698960043788	0.31625988311748043	Lineage4 patient IFN vs PT
30	-0.535483870967742	0.0022929129703431776	Lineage5 patient CLDN4 vs PT
30	-0.3686318131256952	0.04501571377538029	Lineage5 patient IFN vs PT
24	-0.009565217391304347	0.9646181660759277	Lineage6 patient CLDN4 vs PT
24	0.32260869565217387	0.12416401155590805	Lineage6 patient IFN vs PT
24	-0.2860869565217391	0.17534039388346936	Lineage7 patient CLDN4 vs PT
24	0.2678260869565217	0.20576390509564654	Lineage7 patient IFN vs PT
24	-0.27391304347826084	0.195251881074416	Lineage8 patient CLDN4 vs PT
24	0.1643478260869565	0.4428461512393397	Lineage8 patient IFN vs PT
21	-0.512987012987013	0.017401319733001772	Lineage9 patient CLDN4 vs PT
21	0.18441558441558442	0.42356621430502056	Lineage9 patient IFN vs PT
21	-0.4805194805194805	0.027462536204208972	Lineage10 patient CLDN4 vs PT
21	0.11948051948051949	0.6059550557298753	Lineage10 patient IFN vs PT
19	-0.4140350877192982	0.0780194939845629	Lineage11 patient CLDN4 vs PT
19	0.26491228070175443	0.27305117556176156	Lineage11 patient IFN vs PT
19	-0.3350877192982456	0.16079938595747956	Lineage12 patient CLDN4 vs PT
19	0.1789473684210526	0.46355363606350364	Lineage12 patient IFN vs PT
14	0.07692307692307693	0.7938058883554534	Lineage13 patient CLDN4 vs PT
14	-0.3626373626373627	0.2025645438172416	Lineage13 patient IFN vs PT
15	0.10714285714285714	0.7039010016261618	Lineage14 patient CLDN4 vs PT
15	-0.22499999999999998	0.42010468690763497	Lineage14 patient IFN vs PT
16	-0.0029411764705882353	0.9913748045563624	Lineage15 patient CLDN4 vs PT
16	-0.18823529411764706	0.4850866091454684	Lineage15 patient IFN vs PT
14	-0.21318681318681318	0.46430282003974443	Lineage16 patient CLDN4 vs PT
14	-0.01098901098901099	0.970258390096969	Lineage16 patient IFN vs PT
13	0.46153846153846156	0.11237597055825145	Lineage17 patient CLDN4 vs PT
13	-0.37912087912087916	0.2014060899610435	Lineage17 patient IFN vs PT
