ligand	receptor	target	lr_means_high	lr_means_low	higher_in	cellphone_p_high
CXCL16	CXCR6	T	0.22379357	0.18229409	high	0.0
CX3CL1	CX3CR1	NK	0.44086725		high only	0.0
HLA-E	KLRC1	NK	0.6519435	0.6245917	high	1.0
MIF	CD74	T	2.2529306	2.2871404	low	0.0
MIF	CD74	NK	2.2005286	2.2347383	low	0.0
FAM3C	HLA-C	NK	2.1020336	2.018375	high	0.0
FAM3C	HLA-C	T	1.8762995	1.7926408	high	0.0
MIF	TNFRSF14	T	1.5295975	1.5638072	low	0.0
MIF	TNFRSF14	NK	1.5022905	1.5365002	low	0.0
APP	CD74	T	1.484664	1.286419	high	0.0
APP	CD74	NK	1.4322622	1.2340173	high	0.0
COPA	CD74	T	1.2766801	1.1752266	high	0.0
COPA	CD74	NK	1.2242783	1.1228248	high	0.0
MDK	SORL1	NK	1.0897845	0.79937136	high	0.0
HLA-E	KLRK1	NK	0.97813463	0.9507829	high	1.0
