direction	ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
TNK_to_malignant_CLDN4	IFNG	IFNGR1	IFN	13	0.05951981991529465	0.06763705066763438	0.4701043599500106	0.40246730928237623	1.0	0.7692307692307693	0.000244140625	0.0012749565972222222
TNK_to_malignant_CLDN4	IFNG	IFNGR1+IFNGR2	IFN	13	0.05951981991529465	0.06508455683405583	0.4653753205560721	0.4002907637220163	1.0	0.7692307692307693	0.000244140625	0.0012749565972222222
TNK_to_malignant_CLDN4	IFNG	IFNGR2	IFN	13	0.06300443410873413	0.07818236717810997	0.5602990543613067	0.4821166871831967	1.0	1.0	0.00048828125	0.0017653245192307692
TNK_to_malignant_CLDN4	HLA-E	VSIR	MHC_I_partial	18	0.03425328526645899	0.027511889735857647	1.2844440572791629	1.2569321675433054	1.0	0.7222222222222222	0.02081298828125	0.03912841796875
TNK_to_malignant_CLDN4	HLA-F	VSIR	MHC_I_partial	18	0.03425328526645899	0.027511889735857647	0.527370255233513	0.49985836549765533	1.0	0.7222222222222222	0.02081298828125	0.03912841796875
TNK_to_malignant_CLDN4	SEMA4D	PTPRC	other	9	-0.09040631353855133	-0.2391048101708293	0.3145210248314672	0.5536258350022965	0.5555555555555556	0.7777777777777778	0.00390625	0.009662828947368422
TNK_to_malignant_CLDN4	PTGES2	PTGER4	other	6	-0.04374175798147917	-0.06426791194826365	0.13089919711152712	0.19516710905979076	1.0	0.5	0.15625	0.22253787878787878
TNK_to_malignant_CLDN4	CD44	TYROBP	other	7	-0.02117779664695263	-0.04571426287293434	0.6019592748156616	0.6476735376885959	0.8571428571428571	1.0	0.296875	0.3986607142857143
TNK_to_malignant_CLDN4	KLRB1	CLEC2D	other	15	-0.010412812232971191	-0.043064569930235545	0.32287431514511505	0.3659388850753506	0.8	0.5333333333333333	0.01806640625	0.03691830842391305
TNK_to_malignant_CLDN4	FASLG	FAS	other	7	-0.0027260426431894302	0.01573003881743976	0.20604158592011249	0.1903115471026727	1.0	0.5714285714285714	0.578125	0.6627286585365854
TNK_to_malignant_CLDN4	TNFSF12	TNFRSF25	other	10	-0.0003643622621893883	-0.026227005291730165	0.2440306732431054	0.27025767853483557	1.0	0.6	0.556640625	0.6627286585365854
TNK_to_malignant_CLDN4	CD47	SIRPA	other	5	-8.013099431991577e-05	0.016538602858781816	0.3491220626980066	0.3325834598392248	1.0	0.8	0.8125	0.8678977272727273
TNK_to_malignant_CLDN4	LTA4H	LTB4R	other	6	0.0002931896597146988	0.0015751079966624577	0.15390656298647323	0.1523314549898108	0.8333333333333334	0.6666666666666666	0.84375	0.88125
TNK_to_malignant_CLDN4	LIPA	RORA	other	9	0.0005512572824954987	-0.01869131728178925	0.16408603928155369	0.18277735656334293	1.0	0.6666666666666666	0.734375	0.8026889534883721
TNK_to_malignant_CLDN4	TGFB1	TGFBR3	other	9	0.0020590759813785553	0.002612400942275094	0.5992034042461051	0.59659100330383	1.0	0.5555555555555556	0.5703125	0.6627286585365854
TNK_to_malignant_CLDN4	PECAM1	CD38	other	6	0.002492321189492941	-0.02549162522579233	0.15793761191889644	0.18342923714468876	0.8333333333333334	0.6666666666666666	1.0	1.0
TNK_to_malignant_CLDN4	PTGES3	PTGER4	other	11	0.003725409507751465	-0.030373032882132313	0.5245707266202028	0.554943759502335	1.0	0.45454545454545453	0.7001953125	0.7835518973214286
TNK_to_malignant_CLDN4	LPAR2	ADGRE5	other	7	0.008363202214241028	-0.011397144091980798	0.23804762533732823	0.24944476942930902	1.0	0.8571428571428571	0.9375	0.9578804347826088
TNK_to_malignant_CLDN4	CD55	ADGRE5	other	11	0.008443579077720642	0.0016664635728706014	0.352566062388095	0.35089959881522437	1.0	0.8181818181818182	0.51953125	0.6599451013513513
TNK_to_malignant_CLDN4	TGFB1	TGFBR1+TGFBR2	other	12	0.01161427702754736	0.010783944162540138	0.5504972197425863	0.5397132755800461	0.9166666666666666	0.4166666666666667	0.0771484375	0.12086588541666667
