ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
MIF,MIF,2.5665398,0.93,CD74,CD74,2.0077407,0.796,Malig_CLDN4low,T,2.2871404,0.0
MIF,MIF,2.4981203,0.9595,CD74,CD74,2.0077407,0.796,Malig_CLDN4high,T,2.2529306,0.0
MIF,MIF,2.5665398,0.93,CD74,CD74,1.9029372,0.8195,Malig_CLDN4low,NK,2.2347383,0.0
MIF,MIF,2.4981203,0.9595,CD74,CD74,1.9029372,0.8195,Malig_CLDN4high,NK,2.2005286,0.0
FAM3C,FAM3C,0.4363748,0.4895,HLA-C,HLA-C,3.7676926,0.991,Malig_CLDN4high,NK,2.1020336,0.0
FAM3C,FAM3C,0.26905748,0.3035,HLA-C,HLA-C,3.7676926,0.991,Malig_CLDN4low,NK,2.018375,0.0
FAM3C,FAM3C,0.4363748,0.4895,HLA-C,HLA-C,3.316224,0.9625,Malig_CLDN4high,T,1.8762995,0.0
FAM3C,FAM3C,0.26905748,0.3035,HLA-C,HLA-C,3.316224,0.9625,Malig_CLDN4low,T,1.7926408,0.0
MIF,MIF,2.5665398,0.93,TNFRSF14,TNFRSF14,0.56107485,0.415,Malig_CLDN4low,T,1.5638072,0.0
MIF,MIF,2.5665398,0.93,TNFRSF14,TNFRSF14,0.50646067,0.374,Malig_CLDN4low,NK,1.5365002,0.0
MIF,MIF,2.4981203,0.9595,TNFRSF14,TNFRSF14,0.56107485,0.415,Malig_CLDN4high,T,1.5295975,0.0
MIF,MIF,2.4981203,0.9595,TNFRSF14,TNFRSF14,0.50646067,0.374,Malig_CLDN4high,NK,1.5022905,0.0
APP,APP,0.96158713,0.714,CD74,CD74,2.0077407,0.796,Malig_CLDN4high,T,1.484664,0.0
APP,APP,0.96158713,0.714,CD74,CD74,1.9029372,0.8195,Malig_CLDN4high,NK,1.4322622,0.0
APP,APP,0.5650974,0.4855,CD74,CD74,2.0077407,0.796,Malig_CLDN4low,T,1.286419,0.0
COPA,COPA,0.5456194,0.6195,CD74,CD74,2.0077407,0.796,Malig_CLDN4high,T,1.2766801,0.0
APP,APP,0.5650974,0.4855,CD74,CD74,1.9029372,0.8195,Malig_CLDN4low,NK,1.2340173,0.0
COPA,COPA,0.5456194,0.6195,CD74,CD74,1.9029372,0.8195,Malig_CLDN4high,NK,1.2242783,0.0
COPA,COPA,0.34271237,0.377,CD74,CD74,2.0077407,0.796,Malig_CLDN4low,T,1.1752266,0.0
COPA,COPA,0.34271237,0.377,CD74,CD74,1.9029372,0.8195,Malig_CLDN4low,NK,1.1228248,0.0
MDK,MDK,1.6017305,0.835,SORL1,SORL1,0.57783854,0.4005,Malig_CLDN4high,NK,1.0897845,0.0
HLA-E,HLA-E,0.7381643,0.5975,KLRK1,KLRK1,1.218105,0.6885,Malig_CLDN4high,NK,0.97813463,1.0
MDK,MDK,1.6017305,0.835,SORL1,SORL1,0.3302624,0.2515,Malig_CLDN4high,T,0.96599644,0.0
HLA-E,HLA-E,0.6834608,0.535,KLRK1,KLRK1,1.218105,0.6885,Malig_CLDN4low,NK,0.9507829,1.0
HLA-C,HLA-C,1.5596516,0.768,KIR2DL3,KIR2DL3,0.30926278,0.207,Malig_CLDN4high,NK,0.9344572,1.0
HLA-B,HLA-B,1.487373,0.7255,KIR3DL2,KIR3DL2,0.324498,0.21,Malig_CLDN4low,NK,0.9059355,1.0
HLA-B,HLA-B,1.4236422,0.721,KIR3DL2,KIR3DL2,0.324498,0.21,Malig_CLDN4high,NK,0.87407005,1.0
HLA-C,HLA-C,1.5596516,0.768,KIR2DL1,KIR2DL1,0.17664792,0.116,Malig_CLDN4high,NK,0.86814976,1.0
HLA-C,HLA-C,1.3897041,0.72,KIR2DL3,KIR2DL3,0.30926278,0.207,Malig_CLDN4low,NK,0.84948343,1.0
MDK,MDK,1.0209042,0.6195,SORL1,SORL1,0.57783854,0.4005,Malig_CLDN4low,NK,0.79937136,0.0
HLA-C,HLA-C,1.3897041,0.72,KIR2DL1,KIR2DL1,0.17664792,0.116,Malig_CLDN4low,NK,0.783176,1.0
CD58,CD58,0.11121909,0.231,CD2,CD2,1.3974228,0.7155,Malig_CLDN4high,T,0.7543209,0.0
CD58,CD58,0.07640586,0.1315,CD2,CD2,1.3974228,0.7155,Malig_CLDN4low,T,0.73691434,0.0
LGALS9,LGALS9,0.24444133,0.288,CD44,CD44,1.2172332,0.683,Malig_CLDN4low,T,0.7308372,0.0
HLA-E,HLA-E,0.7381643,0.5975,KLRC2,KLRC2_KLRD1,0.6756776,0.38,Malig_CLDN4high,NK,0.706921,1.0
HLA-E,HLA-E,0.7381643,0.5975,KLRC2,KLRC2,0.6756776,0.38,Malig_CLDN4high,NK,0.706921,1.0
LGALS9,LGALS9,0.17989676,0.233,CD44,CD44,1.2172332,0.683,Malig_CLDN4high,T,0.69856495,0.0
