ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
CCL4,CCL4,2.5489748,0.7735,SLC7A1,SLC7A1,0.15309255,0.273,NK,Malig_CLDN4high,1.3510337,0.0
CCL4,CCL4,2.5489748,0.7735,SLC7A1,SLC7A1,0.12322388,0.198,NK,Malig_CLDN4low,1.3360993,0.0
MIF,MIF,1.6896601,0.8285,CD74,CD74,0.8408947,0.422,T,Malig_CLDN4low,1.2652774,1.0
MIF,MIF,1.6896601,0.8285,CD74,CD74,0.7654475,0.398,T,Malig_CLDN4high,1.2275538,1.0
MIF,MIF,1.5105814,0.787,CD74,CD74,0.8408947,0.422,NK,Malig_CLDN4low,1.1757381,1.0
MIF,MIF,1.5105814,0.787,CD74,CD74,0.7654475,0.398,NK,Malig_CLDN4high,1.1380144,1.0
MIF,MIF,1.6896601,0.8285,EGFR,EGFR,0.32007256,0.3815,T,Malig_CLDN4high,1.0048664,1.0
LTB,LTB,1.4862098,0.617,LTBR,LTBR,0.36983064,0.452,T,Malig_CLDN4high,0.9280202,0.0
MIF,MIF,1.6896601,0.8285,EGFR,EGFR,0.16170871,0.184,T,Malig_CLDN4low,0.9256844,1.0
MIF,MIF,1.6896601,0.8285,TNFRSF14,TNFRSF14,0.15009066,0.276,T,Malig_CLDN4high,0.9198754,1.0
TGFB1,TGFB1,1.5124997,0.6865,EGFR,EGFR,0.32007256,0.3815,NK,Malig_CLDN4high,0.9162861,0.0
MIF,MIF,1.5105814,0.787,EGFR,EGFR,0.32007256,0.3815,NK,Malig_CLDN4high,0.91532695,1.0
LTB,LTB,1.4862098,0.617,LTBR,LTBR,0.33267528,0.3815,T,Malig_CLDN4low,0.90944254,0.0
MIF,MIF,1.6896601,0.8285,TNFRSF14,TNFRSF14,0.11881122,0.1855,T,Malig_CLDN4low,0.90423566,1.0
FAM3C,FAM3C,0.18664877,0.151,HLA-C,HLA-C,1.5596516,0.768,NK,Malig_CLDN4high,0.87315017,1.0
FAM3C,FAM3C,0.13692908,0.109,HLA-C,HLA-C,1.5596516,0.768,T,Malig_CLDN4high,0.8482903,1.0
TGFB1,TGFB1,1.5124997,0.6865,EGFR,EGFR,0.16170871,0.184,NK,Malig_CLDN4low,0.8371042,0.0
MIF,MIF,1.5105814,0.787,EGFR,EGFR,0.16170871,0.184,NK,Malig_CLDN4low,0.83614504,1.0
MIF,MIF,1.5105814,0.787,TNFRSF14,TNFRSF14,0.15009066,0.276,NK,Malig_CLDN4high,0.83033603,1.0
MIF,MIF,1.5105814,0.787,TNFRSF14,TNFRSF14,0.11881122,0.1855,NK,Malig_CLDN4low,0.8146963,1.0
TGFB1,TGFB1,1.5124997,0.6865,ITGB6,ITGAV_ITGB6,0.11639849,0.1695,NK,Malig_CLDN4high,0.8144491,0.0
TGFB1,TGFB1,1.5124997,0.6865,TGFBR2,TGFBR1_TGFBR2,0.08945106,0.1655,NK,Malig_CLDN4high,0.8009754,0.0
