contrast	pathway	n_pairs	n_pairs_delta_neg	median_of_pair_deltas	n_pairs_fdr05
cldn4_outgoing	MHC_I	13	0	0.16992789506912231	5
cldn4_outgoing	T_recruit	3	1	0.06591946724802256	1
cldn4_incoming	IFN	3	0	0.05951981991529465	3
