label	delta	welch_t	n5vs5	n_kl	n_kp
Cldn4 unadjusted	5.569627161932762	10.188369532619777	True	5	5
Cldn4 − Epcam	2.940912169356153	4.706228760639503	True	5	5
Cldn4 residual on Epcam	2.406948883623734	2.944776384422474	True	5	5
Tacstd2 unadjusted	3.2382274886828935	4.647609029620379	True	5	5
Tacstd2 − Epcam	0.6095124961062846	1.3475298407179233	True	5	5
Tacstd2 residual on Epcam	0.867969304986167	2.334253310164735	True	5	5
TJ7	3.268517770884415	9.85677889728222	True	5	5
TJ Epcam r≥0.5	4.692012326681906	10.409423509244212	True	5	5
TJ Epcam, drop Cldn3 (max |t|)	4.825214362034517	13.959897682018385	True	5	5
TJ Epcam, drop Ocln (max Δ)	5.498517265191639	11.159114436319342	True	5	5
Cldn4 drop B6AL10-3 (not 5vs5)	5.124804848293076	15.182601244074085	False	5	4
Tacstd2 drop B6AL10-3 (not 5vs5)	2.5838812221821383	10.517796733109831	False	5	4
