n_kl	n_kp	n5vs5	mean_kl	mean_kp	sd_kl	sd_kp	delta	welch_t	welch_df	welch_p	abs_t	min_kl	max_kp	complete_separation	U	mw_p	cliffs_delta	endpoint	epcam_fpkm_min	libraries_kept
5	5	True	8.874985228159096	3.3053580662263338	0.6384958084607174	1.0423710267048671	5.569627161932762	10.188369532619777	6.6312328973923655	2.7230318422556286e-05	10.188369532619777	7.9645141540866495	4.247927513443585	True	25.0	0.007936507936507936	1.0	Cldn4	1.35	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	5	True	5.855612554685915	2.6173850660030213	0.5133440714732446	1.4709825008367077	3.2382274886828935	4.647609029620379	4.960058855183051	0.0057080067472804925	4.647609029620379	5.189429245809757	3.403267722339301	True	25.0	0.007936507936507936	1.0	Tacstd2	1.35	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	5	True	7.348401041158039	4.079883270273624	0.26377731900213797	0.6929773825111354	3.268517770884415	9.85677889728222	5.135282702932917	0.0001576094898197512	9.85677889728222	7.069169147857404	4.545190846400181	True	25.0	0.007936507936507936	1.0	TJ7	1.35	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	5	True	7.5184194381370375	2.826407111455132	0.24453092215100225	0.977786861395037	4.692012326681906	10.409423509244212	4.498394999049383	0.0002569734874943325	10.409423509244212	7.27436068398421	3.436730161736123	True	25.0	0.007936507936507936	1.0	TJ_EPCAM	1.35	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	4	False	8.874985228159096	3.75018037986602	0.6384958084607174	0.360005377283804	5.124804848293076	15.182601244074085	6.452208414002249	2.7297495274753376e-06	15.182601244074085	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	61.75	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	4	False	5.855612554685915	3.2717313325037765	0.5133440714732446	0.17490696708222683	2.5838812221821383	10.517796733109831	5.101891055732909	0.000119017748534956	10.517796733109831	5.189429245809757	3.403267722339301	True	20.0	0.015873015873015872	1.0	Tacstd2	61.75	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	4	False	7.348401041158039	4.386211923989345	0.26377731900213797	0.12127891949580179	2.962189117168694	22.332884473259863	5.8487372246167455	6.927227645971231e-07	22.332884473259863	7.069169147857404	4.545190846400181	True	20.0	0.015873015873015872	1.0	TJ7	61.75	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	4	False	7.5184194381370375	3.260483356552112	0.24453092215100225	0.13641218679326156	4.257936081584925	33.0369043412013	6.4216417413277105	2.0549620262945662e-08	33.0369043412013	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	61.75	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	3	False	8.874985228159096	3.865817932374926	0.6384958084607174	0.33789576234155505	5.00916729578417	14.484791291255606	5.993845256409945	6.844833693216075e-06	14.484791291255606	7.9645141540866495	4.247927513443585	True	15.0	0.03571428571428571	1.0	Cldn4	64.28	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
5	3	False	5.855612554685915	3.230620843499176	0.5133440714732446	0.18907204146480916	2.624991711186739	10.326252941484842	5.455468298572291	8.726938390516865e-05	10.326252941484842	5.189429245809757	3.403267722339301	True	15.0	0.03571428571428571	1.0	Tacstd2	64.28	B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA,KLE-RNA
