kl_libraries	is_observed	abs_t_tj_epcam	loo_maxt_abs_t	loo_maxt_delta	loo_maxt_dropped	loo_maxt_t	loo_maxd_delta	loo_maxd_abs_t	loo_maxd_dropped	loo_maxd_t
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,B6AL10-5-RNA	False	10.409423509244212	13.959897682018385	-4.825214362034517	Cldn3	-13.959897682018385	-3.86803463414678	6.857723018480596	Cldn6	-6.857723018480596
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,KL155mix-control-2-RNA	False	2.2576797588853346	2.3255935003265535	-3.140706411240904	Cldn7	-2.3255935003265535	-2.649203749596968	2.3136768606199194	Cldn6	-2.3136768606199194
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,KL47-1-untreated-1-RNA	False	2.1857039950289097	2.23156076325828	-2.591656108464795	Cldn6	-2.23156076325828	-2.591656108464795	2.23156076325828	Cldn6	-2.23156076325828
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,KLC-RNA	False	2.1778212211090913	2.2259795616570073	-2.8716683483695347	Cldn4	-2.2259795616570073	-2.4651041436823684	2.0623172281032134	Cldn6	-2.0623172281032134
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,KLD-RNA	False	1.9639910322703873	2.0247718396424985	-3.3018315209338174	Ocln	-2.0247718396424985	-2.3014581195575534	1.8628940253160813	Cldn6	-1.8628940253160813
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-4-RNA,KLE-RNA	False	2.1383589546129658	2.1750147552295	-3.4578200354519435	Ocln	-2.1750147552295	-2.4545259470600653	2.0488086789131166	Cldn6	-2.0488086789131166
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA	False	2.2853400420892798	2.336338027714535	-3.1493397854877774	Cldn7	-2.336338027714535	-2.6499580714829833	2.3147767786873366	Cldn6	-2.3147767786873366
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-5-RNA,KL47-1-untreated-1-RNA	False	2.212348975634278	2.232614874017841	-2.592410430350812	Cldn6	-2.232614874017841	-2.592410430350812	2.232614874017841	Cldn6	-2.232614874017841
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-5-RNA,KLC-RNA	False	2.204357780729766	2.287823613945142	-2.920157617178681	Cldn4	-2.287823613945142	-2.465858465568383	2.0632840372670094	Cldn6	-2.0632840372670094
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-5-RNA,KLD-RNA	False	1.9877886376563498	2.0816553329173346	-3.362292617732687	Ocln	-2.0816553329173346	-2.302212441443568	1.8637696581213972	Cldn6	-1.8637696581213972
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,B6AL10-5-RNA,KLE-RNA	False	2.16436086788558	2.2364953944928985	-3.518281132250812	Ocln	-2.2364953944928985	-2.4552802689460815	2.049768920617194	Cldn6	-2.049768920617194
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA	False	0.8087920360462701	0.9830074711365178	-1.3735795458009976	Cldn6	-0.9830074711365178	-1.2215700006469525	0.7244501776756577	Cldn3	-0.7244501776756577
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL155mix-control-2-RNA,KLC-RNA	False	0.8043918858087431	0.8831142600168288	-1.2470275810185694	Cldn6	-0.8831142600168288	-1.2196827063695688	0.7232576747816749	Cldn3	-0.7232576747816749
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL155mix-control-2-RNA,KLD-RNA	False	0.6802107925880857	0.7582142999582435	-1.0833815568937553	Cldn6	-0.7582142999582435	-1.024266555408972	0.601608087524281	Cldn3	-0.601608087524281
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL155mix-control-2-RNA,KLE-RNA	False	0.7821772774775682	0.8749029051855003	-1.236449384396268	Cldn6	-0.8749029051855003	-1.1885887775768085	0.7036622632261454	Cldn3	-0.7036622632261454
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL47-1-untreated-1-RNA,KLC-RNA	False	0.7652653228704569	0.8386825071090971	-1.1894799398863984	Cldn6	-0.8386825071090971	-1.154481586957548	0.682276976255213	Cldn3	-0.682276976255213
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL47-1-untreated-1-RNA,KLD-RNA	False	0.6422951039364917	0.7152861435633755	-1.0258339157615834	Cldn6	-0.7152861435633755	-0.9590654359969513	0.5617477676078018	Cldn3	-0.5617477676078018
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KL47-1-untreated-1-RNA,KLE-RNA	False	0.7432834228141654	0.8305776945953618	-1.1789017432640962	Cldn6	-0.8305776945953618	-1.1233876581647877	0.662876977754124	Cldn3	-0.662876977754124
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KLC-RNA,KLD-RNA	False	0.6380773585873645	0.7048502958858419	-1.1227948153770066	Cldn4	-0.7048502958858419	-0.8992819509791552	0.6224537626167571	Cldn6	-0.6224537626167571
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KLC-RNA,KLE-RNA	False	0.7389603576113315	0.8034174529686827	-1.268756507918603	Cldn4	-0.8034174529686827	-1.052349778481667	0.7350067076296926	Cldn6	-0.7350067076296926
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-3-RNA,KLD-RNA,KLE-RNA	False	0.616766425007069	0.6776365142650426	-1.3215953879929918	Ocln	-0.6776365142650426	-0.888703754356853	0.6147837995990775	Cldn6	-0.6147837995990775
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA	False	1.4501746077157287	1.6536462253171726	-2.484868530979745	Cldn3	-1.6536462253171726	-1.6127261021841406	1.1814787200089774	Cldn6	-1.1814787200089774
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KL47-1-untreated-1-RNA	False	1.4010145720138747	1.596189257669683	-2.419667411567725	Cldn3	-1.596189257669683	-1.5551784610519688	1.1324155805880867	Cldn6	-1.1324155805880867
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KLC-RNA	False	1.3955823650878805	1.5945483682418493	-2.4177801172903415	Cldn3	-1.5945483682418493	-1.4286264962695405	1.0274879848313423	Cldn6	-1.0274879848313423
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KLD-RNA	False	1.2445780120722143	1.4308243452005298	-2.2223639663297448	Cldn3	-1.4308243452005298	-1.2649804721447255	0.8970970623864932	Cldn6	-0.8970970623864932
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,B6AL10-5-RNA,KLE-RNA	False	1.3682445866940824	1.5676879884229113	-2.3866861884975816	Cldn3	-1.5676879884229113	-1.4180482996472374	1.01888857142386	Cldn6	-1.01888857142386
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA	False	0.2920129183014831	0.3786545535356447	-0.6532711849905732	Cldn3	-0.3786545535356447	-0.3363475765021553	0.2281063334317433	Cldn6	-0.2281063334317433
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL155mix-control-2-RNA,KLC-RNA	False	0.2880378225569829	0.37754110465353025	-0.6513838907131912	Cldn3	-0.37754110465353025	-0.20979561171972794	0.1419986761804426	Cldn6	-0.1419986761804426
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL155mix-control-2-RNA,KLD-RNA	False	0.17453066970259531	0.26308560440440387	-0.4559677397525945	Cldn3	-0.26308560440440387	-0.04614958759491383	0.031198629585691185	Cldn6	-0.031198629585691185
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL155mix-control-2-RNA,KLE-RNA	False	0.26792036996621466	0.35922100747691166	-0.620289961920431	Cldn3	-0.35922100747691166	-0.19921741509742574	0.13482219773275517	Cldn6	-0.13482219773275517
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL47-1-untreated-1-RNA,KLC-RNA	False	0.25255030972350107	0.3391764975567218	-0.5861827713011714	Cldn3	-0.3391764975567218	-0.15224797058755613	0.10298654430720425	Cldn6	-0.10298654430720425
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL47-1-untreated-1-RNA,KLD-RNA	False	0.13936197611072926	0.225207123265815	-0.39076662034057463	Cldn3	-0.225207123265815	0.011398053537258868	0.007705016602639214	Cldn6	0.007705016602639214
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KL47-1-untreated-1-RNA,KLE-RNA	False	0.23250175798237788	0.3209467261647366	-0.5550888425084093	Cldn3	-0.3209467261647366	-0.14166977396525393	0.0958225143628632	Cldn6	-0.0958225143628632
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KLC-RNA,KLD-RNA	False	0.13543489988825494	0.22411258987738772	-0.38887932606319087	Cldn3	-0.22411258987738772	0.13795001831968712	0.09330377350651015	Cldn6	0.09330377350651015
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KLC-RNA,KLE-RNA	False	0.22854948499661495	0.31984153397698034	-0.5532015482310273	Cldn3	-0.31984153397698034	-0.015117809182825681	0.01021957815004826	Cldn6	-0.01021957815004826
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-4-RNA,KLD-RNA,KLE-RNA	False	0.11554685751722574	0.20609374517671689	-0.3577853972704297	Cldn3	-0.20609374517671689	0.14852821494198842	0.10046714008365408	Cldn6	0.10046714008365408
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA	False	0.3053434668730131	0.3764066409884711	-0.6523519792193433	Cldn7	-0.3764066409884711	-0.3371018983881715	0.2286212427973133	Cldn6	-0.2286212427973133
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KLC-RNA	False	0.30136253671729346	0.3742083319932846	-0.6457331018919499	Cldn3	-0.3742083319932846	-0.21054993360574326	0.14251052741685294	Cldn6	-0.14251052741685294
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KLD-RNA	False	0.1877220417248029	0.2597975140678335	-0.45031695093135315	Cldn3	-0.2597975140678335	-0.04690390948092915	0.03170863940968051	Cldn6	-0.03170863940968051
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL155mix-control-2-RNA,KLE-RNA	False	0.2812167695955606	0.35589648028864473	-0.6146391730991896	Cldn3	-0.35589648028864473	-0.19997173698344106	0.13533385844984744	Cldn6	-0.13533385844984744
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL47-1-untreated-1-RNA,KLC-RNA	False	0.26582643931782735	0.33586051306942794	-0.5805319824799291	Cldn3	-0.33586051306942794	-0.15300229247357144	0.1034974789677113	Cldn6	-0.1034974789677113
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL47-1-untreated-1-RNA,KLD-RNA	False	0.15252501284592088	0.22193025522779222	-0.3851158315193324	Cldn3	-0.22193025522779222	0.01064373165124266	0.007195096064003233	Cldn6	0.007195096064003233
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KL47-1-untreated-1-RNA,KLE-RNA	False	0.24575321815816448	0.3176380774672213	-0.5494380536871688	Cldn3	-0.3176380774672213	-0.14242409585127014	0.09633331241375385	Cldn6	-0.09633331241375385
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KLC-RNA,KLD-RNA	False	0.14859515218158204	0.22251869967016974	-0.4448850422937083	Ocln	-0.22251869967016974	0.1371956964336709	0.09279303026646091	Cldn6	0.09279303026646091
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KLC-RNA,KLE-RNA	False	0.24179631818078737	0.3165333167611455	-0.5475507594097859	Cldn3	-0.3165333167611455	-0.015872131068841888	0.010729503871935876	Cldn6	-0.010729503871935876
B6AL10-1-RNA,B6AL10-2-RNA,B6AL10-5-RNA,KLD-RNA,KLE-RNA	False	0.12869417802339825	0.21022899243796006	-0.4204529628304927	Ocln	-0.21022899243796006	0.1477738930559731	0.09995626440692928	Cldn6	0.09995626440692928
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA	False	0.7228174261790675	0.7538392822295739	1.4608251476133516	Ocln	0.7538392822295739	1.4608251476133516	0.7538392822295739	Ocln	0.7538392822295739
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLD-RNA	False	0.8484427179513219	0.8807871641837218	1.3805734923077448	Cldn4	0.8807871641837218	1.6412457415946928	0.8549440889429567	Ocln	0.8549440889429567
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KL47-1-untreated-1-RNA,KLE-RNA	False	0.7446819114922343	0.7801265465868834	1.2346117997661494	Cldn4	0.7801265465868834	1.485257227076568	0.7673669649655452	Ocln	0.7673669649655452
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KLC-RNA,KLD-RNA	False	0.8528987213856786	0.9689606808165357	1.3560265809834835	Cldn6	0.9689606808165357	1.5712487744223784	0.8153782686281276	Ocln	0.8153782686281276
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KLC-RNA,KLE-RNA	False	0.7490114394141254	0.8490373282449316	1.2029587534809716	Cldn6	0.8490373282449316	1.4152602599042527	0.7287384183372076	Ocln	0.7287384183372076
B6AL10-1-RNA,B6AL10-2-RNA,KL155mix-control-2-RNA,KLD-RNA,KLE-RNA	False	0.8755689753367907	0.9774181690139648	1.3666047776057857	Cldn6	0.9774181690139648	1.5956808538855949	0.8291374455414444	Ocln	0.8291374455414444
B6AL10-1-RNA,B6AL10-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLD-RNA	False	0.8930246806115394	1.0152589475639102	1.4135742221156544	Cldn6	1.0152589475639102	1.6413770751550851	0.8550187535995222	Ocln	0.8550187535995222
B6AL10-1-RNA,B6AL10-2-RNA,KL47-1-untreated-1-RNA,KLC-RNA,KLE-RNA	False	0.7879652448024722	0.8936068137980637	1.2605063946131425	Cldn6	0.8936068137980637	1.4853885606369595	0.7674398144559176	Ocln	0.7674398144559176
