library	short	gsm	arm	in_primary	Epcam	Cldn4	Tacstd2	Cldn4_minus_Epcam	Tacstd2_minus_Epcam	TJ7	TJ_EPCAM
B6AL10-1-RNA	KP B6AL10-1	GSM4073816	KP	True	6.614857050384495	3.743084055549586	3.403267722339301	-2.8717729948349087	-3.2115893280451937	4.4138290099685715	3.2941836976094705
B6AL10-2-RNA	KP B6AL10-2	GSM4073817	KP	True	6.660637740008126	4.247927513443585	3.028569152196771	-2.412710226564541	-3.6320685878113554	4.545190846400181	3.436730161736123
B6AL10-3-RNA	KP B6AL10-3	GSM4073818	KP	True	1.232660756790275	1.5260688116675876	0.0	0.2934080548773126	-1.232660756790275	2.854568655410737	1.090102131067212
B6AL10-4-RNA	KP B6AL10-4	GSM4073819	KP	True	5.971543553950772	3.403267722339301	3.3950627995175777	-2.568275831611471	-2.5764807544331942	4.274478999672965	3.1836816016613434
B6AL10-5-RNA	KP B6AL10-5	GSM4073820	KP	True	6.028569152196771	3.6064422281316078	3.2600256559614555	-2.422126924065163	-2.7685434962353153	4.311348839915664	3.1273379652015123
KL155mix-control-2-RNA	KL KL155	GSM4073821	KL	True	7.746783016960983	7.9645141540866495	5.703211467391146	0.21773113712566694	-2.0435715495698368	7.069169147857404	7.27436068398421
KL47-1-untreated-1-RNA	KL KL47	GSM4073822	KL	True	7.961449694398196	8.533524414856684	5.189429245809757	0.5720747204584882	-2.7720204485884388	7.242771916840016	7.424802072482157
KLC-RNA	KL KLC	GSM4073823	KL	True	7.859969548221026	9.168446483540569	5.7398481026993275	1.3084769353195425	-2.120121445521699	7.264065121954524	7.441619355282617
KLD-RNA	KL KLD	GSM4073824	KL	True	8.149950301681047	9.618513980828808	6.584661907941469	1.4685636791477616	-1.5652883937395776	7.7727368331375475	7.9244779193443025
KLE-RNA	KL KLE	GSM4073825	KL	True	7.933690654952234	9.08992710748277	6.060912049587874	1.1562364525305364	-1.8727786053643598	7.393262186000705	7.526837159591904
normal-lung-RNA	normal lung	GSM4073826	normal	False	5.385776138269413	2.782408564927373	4.710944154575872	-2.6033675733420396	-0.674831983693541	4.816134109248923	4.004980844045731
