library	short	gsm	arm	in_primary_n5vs5
B6AL10-1-RNA	KP B6AL10-1	GSM4073816	KP	True
B6AL10-2-RNA	KP B6AL10-2	GSM4073817	KP	True
B6AL10-3-RNA	KP B6AL10-3	GSM4073818	KP	True
B6AL10-4-RNA	KP B6AL10-4	GSM4073819	KP	True
B6AL10-5-RNA	KP B6AL10-5	GSM4073820	KP	True
KL155mix-control-2-RNA	KL KL155	GSM4073821	KL	True
KL47-1-untreated-1-RNA	KL KL47	GSM4073822	KL	True
KLC-RNA	KL KLC	GSM4073823	KL	True
KLD-RNA	KL KLD	GSM4073824	KL	True
KLE-RNA	KL KLE	GSM4073825	KL	True
normal-lung-RNA	normal lung	GSM4073826	excluded_normal_lung	False
