left_out	k	mu	se	ci_low	ci_high	p_wald	tau2	i2	kh_low	kh_high	p_kh	Q_p	delta_mu	wald_excludes_zero	marker
GSE107801	21	0.26285543840506326	0.11657777946789043	0.03436718925034504	0.4913436875597815	0.024148114783823952	0.08225474893491407	0.1996640198062478	0.05300472510633816	0.4727061517037884	0.016657391980826098	0.20183291091613062	-0.004225304754657322	True	Tacstd2
GSE124821	21	0.2790828322882995	0.12393834056602167	0.036168148475237444	0.5219975161013616	0.024335690607847894	0.0921597340522623	0.17980835340124796	0.06158070535268795	0.49658495922391105	0.014502309754668026	0.22599791507504463	0.012002089128578919	True	Tacstd2
GSE130472	21	0.30760235716825024	0.11348349981177693	0.08517878469760948	0.530025929638891	0.006717233280649372	0.06457876840623213	0.1006827228225471	0.10637882223316764	0.5088258921033328	0.0046133378752365225	0.32767906169094874	0.04052161400852966	True	Tacstd2
GSE132529	21	0.27293600544244706	0.11451956646710686	0.048481779641776745	0.4973902312431174	0.01715758529661457	0.0783120893717671	0.1960537575917477	0.06557616783960371	0.4802958430452904	0.01246543829113496	0.2061662464909771	0.005855262282726481	True	Tacstd2
GSE137818	21	0.27971044206451345	0.11587177449856059	0.05260593722258802	0.5068149469064389	0.01577996541225034	0.07947106982058304	0.1874528420496544	0.07176849607186811	0.4876523880571588	0.010913536773062544	0.21660101647903937	0.012629698904792874	True	Tacstd2
GSE174053	21	0.27298257284076227	0.11451721682025601	0.048532952263296014	0.49743219341822853	0.017136362806688506	0.07830287373567335	0.1959856182406057	0.06563502538946933	0.48033012029205524	0.012448146185185367	0.20624830629396287	0.005901829681041693	True	Tacstd2
GSE103725	21	0.27178054072699337	0.11457344371367005	0.047220717463473005	0.49634036399051373	0.017686937374700284	0.0785235102281059	0.19758132391199493	0.06414461910204217	0.4794164623519446	0.01289047338346397	0.20432924713771736	0.00469979756727279	True	Tacstd2
GSE109485	21	0.27766992948628466	0.11605407105445564	0.05020812996029922	0.5051317290122701	0.016729877428147518	0.08018648060143486	0.1911785321588315	0.06915116974232566	0.48618868923024366	0.011614534023464957	0.21206227661910315	0.010589186326564082	True	Tacstd2
GSE149825	21	0.2267280471664541	0.11087931555174209	0.009408582054587694	0.4440475122783205	0.040872780568454954	0.060818801693151216	0.029573645127551985	0.03963071824257222	0.413825376090336	0.02000717809501775	0.42042873763492233	-0.04035269599326649	True	Tacstd2
GSE150401	21	0.27210744082321753	0.11641867956205863	0.04393102175387334	0.5002838598925617	0.019422670664171218	0.0816243850448874	0.19817138031906645	0.062494265795223214	0.48172061585121184	0.013542501025558732	0.20362102835300053	0.0050266976634969485	True	Tacstd2
