stem	line	gse_id	cancer_group	is_llc	mean_baseline	mean_icb	max_arm	delta_mean	icb_only	perturbed
402230_GSE148856_antiPD1	402230	GSE148856	Sarcoma	False	0.062426122840972154	0.16170368606383562	0.16170368606383562	0.09927756322286346	True	False
402230_GSE148856_radiation_antiPD1	402230	GSE148856	Sarcoma	False	0.23825551047153581	0.15458144114316524	0.23825551047153581	-0.08367406932837057	False	False
4T1_GSE130472_old_antiCTLA4	4T1	GSE130472	Mammary	False	6.069634781563109	6.056395227828862	6.069634781563109	-0.013239553734247345	True	False
4T1_GSE130472_old_antiPDL1	4T1	GSE130472	Mammary	False	6.069634781563109	5.909861270494183	6.069634781563109	-0.15977351106892623	True	False
4T1_GSE130472_young_antiCTLA4	4T1	GSE130472	Mammary	False	5.477910590715585	5.062594008527849	5.477910590715585	-0.41531658218773604	True	False
4T1_GSE130472_young_antiPDL1	4T1	GSE130472	Mammary	False	5.477910590715585	5.608436736607784	5.608436736607784	0.13052614589219846	True	False
4T1_GSE132529_antiPD1	4T1	GSE132529	Mammary	False	6.870862547908357	6.8577733306809465	6.870862547908357	-0.013089217227410188	True	False
4T1_GSE137818_Brca1_KO_antiPD1	4T1	GSE137818	Mammary	False	8.041262329779764	7.962424593227169	8.041262329779764	-0.07883773655259496	True	True
4T1_GSE137818_Brca2_KO_antiPD1	4T1	GSE137818	Mammary	False	7.650635802905315	7.725200165328396	7.725200165328396	0.0745643624230814	True	True
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	False	0.0	0.0005918980905810334	0.0005918980905810334	0.0005918980905810334	True	False
B16_GSE109485_intracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	False	0.0006103877145249666	0.0	0.0006103877145249666	-0.0006103877145249666	True	False
B16_GSE149825_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	False	0.0	0.017317774064741366	0.017317774064741366	0.017317774064741366	True	False
B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	False	0.034774497839035766	1.5004604337252934	1.5004604337252934	1.4656859358862575	False	False
B16_GSE150401_MDK_knockdown_antiPD1	B16	GSE150401	Melanoma	False	0.0	0.07422023008169075	0.07422023008169075	0.07422023008169075	True	True
B16_GSE150401_antiPD1	B16	GSE150401	Melanoma	False	0.0	0.0	0.0	0.0	True	False
B16_GSE151829_Aire_KO_antiCTLA4	B16	GSE151829	Melanoma	False	0.3067418052196312	0.13393350758353936	0.3067418052196312	-0.17280829763609182	True	True
B16_GSE151829_antiCTLA4	B16	GSE151829	Melanoma	False	0.04129928145875606	0.10388464706408816	0.10388464706408816	0.0625853656053321	True	False
B16_GSE152925_Man2a1_KO_antiPDL1	B16	GSE152925	Melanoma	False	0.0	0.0	0.0	0.0	True	True
B16_GSE152925_antiPDL1	B16	GSE152925	Melanoma	False	0.021235350504255197	0.0030393653574435665	0.021235350504255197	-0.01819598514681163	True	False
B16_GSE152925_swainsonine_antiPDL1	B16	GSE152925	Melanoma	False	0.07334788101872633	0.15290240243163725	0.15290240243163725	0.07955452141291092	False	False
BNL-MEA_GSE148947_antiPD1	BNL-MEA	GSE148947	Liver	False	0.671056938695246	1.0991225739881736	1.0991225739881736	0.4280656352929276	True	False
BNL-MEA_GSE148947_regorafenib_5_antiPD1	BNL-MEA	GSE148947	Liver	False	0.3894955993823317	0.7123454113447806	0.7123454113447806	0.3228498119624489	False	False
