marker	unit	n_slices	n_up	n_down	n_tie	binomial_p_two_sided	wilcoxon_n	wilcoxon_stat	wilcoxon_p_two_sided	mean_delta	median_delta	matches_lock
Tacstd2	slice	64	49	15	0	2.436457216293327e-05	64	439.0	5.8398482923347564e-05	0.265392132370705	0.11606931339508711	True
Cldn4	slice	64	34	28	2	0.52577336017565	62	724.0	0.07667785136224303	0.12922545394484863	0.03995156983503673	True
TJ	slice	64	37	27	0	0.26043547657665356	64	784.0	0.08689644662558298	0.04847844336434701	0.035499515451832	True
