source,url,gene,cancer,high,medium,low,not_detected,n_annotated,score_type,patient_level_ipd,ici_annotated
Human Protein Atlas pathology.tsv (v23 archive),https://v23.proteinatlas.org/download/pathology.tsv.zip,TACSTD2,lung cancer,0,2,3,5,10,ordinal IHC (High/Medium/Low/Not detected),no,no
Human Protein Atlas pathology.tsv (v23 archive),https://v23.proteinatlas.org/download/pathology.tsv.zip,CLDN4,lung cancer,0,9,2,0,11,ordinal IHC (High/Medium/Low/Not detected),no,no
