Gene,Gene name,Cancer,High,Medium,Low,Not detected,prognostic - favourable,unprognostic - favourable,prognostic - unfavourable,unprognostic - unfavourable
ENSG00000184292,TACSTD2,breast cancer,0,0,0,11,,1.805e-2,,
ENSG00000184292,TACSTD2,carcinoid,0,0,0,4,,,,
ENSG00000184292,TACSTD2,cervical cancer,0,5,2,4,,3.082e-1,,
ENSG00000184292,TACSTD2,colorectal cancer,0,0,3,9,,,,3.668e-3
ENSG00000184292,TACSTD2,endometrial cancer,0,0,4,8,,1.216e-1,,
ENSG00000184292,TACSTD2,glioma,0,0,0,8,,,,5.697e-2
ENSG00000184292,TACSTD2,head and neck cancer,0,0,2,2,,2.150e-2,,
ENSG00000184292,TACSTD2,liver cancer,0,1,0,10,,,,1.193e-1
ENSG00000184292,TACSTD2,lung cancer,0,2,3,5,,,,1.785e-1
ENSG00000184292,TACSTD2,lymphoma,0,0,0,12,,,,
ENSG00000184292,TACSTD2,melanoma,0,0,0,11,,,,1.989e-1
ENSG00000184292,TACSTD2,ovarian cancer,0,1,0,11,,,,1.030e-2
ENSG00000184292,TACSTD2,pancreatic cancer,0,1,2,8,,,,1.706e-2
ENSG00000184292,TACSTD2,prostate cancer,0,0,0,12,,7.908e-2,,
ENSG00000184292,TACSTD2,renal cancer,0,0,0,11,3.989e-4,,,
ENSG00000184292,TACSTD2,skin cancer,0,5,3,3,,,,
ENSG00000184292,TACSTD2,stomach cancer,0,0,0,9,,7.096e-2,,
ENSG00000184292,TACSTD2,testis cancer,0,0,0,11,,,,2.546e-1
ENSG00000184292,TACSTD2,thyroid cancer,0,1,1,1,,6.909e-3,,
ENSG00000184292,TACSTD2,urothelial cancer,1,2,3,5,,2.504e-1,,
ENSG00000189143,CLDN4,breast cancer,2,9,1,0,,1.137e-1,,
ENSG00000189143,CLDN4,carcinoid,0,2,1,1,,,,
ENSG00000189143,CLDN4,cervical cancer,5,6,1,0,,2.787e-2,,
ENSG00000189143,CLDN4,colorectal cancer,11,0,0,0,,2.246e-1,,
ENSG00000189143,CLDN4,endometrial cancer,0,10,0,0,,,,1.231e-2
ENSG00000189143,CLDN4,glioma,0,0,0,12,,,,1.558e-2
ENSG00000189143,CLDN4,head and neck cancer,0,3,0,1,,1.839e-1,,
ENSG00000189143,CLDN4,liver cancer,1,5,1,5,,,,1.603e-2
ENSG00000189143,CLDN4,lung cancer,0,9,2,0,,,,7.088e-2
ENSG00000189143,CLDN4,lymphoma,0,0,0,12,,,,
ENSG00000189143,CLDN4,melanoma,0,0,0,11,,3.066e-1,,
ENSG00000189143,CLDN4,ovarian cancer,5,7,0,0,,,3.277e-4,
ENSG00000189143,CLDN4,pancreatic cancer,3,8,1,0,,,,2.159e-3
ENSG00000189143,CLDN4,prostate cancer,6,6,0,0,,,,5.106e-1
ENSG00000189143,CLDN4,renal cancer,0,3,3,6,3.464e-10,,,
ENSG00000189143,CLDN4,skin cancer,0,1,4,7,,,,
ENSG00000189143,CLDN4,stomach cancer,3,8,0,0,,5.771e-2,,
ENSG00000189143,CLDN4,testis cancer,0,0,2,10,,,,1.366e-1
ENSG00000189143,CLDN4,thyroid cancer,2,2,0,0,,9.379e-2,,
ENSG00000189143,CLDN4,urothelial cancer,8,4,0,0,,4.627e-2,,
