n_cells	rho_tacstd2	p_tacstd2_cells	rho_cldn4	p_cldn4_cells	rho_tacstd2_given_cldn4	p_tacstd2_given_cldn4_cells	rho_tacstd2_given_cldn4_rankresid	rho_cldn4_given_tacstd2	p_cldn4_given_tacstd2_cells	rho_tacstd2_cldn4	attenuation_pct	acme	ade	total_linear	a_x_to_m	b_m_to_y	acme_log1p_y	sample	patient	readout	unit
17837	-0.023350995392657135	0.0018155573284582983	0.03073111720266787	4.043440662956667e-05	-0.030493412244744885	4.6391041113744716e-05	-0.03049341224474487	0.036453081998524574	1.118014583964367e-06	0.20986157496246197		0.008096916744806141	-0.036354315330878476	-0.028257398586072333	0.22610323867604354	0.03581070661445611	0.0072584853542052175	LUAD-5 R1	Lung5	cd8nk_50um	section
17837	-0.014506882846574285	0.05269203735626604	0.04449092380169628	2.772636282665661e-09	-0.024411059255044786	0.0011125887547161158	-0.02441105925504479	0.04862314739630614	8.189317426778684e-11	0.20986157496246197		0.01456297376744338	-0.015590246524621064	-0.0010272727571776843	0.22610323867604354	0.06440851467991988	0.011082460613829953	LUAD-5 R1	Lung5	cd8nk_100um	section
17914	-0.016788114394535803	0.024641538117136732	0.029232722071230965	9.109461465673488e-05	-0.02226771491548046	0.0028781545145433753	-0.022267714915480467	0.032686997134046866	1.2105794959987153e-05	0.17532774575062823		0.004757173793448853	-0.01660083790207625	-0.011843664108627399	0.19133205315245144	0.024863444023455833	0.004616360356691181	LUAD-5 R2	Lung5	cd8nk_50um	section
17914	0.01981808268418246	0.007987663217827044	0.06298070917356326	3.246758459936177e-17	0.008931623567803647	0.2319526319420498	0.008931623567803647	0.06045416616584213	5.587237926414051e-16	0.17532774575062823		0.013232433583589779	0.010066824539549478	0.02329925812313926	0.19133205315245144	0.06915952327677323	0.01102731205828269	LUAD-5 R2	Lung5	cd8nk_100um	section
15893	0.005347643536644301	0.500237862509894	0.05298798200200939	2.3214245529590562e-11	-0.00571354166929815	0.4713906930980854	-0.00571354166929818	0.05302605261056581	2.249642670867455e-11	0.20628164473801372		0.008744785947737194	-0.003509418618755318	0.005235367328981876	0.22276115532753887	0.039256332347887224	0.010262531462381203	LUAD-5 R3	Lung5	cd8nk_50um	section
15893	0.019887002334871538	0.012170758799060488	0.09917934097262357	4.913155196478189e-36	-0.0005873409460817136	0.940981402921942	-0.0005873409460817117	0.09718603742224957	1.1639706644077004e-34	0.20628164473801372		0.020293182608642064	0.010548186765418237	0.0308413693740603	0.22276115532753887	0.0910983900168941	0.02154311627526401	LUAD-5 R3	Lung5	cd8nk_100um	section
66196	0.005355153252792248	0.1682684656977744	0.023267030024824043	2.1378019925001006e-09	0.0013866652346531472	0.7212714387638964	0.0013866652346530926	0.022685095928074463	5.310109856659751e-09	0.1714612113453001		0.004942251715350264	0.0005117462867457213	0.0054539980020959855	0.17113419049344405	0.02887939400712329	0.004986878515719632	LUSC-6	Lung6	cd8nk_50um	section
66196	-0.008437844018693552	0.02993605770890554	0.0252937056439698	7.583903514872641e-11	-0.012970909715741639	0.0008460161530520934	-0.012970909715741726	0.027143390537079985	2.854408642680633e-12	0.1714612113453001		0.006281169829816915	-0.0033261919774557128	0.0029549778523612026	0.17113419049344405	0.036703184861575276	0.006308618817252866	LUSC-6	Lung6	cd8nk_100um	section
38864	0.00883843243047583	0.08144153087707526	-0.09446264553039793	9.815088684780418e-78	0.025090481656246114	7.541162266932981e-07	0.02509048165624609	-0.0973125279742424	2.1194292149620243e-82	0.1671400300126104		-0.019373068378450823	0.035902007413025204	0.01652893903457438	0.1678273229168146	-0.11543453140853169	-0.020544915108104484	LUAD-9 R1	Lung9	cd8nk_50um	section
38864	0.025348804316162994	5.795982236623874e-07	-0.07899352650908033	7.674896421796126e-55	0.039224394692106715	1.0315327788378213e-14	0.0392243946921067	-0.08444495265643644	1.9433211433694321e-62	0.1671400300126104		-0.016205436851677347	0.047406994467744115	0.03120155761606677	0.1678273229168146	-0.09656018203728213	-0.01657982726105676	LUAD-9 R1	Lung9	cd8nk_100um	section
94876	-0.08709933242103955	3.862882875035931e-159	-0.12696873760378805	0.0	-0.0653347905579236	2.94467009991613e-90	-0.06533479055792366	-0.11327812398302714	1.9597369558502035e-268	0.1843270084565469	24.988184476438708	-0.027993690490181567	-0.060053954890587916	-0.08804764538076948	0.1917843313166724	-0.1459644294087751	-0.029002673114910966	LUAD-9 R2	Lung9	cd8nk_50um	section
94876	-0.08834888762095688	1.0694803488131752e-163	-0.13111834427335367	0.0	-0.06586779289039604	1.0437948434997175e-91	-0.06586779289039608	-0.11729390014006916	8.804300312917022e-288	0.1843270084565469	25.445815262566125	-0.029691840631663205	-0.06173145902728337	-0.09142329965894658	0.1917843313166724	-0.1548189074040482	-0.029612133944807134	LUAD-9 R2	Lung9	cd8nk_100um	section
18267	-0.1491320225427332	2.4616490473308293e-91	-0.15752617779488207	8.166399868732215e-102	-0.11386137245734512	9.124378805167123e-54	-0.11386137245734504	-0.12475163070013597	2.923365667981505e-64	0.2568801080077569	23.650621431947258	-0.03172849851064128	-0.10277885899179079	-0.13450735750243206	0.25730603475689084	-0.12331035508210741	-0.03402761244312739	LUAD-12	Lung12	cd8nk_50um	section
18267	-0.13137526564081003	3.974326615063906e-71	-0.16796875411049894	1.0863366271789642e-115	-0.09260658047336169	4.39509943870292e-36	-0.09260658047336172	-0.14009571886278596	1.0233731667851486e-80	0.2568801080077569	29.509881466915452	-0.03603395024256165	-0.08517303706861952	-0.12120698731118118	0.25730603475689084	-0.14004316018708005	-0.03808782903991397	LUAD-12	Lung12	cd8nk_100um	section
26030	-0.013914397117672237	0.024773011451084233	-0.05310902991056289	9.981920208639694e-18	-0.009040235963314203	0.14471194112794983	-0.009040235963314193	-0.0520478477004054	4.373176560487329e-17	0.0927494361405444		-0.0037703858224056347	-0.011088308456877373	-0.014858694279283007	0.12193634423796731	-0.03092093539435185	-0.004508786212211453	LUAD-13	Lung13	cd8nk_50um	section
26030	0.00048160275543437573	0.9380689431464629	-0.0429115378688376	4.3252124359514804e-12	0.004485070176925796	0.4693310344523237	0.004485070176925789	-0.04314217641601374	3.3250390002708624e-12	0.0927494361405444		-0.001521484303407698	-0.0009934358117638553	-0.002514920115171553	0.12193634423796731	-0.012477693282639464	-0.003474294093232988	LUAD-13	Lung13	cd8nk_100um	section
51644	-0.012887146619058954	0.0034038764851006273	0.036527409490137566	1.0105496932789706e-16	-0.020580081035981378	2.9078267317936665e-06	-0.020580081035981374	0.03989250584177676	1.201134834109426e-19	0.19897318181580548		0.007133369259925406	-0.019138150966214195	-0.012004781706288789	0.2156513596970381	0.03307824847451393	0.007248234582031531		Lung5	cd8nk_50um	donor
51644	0.0072177361339235465	0.10095630926448106	0.06777708426391905	1.2025973019151954e-53	-0.006410715395999698	0.1451658113142288	-0.0064107153959996966	0.06769626770990281	1.6031607700357728e-53	0.19897318181580548		0.016145881306001714	0.0012605357429636092	0.017406417048965325	0.2156513596970381	0.07487029680074617	0.014607783588178134		Lung5	cd8nk_100um	donor
66196	0.005355153252792248	0.1682684656977744	0.023267030024824043	2.1378019925001006e-09	0.0013866652346531472	0.7212714387638964	0.0013866652346530926	0.022685095928074463	5.310109856659751e-09	0.1714612113453001		0.004942251715350264	0.0005117462867457213	0.0054539980020959855	0.17113419049344405	0.02887939400712329	0.004986878515719632		Lung6	cd8nk_50um	donor
66196	-0.008437844018693552	0.02993605770890554	0.0252937056439698	7.583903514872641e-11	-0.012970909715741639	0.0008460161530520934	-0.012970909715741726	0.027143390537079985	2.854408642680633e-12	0.1714612113453001		0.006281169829816915	-0.0033261919774557128	0.0029549778523612026	0.17113419049344405	0.036703184861575276	0.006308618817252866		Lung6	cd8nk_100um	donor
133740	-0.062113345535674006	1.9345738758483955e-114	-0.12058209617116074	0.0	-0.04105461673337812	5.430279580038362e-51	-0.04105461673337798	-0.11131376002348882	0.0	0.1828230099131244	33.903710419528245	-0.024258544980907442	-0.030730101777916935	-0.05498864675882438	0.18461794926517677	-0.1313986266095047	-0.025989927680227603		Lung9	cd8nk_50um	donor
133740	-0.06092774000293586	3.527310217114249e-110	-0.12213764216529494	0.0	-0.03955600956734381	1.8397126995280035e-47	-0.0395560095673438	-0.11311165034479864	0.0	0.1828230099131244	35.077175740577665	-0.021845724794322337	-0.024657118629346976	-0.04650284342366931	0.18461794926517677	-0.11832936548842354	-0.024470820606604732		Lung9	cd8nk_100um	donor
18267	-0.1491320225427332	2.4616490473308293e-91	-0.15752617779488207	8.166399868732215e-102	-0.11386137245734512	9.124378805167123e-54	-0.11386137245734504	-0.12475163070013597	2.923365667981505e-64	0.2568801080077569	23.650621431947258	-0.03172849851064128	-0.10277885899179079	-0.13450735750243206	0.25730603475689084	-0.12331035508210741	-0.03402761244312739		Lung12	cd8nk_50um	donor
18267	-0.13137526564081003	3.974326615063906e-71	-0.16796875411049894	1.0863366271789642e-115	-0.09260658047336169	4.39509943870292e-36	-0.09260658047336172	-0.14009571886278596	1.0233731667851486e-80	0.2568801080077569	29.509881466915452	-0.03603395024256165	-0.08517303706861952	-0.12120698731118118	0.25730603475689084	-0.14004316018708005	-0.03808782903991397		Lung12	cd8nk_100um	donor
26030	-0.013914397117672237	0.024773011451084233	-0.05310902991056289	9.981920208639694e-18	-0.009040235963314203	0.14471194112794983	-0.009040235963314193	-0.0520478477004054	4.373176560487329e-17	0.0927494361405444		-0.0037703858224056347	-0.011088308456877373	-0.014858694279283007	0.12193634423796731	-0.03092093539435185	-0.004508786212211453		Lung13	cd8nk_50um	donor
26030	0.00048160275543437573	0.9380689431464629	-0.0429115378688376	4.3252124359514804e-12	0.004485070176925796	0.4693310344523237	0.004485070176925789	-0.04314217641601374	3.3250390002708624e-12	0.0927494361405444		-0.001521484303407698	-0.0009934358117638553	-0.002514920115171553	0.12193634423796731	-0.012477693282639464	-0.003474294093232988		Lung13	cd8nk_100um	donor
