readout	left_out	rho_cldn4	p_cldn4	rho_tacstd2	p_tacstd2
50 µm	LUAD-5 R1	0.7500000000000002	0.0521814004570578	-0.642857142857143	0.11939237342741109
50 µm	LUAD-5 R2	0.7500000000000002	0.0521814004570578	-0.642857142857143	0.11939237342741109
50 µm	LUAD-5 R3	0.7500000000000002	0.0521814004570578	-0.642857142857143	0.11939237342741109
50 µm	LUSC-6	0.5	0.2531699951003227	-0.7500000000000002	0.0521814004570578
50 µm	LUAD-9 R1	0.5	0.2531699951003227	-0.642857142857143	0.11939237342741109
50 µm	LUAD-9 R2	0.642857142857143	0.11939237342741109	-0.6785714285714287	0.09375025395983135
50 µm	LUAD-12	0.8571428571428573	0.013697326615325618	-0.6785714285714287	0.09375025395983135
50 µm	LUAD-13	0.5	0.2531699951003227	-0.7500000000000002	0.0521814004570578
100 µm	LUAD-5 R1	0.7857142857142859	0.03623846267982715	-0.6071428571428572	0.14823116148116164
100 µm	LUAD-5 R2	0.7857142857142859	0.03623846267982715	-0.6071428571428572	0.14823116148116164
100 µm	LUAD-5 R3	0.7500000000000002	0.0521814004570578	-0.642857142857143	0.11939237342741109
100 µm	LUSC-6	0.6071428571428572	0.14823116148116164	-0.642857142857143	0.11939237342741109
100 µm	LUAD-9 R1	0.6071428571428572	0.14823116148116164	-0.5357142857142858	0.21521745567801298
100 µm	LUAD-9 R2	0.7500000000000002	0.0521814004570578	-0.5714285714285715	0.18020198891152767
100 µm	LUAD-12	0.9642857142857145	0.00045414916919416935	-0.5714285714285715	0.18020198891152767
100 µm	LUAD-13	0.6071428571428572	0.14823116148116164	-0.642857142857143	0.11939237342741109
