dataset	readout	left_out	acme_full	acme_loo	rho_tacstd2_loo	rho_partial_loo	delta_acme
GSE123902	pct_pos	LX255B	-0.22576416812962766	-0.22198580503885923	-0.3356643356643357	-0.223161425376815	0.0037783630907684274
GSE123902	pct_pos	LX653	-0.22576416812962766	-0.16043283363388244	-0.14685314685314685	-0.02356541726136428	0.06533133449574521
GSE123902	pct_pos	LX661	-0.22576416812962766	-0.27077879697406465	-0.4125874125874127	-0.33849175327393516	-0.045014628844436994
GSE123902	pct_pos	LX666	-0.22576416812962766	-0.19101615888252702	-0.5244755244755246	-0.31141136675568004	0.03474800924710064
GSE123902	pct_pos	LX675	-0.22576416812962766	-0.24043820298157753	-0.3356643356643357	-0.223161425376815	-0.014674034851949874
GSE123902	pct_pos	LX676	-0.22576416812962766	-0.22450095676785142	-0.4125874125874127	-0.3282832502514348	0.0012632113617762342
GSE123902	pct_pos	LX679	-0.22576416812962766	-0.23490744187950663	-0.30069930069930073	-0.1746211132339783	-0.009143273749878972
GSE123902	pct_pos	LX680	-0.22576416812962766	-0.36857805031126856	-0.41958041958041964	0.021310950289802573	-0.1428138821816409
GSE123902	pct_pos	LX681	-0.22576416812962766	-0.20898404507582047	-0.14685314685314685	0.045042811668915134	0.01678012305380719
GSE123902	pct_pos	LX682	-0.22576416812962766	-0.1943252228747167	-0.3426573426573427	-0.23765729516304251	0.03143894525491095
GSE123902	pct_pos	LX684	-0.22576416812962766	-0.19155056497388145	-0.20979020979020982	-0.09409276511571742	0.0342136031557462
GSE123902	pct_pos	LX699	-0.22576416812962766	-0.15452764536957797	-0.25874125874125875	-0.13000577199227242	0.07123652276004969
GSE123902	pct_pos	LX701	-0.22576416812962766	-0.23739279736645344	-0.3426573426573427	-0.22989429149129617	-0.011628629236825783
GSE123902	mean_log1p_umi	LX255B	-0.10873920409544105	-0.10192145722290767	-0.21678321678321683	-0.07217226418843055	0.006817746872533378
GSE123902	mean_log1p_umi	LX653	-0.10873920409544105	-0.04133431138660196	0.0	0.13918112642804992	0.06740489270883909
GSE123902	mean_log1p_umi	LX661	-0.10873920409544105	-0.12515944321938116	-0.31468531468531474	-0.16998448699974694	-0.01642023912394011
GSE123902	mean_log1p_umi	LX666	-0.10873920409544105	-0.1020317907974878	-0.37762237762237766	-0.12892783595693716	0.006707413297953255
