gene_set	human_symbol	mouse_symbol	in_claim6	note
CLAIM6	IFI27	Ifi27l2a	True	Original six-gene claim
CLAIM6	OAS2	Oas2	True	Original six-gene claim
CLAIM6	IFIT1	Ifit1	True	Original six-gene claim
CLAIM6	MX1	Mx1	True	Original six-gene claim
CLAIM6	ISG15	Isg15	True	Original six-gene claim
CLAIM6	HLA-A	H2-K1	True	Original six-gene claim
IFN_ISG	ADAR	Adar	False	Prespecified type-I IFN / ISG panel
IFN_ISG	BST2	Bst2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	CMPK2	Cmpk2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	CXCL10	Cxcl10	False	Prespecified type-I IFN / ISG panel
IFN_ISG	CXCL11	Cxcl11	False	Prespecified type-I IFN / ISG panel
IFN_ISG	CXCL9	Cxcl9	False	Prespecified type-I IFN / ISG panel
IFN_ISG	DDX58	Ddx58	False	Prespecified type-I IFN / ISG panel
IFN_ISG	DHX58	Dhx58	False	Prespecified type-I IFN / ISG panel
IFN_ISG	EIF2AK2	Eif2ak2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFI27	Ifi27l2a	True	Prespecified type-I IFN / ISG panel
IFN_ISG	IFI35	Ifi35	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFI44	Ifi44	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFI44L		False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFI6		False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFIH1	Ifih1	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFIT1	Ifit1	True	Prespecified type-I IFN / ISG panel
IFN_ISG	IFIT2	Ifit2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFIT3	Ifit3	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFITM1	Ifitm1	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFITM2	Ifitm2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IFITM3	Ifitm3	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IRF7	Irf7	False	Prespecified type-I IFN / ISG panel
IFN_ISG	IRF9	Irf9	False	Prespecified type-I IFN / ISG panel
IFN_ISG	ISG15	Isg15	True	Prespecified type-I IFN / ISG panel
IFN_ISG	ISG20	Isg20	False	Prespecified type-I IFN / ISG panel
IFN_ISG	LY6E	Ly6e	False	Prespecified type-I IFN / ISG panel
IFN_ISG	MX1	Mx1	True	Prespecified type-I IFN / ISG panel
IFN_ISG	MX2	Mx2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	OAS1	Oas1a	False	Prespecified type-I IFN / ISG panel
IFN_ISG	OAS2	Oas2	True	Prespecified type-I IFN / ISG panel
IFN_ISG	OAS3	Oas3	False	Prespecified type-I IFN / ISG panel
IFN_ISG	OASL	Oasl1	False	Prespecified type-I IFN / ISG panel
IFN_ISG	RSAD2	Rsad2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	STAT1	Stat1	False	Prespecified type-I IFN / ISG panel
IFN_ISG	STAT2	Stat2	False	Prespecified type-I IFN / ISG panel
IFN_ISG	TRIM21	Trim21	False	Prespecified type-I IFN / ISG panel
IFN_ISG	TRIM22		False	Prespecified type-I IFN / ISG panel
IFN_ISG	USP18	Usp18	False	Prespecified type-I IFN / ISG panel
IFN_ISG	XAF1	Xaf1	False	Prespecified type-I IFN / ISG panel
MHC_APM	B2M	B2m	False	Prespecified classical MHC-I and APM panel
MHC_APM	CALR	Calr	False	Prespecified classical MHC-I and APM panel
MHC_APM	CANX	Canx	False	Prespecified classical MHC-I and APM panel
MHC_APM	ERAP1	Erap1	False	Prespecified classical MHC-I and APM panel
MHC_APM	ERAP2		False	Prespecified classical MHC-I and APM panel
