dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE22493	SKOV-3 KD	CLAIM6	IFI27	IFI27	-0.7079333333333332	0.7289076553654441	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	CLAIM6	OAS2	OAS2	0.8787333333333334	0.46184826980459703	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	CLAIM6	IFIT1	IFIT1	-2.0257	0.055391903334707976	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	CLAIM6	MX1	MX1	0.3584	0.5593994377922237	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	CLAIM6	ISG15	ISG15	0.48323333333333335	0.6200350302535708	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	CLAIM6	HLA-A	HLA-A	-0.8463333333333333	0.4118322751102467	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	B2M	B2M	-1.1704	0.5642884359828393	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	HLA-B	HLA-B	-0.4496666666666666	0.7782518979587414	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	HLA-C	HLA-C	-0.48213333333333336	0.5948749301527572	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	NLRC5	NLRC5	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	PSMB8	PSMB8	0.4172833333333334	0.3517506635480519	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
