dataset	contrast	gene_set	CLDN4_log2FC	n_in_set	n_observed	n_up	frac_up	median_log2FC	mean_log2FC	sign_p_greater	wilcoxon_p_greater	ranksum_p_greater	wilcoxon_p_less	direction_call
GSE22493	SKOV-3 KD	CLAIM6	-1.22505	6	6	3	0.5	-0.1747666666666666	-0.3099333333333332	0.65625	0.71875	0.6595350921312291	0.34375	weak_down
GSE22493	SKOV-3 KD	IFN_ISG	-1.22505	39	27	12	0.4444444444444444	-0.01366666666666666	-0.07408456790123458	0.7789658308029175	0.7190337404608727	0.6188030446101214	0.2890304923057556	weak_down
GSE22493	SKOV-3 KD	MHC_APM	-1.22505	18	14	4	0.2857142857142857	-0.4536083333333333	-0.2558964285714286	0.9713134765625	0.96075439453125	0.914511021703547	0.0452880859375	down
GSE22493	SKOV-3 KD	IFN_AND_APM	-1.22505	57	41	16	0.3902439024390244	-0.1361	-0.13616666666666666	0.9413623970212939	0.9277993831137792	0.8518957464055702	0.0740217836832926	weak_down
GSE22493	SKOV-3 KD	HALLMARK_IFNA	-1.22505	97	70	32	0.45714285714285713	-0.02120833333333333	-0.04377535714285715	0.7985184624769601	0.8123543791824173	0.6313051102086464	0.18764562081758268	weak_down
GSE22493	SKOV-3 KD	HALLMARK_IFNG	-1.22505	200	154	70	0.45454545454545453	-0.06580833333333334	-0.14274150432900437	0.8866746689960436	0.8760295595335585	0.7305383118103997	0.1239704404664414	weak_down
GSE50927	baseline KO vs WT	CLAIM6	-6.061296179	6	6	5	0.8333333333333334	0.6251424265000001	0.7198772586666666	0.109375	0.03125	0.0024770331273321474	0.984375	up
GSE50927	baseline KO vs WT	IFN_ISG	-6.061296179	39	37	34	0.918918918918919	0.442283218	0.7161583003243244	6.165646482259035e-08	5.5442797020077705e-09	7.5221468733804e-12	0.9999999953433871	up
GSE50927	baseline KO vs WT	MHC_APM	-6.061296179	18	16	14	0.875	0.2782370525	0.3339417165625	0.0020904541015625	7.62939453125e-05	7.021945845318241e-05	0.9999542236328125	up
GSE50927	baseline KO vs WT	IFN_AND_APM	-6.061296179	57	53	48	0.9056603773584906	0.390851313	0.6007721618301888	3.538689341553436e-10	1.9133562515519903e-09	5.56165854488775e-15	0.9999999980866437	up
GSE50927	baseline KO vs WT	HALLMARK_IFNA	-6.061296179	97	90	72	0.8	0.196529839	0.3140042084666667	4.035372222057845e-09	1.1293770155270559e-08	4.0260260399515563e-10	0.9999999887062299	up
GSE50927	baseline KO vs WT	HALLMARK_IFNG	-6.061296179	200	186	134	0.7204301075268817	0.1712123495	0.254230335876344	7.833846388028233e-10	1.3092934072416763e-09	1.1395608023230699e-11	0.9999999986907065	up
