Gene_Name	welch_t
CLDN4	26.113734069717893
LRATD2	17.784322853510854
RBM47	17.07165540282235
PRSS8	16.29588079387197
C1orf210	16.113408504550048
TMEM30B	15.811625168442069
CRB3	15.747034941043738
MPZL3	15.61649623854689
CLDN7	15.455903802151239
CLDN3	15.435150616959291
ABHD11	15.256358359825644
BSPRY	14.956875928454005
CORO1B	14.8252895256152
NTHL1	14.733834776676172
ELMO3	14.70144866358016
B3GNT3	14.647081623980538
RAB40C	14.63348480560646
SLC50A1	14.568381254770538
CYB561	14.520356852668781
PIGQ	14.516222902755745
LSR	14.48215918531727
KDF1	14.432805102015067
KIAA1522	14.419497757893717
TMEM9	14.408155529953747
AP1M2	14.375736031830728
HDHD3	14.331514219154636
SDC4	14.322914041629868
SYNE4	14.193950721438307
TMEM184A	14.184564428077724
VKORC1L1	14.176369493218843
DYNLL2	14.153603377568071
SH2D3A	14.09797167284193
MAL2	14.091706056270597
SPSB2	14.04627912732529
SPINT1	13.97521530824722
EFNA4	13.924070191342627
SPINT2	13.901222117854672
CHMP4C	13.844193123856028
POR	13.806456838482584
BICDL2	13.782522708650172
F11R	13.777699485020966
VWA1	13.715358340972303
MAGIX	13.669401862625003
SDF2	13.627580341836051
TMED4	13.625572881872552
MGST1	13.580397879429922
FAM3A	13.547576857489737
NUBP2	13.540706595239632
TMEM159	13.527520472236509
CLDN23	13.447077225885977
MMP15	13.435910960051329
TMEM186	13.434236993980955
STARD10	13.428803277262164
MROH6	13.426544655739585
MCRIP2	13.319010884190181
CTBP2	13.311014408359599
LLGL2	13.304419680077558
ELF3	13.29953396916584
MAPK13	13.292947732532472
PRSS16	13.271909946401866
RASSF7	13.211828245106346
GIPC1	13.210852855170243
SCAMP4	13.1969076397056
AGPAT2	13.165155233838416
ZBTB42	13.161032748037965
ARHGEF16	13.154312041044866
STUB1	13.136303530478655
PGAP3	13.055593274944702
PYM1	12.97324153450749
GDE1	12.971530653402294
CLDN12	12.942101779285302
SLC39A11	12.906843831854411
TMEM53	12.886200025440779
NUDCD3	12.883085507156153
DBNDD1	12.881011123055616
PRRG2	12.879709717526069
SMIM14	12.799098525230908
C12orf49	12.779799228513221
DGCR2	12.775933326370604
PLPP2	12.770151998378653
CDS1	12.731561973190606
ANAPC11	12.70688210274973
SOWAHB	12.695915110144306
ZDHHC16	12.6553193779888
SMIM1	12.655033192500845
MRPL55	12.643654393969587
CHMP1A	12.59108369571005
CIAO3	12.581529245792789
SLC52A2	12.57369904108082
TUG1	12.548019368491584
SLC22A18	12.527137137031607
TMEM125	12.521472665517546
TLCD1	12.510477308889998
TMED3	12.466555339575327
SLC35A2	12.462195894504239
UQCC3	12.454559517667986
BUD23	12.43490609533859
MRPS23	12.411756046292608
RAB25	12.406473847927318
PRR15L	12.39901386386374
GET4	12.375729186583742
ZBTB7B	12.36945563489135
DNAJC30	12.366417555368876
YIPF2	12.363776218266828
HMGB3	12.363009477691085
CCDC120	12.362827322276218
COA4	12.356963590259634
PYGO2	12.346716886217575
PPP1R16A	12.327787687465408
ZNHIT1	12.29477734114848
CAPN12	12.2765111432096
C1orf116	12.273310915570468
TBL3	12.272941306309262
NELFA	12.270920617907558
UBE2H	12.266450554185543
ROGDI	12.25986582270635
TRAPPC6A	12.259228191063404
VPS37C	12.23831298011566
FAHD1	12.227861215899527
RPUSD1	12.220957333921556
LZTS3	12.215501307445201
LMAN2L	12.213218524906114
SLC39A4	12.19921535597926
ARL6IP1	12.18912683085606
PAQR4	12.18169781402222
PLA2G12A	12.18167003039554
MRPS6	12.179210213863364
FAM234A	12.172808461144795
PPP4C	12.16465364939691
FIS1	12.153217668156127
DECR2	12.152172269854079
COA1	12.15158212371569
METTL26	12.143461877119908
ANTKMT	12.130642056885103
PMF1	12.126823536726201
PGAP6	12.124423531393505
TMEM141	12.101375534223523
OGFOD3	12.098849587184194
BLOC1S4	12.096905567039064
PRSS22	12.095680472725755
WDR13	12.065135985739163
IRF2BP2	12.032607963873552
ARPC1A	12.031021071665982
CYREN	12.02494696601288
TSPAN17	12.024010871006288
TAGLN2	12.017805346995432
MFSD9	12.015964265943754
SLC25A23	12.014106426703357
NOL3	12.0104559579354
NMRAL1	12.008111916111888
CNOT11	12.001374860485988
TUSC2	12.000856022472563
GPRC5A	11.996104688578464
KLHL36	11.979357182835368
THEM6	11.97755994658212
ORMDL3	11.975864893385483
SAMD10	11.969731392346834
PXMP4	11.965350053585478
BAIAP2L1	11.96174366235566
COMTD1	11.953808327351947
BLVRB	11.953425112014514
SEPHS2	11.952756145418926
RABIF	11.943902775964169
CACFD1	11.943796517574162
TMEM106B	11.943516545786853
EMP2	11.942017225956624
ARF3	11.939069481056254
RCC1	11.917840378882266
ARSD	11.91703152907483
SRC	11.911398610052217
RETREG3	11.89985030829899
TSPAN13	11.896044783435192
ENSA	11.895661537808614
SSU72	11.887487819365116
CBX4	11.88459664635052
TMEM208	11.883684517992489
UBL4A	11.880810329152952
HDAC11	11.880440648840814
SRSF1	11.875955623490123
HMOX2	11.86910812786882
POLR3K	11.844488443545917
GPRC5C	11.835038556327248
PDF	11.82757027387926
RHBDD2	11.811992860787107
WDR34	11.804402281578534
SLC35E1	11.797889940448563
SLC38A10	11.784652254324117
TMEM187	11.782814230918639
TSPAN3	11.782790358067611
PHLDA2	11.782416088473864
CRCP	11.774429665090503
ADAM15	11.772144071838897
YIPF6	11.76915967648068
MRPL14	11.76244368944942
CENPBD1	11.74103988420613
FASTK	11.736889771576733
C7orf50	11.734081500419197
SHARPIN	11.727401065293934
NME4	11.726739087414686
HEXIM2	11.723824465723126
MID1IP1	11.704484982208555
DPM2	11.698780823323395
TKT	11.698120185782804
CARHSP1	11.697542703542773
BCL2L1	11.689284296751914
LYPLA2	11.684607667755461
C1orf226	11.677106202456494
ENDOV	11.672869916519462
BCAT2	11.664548098596304
NR2F6	11.655502686006347
TIMM17B	11.649151562692817
RBM4	11.630641138691406
ABCB9	11.624719007787338
SYNGR2	11.621720495414273
ENDOD1	11.616748643968222
SDC1	11.61625600291644
STK40	11.606813450646154
PAFAH2	11.603419535826598
PUSL1	11.598880593191508
TMEM54	11.592498358816794
MPZL2	11.588345755816425
ALKBH4	11.587312918892808
FZD5	11.586469591191547
S100A6	11.584999416478079
MRFAP1L1	11.581238968860264
MSRB1	11.57046930232856
PAK4	11.569278030281033
ARF1	11.56775982557938
TSPAN15	11.567202421533105
SLC12A9	11.563700883927956
FUT2	11.562411807708932
MAFK	11.55097991560909
EPS8L2	11.548379952360028
PSMG3	11.545624007227758
C2orf68	11.54459812835531
PCYT2	11.541208613151223
TMUB1	11.532741445466492
INAVA	11.532349912883774
GUCD1	11.531802313323915
NDUFB2	11.527998570785359
EIF4H	11.515040534764353
GRB7	11.506302329645294
EIF6	11.500329717109086
MAFG	11.497925470435773
MFSD3	11.491062866611097
NECAB3	11.473922387680267
NUDT8	11.473639437749071
AVL9	11.4480262198925
EME2	11.44315025850145
CABLES2	11.429212512300577
SLC35B2	11.428586115140236
TMEM101	11.428470527482103
TNFRSF12A	11.42818315317529
PAGR1	11.425139692129346
PDIK1L	11.421323748597246
DGAT1	11.418389979004239
MAEA	11.417919023395411
NUDT14	11.40595511376489
DAGLB	11.40069750131794
CASP6	11.387944505750268
KCNK5	11.37750082464928
LACTB2	11.36181607740744
TBC1D16	11.361111270666461
CYHR1	11.360353419787451
RETREG2	11.352595863065012
TSR3	11.350447044480047
AP1S1	11.347909077804456
RFFL	11.343522342124757
TRIM2	11.342783932488146
OTUB1	11.338280123442816
SPTSSA	11.337584929426244
JPT2	11.335119399954573
CPTP	11.332384347173033
CSNK1E	11.323915989148624
CMTM8	11.323317640310243
EMC10	11.312244666950713
GPAA1	11.311545041049525
LRRC59	11.306081616953973
FGFRL1	11.300966140555383
MLST8	11.300882782651003
ZBED4	11.300464367174477
APH1A	11.300258205701772
SOX4	11.299557682765023
ADM2	11.29872022989448
GGCT	11.295422907704463
UXS1	11.282642056473765
DNASE1	11.278940969800447
OXLD1	11.277531227434556
MRPS18A	11.27329861237886
SLC25A10	11.270683987346555
SMIM22	11.266741897791437
