term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	accession	rank_metric	n_genes_ranked	n_q4	n_q1	headline	fdr	direction
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3302198009646479	0.9046590036852191	0.8861138861138861	200	2.704314670005753	VAMP8,LGALS3BP,LY6E,IFNAR2,RBCK1,TRIM25,PSMA2,ISG15,UPP1,IRF7,DHX58,PSMB2,MVP,ARL4A,METTL7B,CASP3,PSMB10,CASP7,TRIM14,IRF9,SECTM1,TOR1B,IFI35,ISOC1,PSMA3	111	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1	19559	89	89	True	0.8861138861138861	UP_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.4014137842341252	0.9520627657926701	0.5894105894105894	21	2.2321215478855074	PSMB10,TAPBPL,CANX,B2M,PSMB8,PSMB9,PDIA3,CALR,IRF1,HLA-G,TAP2,TAPBP	12	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1	19559	89	89	True	0.8841158841158842	UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.4365782036900686	1.191303237730398	0.012987012987012988	168	4.24273562680312	CLDN4,CRB3,CLDN7,CLDN3,F11R,CLDN23,LLGL2,ARPC1A,SRC,MARVELD3,DLG3,CGN,CLDN9,RAC1,TJP3,ERBB2,ARPC5L,ARPC1B,ARPC4,RAP2C,PRKAB1,ARPC5,MAPK9,EPB41L4B,ARHGEF18	81	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1	19559	89	89	True	0.03896103896103896	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.40997016451082874	1.097349166474045	0.1998001998001998	97	3.66008424024285	LGALS3BP,MVB12A,LY6E,CNP,TRIM25,ISG15,IRF7,DHX58,TRIM14,TMEM140,IRF9,CD47,IFI35,PSMA3,IFI27,PSME2,TRIM5,NUB1,TENT5A,BATF2,OAS1,TRAFD1,CSF1,HELZ2,BST2	66	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1	19559	89	89	False		UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION_NO_CLDN4	0.4298084627757188	1.1677238011472213	0.025974025974025976	167	4.111771564270698	CRB3,CLDN7,CLDN3,F11R,CLDN23,LLGL2,ARPC1A,SRC,MARVELD3,DLG3,CGN,CLDN9,RAC1,TJP3,ERBB2,ARPC5L,ARPC1B,ARPC4,RAP2C,PRKAB1,ARPC5,MAPK9,EPB41L4B,ARHGEF18,CCND1	80	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1	19559	89	89	False		UP_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.30668413811648443	0.8629800733018366	0.9500499500499501	200	0.16379335441536672	VAMP8,LGALS3BP,RBCK1,TRIM25,PSMB2,IFNAR2,PSMA2,LY6E,ARL4A,TOR1B,TRIM14,CASP3,IRF9,IRF7,UPP1,ISG15,DHX58,CASP7,PSMA3,PSME2,ISOC1,MVP,METTL7B,PSMB10,TRAFD1	114	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	spearman_vs_CLDN4	19606	89	89	True	0.9500499500499501	UP_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.35668177546504287	0.8762425813445156	0.7242757242757243	21	0.13805895165793	PSMB10,TAPBPL,CANX,PSMB8,B2M,PDIA3,PSMB9,IRF1,TAP2,CALR,TAPBP	11	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	spearman_vs_CLDN4	19606	89	89	True	0.9500499500499501	UP_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.4363788285316532	1.225403390881873	0.005994005994005994	168	0.24327795890683365	CLDN4,F11R,CLDN7,CRB3,CLDN3,CLDN23,ARPC1A,LLGL2,SRC,MARVELD3,ARPC5L,RAC1,ARPC5,DLG3,ARPC4,ARHGEF18,RAP2C,ERBB2,ARPC1B,EZR,PRKAB1,TJP3,EPB41L4B,CGN,MAP2K7	86	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	spearman_vs_CLDN4	19606	89	89	True	0.017982017982017984	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3936742050256406	1.0764554675732352	0.23976023976023977	97	0.21926584340311184	LGALS3BP,MVB12A,CNP,TRIM25,LY6E,TRIM14,IRF9,IRF7,ISG15,DHX58,CD47,PSMA3,PSME2,TMEM140,TRAFD1,NUB1,IFI35,TRIM5,PSME1,IFI27,BATF2,TENT5A,HELZ2,BST2,OAS1	63	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	spearman_vs_CLDN4	19606	89	89	False		UP_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3302462371481645	0.9045794753251957	0.8691308691308691	200	2.704314670005753	VAMP8,LGALS3BP,LY6E,IFNAR2,RBCK1,TRIM25,PSMA2,ISG15,UPP1,IRF7,DHX58,PSMB2,MVP,ARL4A,METTL7B,CASP3,PSMB10,CASP7,TRIM14,IRF9,SECTM1,TOR1B,IFI35,ISOC1,PSMA3	111	GSE218989_CLDN4_Q4_vs_Q1	GSE218989	welch_t_Q4_minus_Q1_drop_CLDN4	19558	89	89	True	0.8691308691308691	UP_in_CLDN4_Q4
