cldn4_cut,tumor_gate,immune,radius_um,mean_high,mean_low,delta,n_down_section,n_up_section,p_section,n_down_donor,n_up_donor,p_donor,mix_high,mix_low,mix_all,n_tumor_high,n_tumor_low,frac_high,frac_low,resid_high,resid_low,knn_high,knn_low
median,marker,cd8,20,0.6484005866251608,0.6095577271064226,0.038842859518738115,1,7,0.015625,1,4,0.125,0.28088268047219206,0.30953745739681804,0.2091132957585616,135572,212431,0.0963918905058764,0.084807669339696,0.023868253968472204,-0.016546344116777537,0.9479139913340622,0.8452081118388702
median,marker,cd8,40,2.5756761959639323,2.462698774722672,0.11297742124126042,3,5,0.109375,1,4,0.1875,0.30090202412939143,0.3263826997342941,0.22145462673174565,135572,212431,0.09406391260806281,0.08493456455265716,0.010256941997011975,-0.0002189672010580613,0.9479139913340622,0.8452081118388702
median,marker,cd8,60,5.603078480200038,5.415523339211469,0.18755514098856896,3,5,0.25,1,4,0.1875,0.31317490624601385,0.3333240784546004,0.22795357491990678,135572,212431,0.09206267450939923,0.08458479465306047,-0.030888427851308686,0.03660680916780557,0.9479139913340622,0.8452081118388702
median,marker,cd8,80,9.729487901072728,9.453790367447182,0.2756975336255465,3,5,0.25,1,4,0.1875,0.32272473665922147,0.337933128187958,0.23272103688784232,135572,212431,0.09078949829126115,0.08446544648162896,-0.08082190421722434,0.08150103661798852,0.9479139913340622,0.8452081118388702
median,marker,cd8_nk,20,1.0938086769511317,1.028820348950104,0.06498832800102772,1,7,0.015625,1,4,0.125,0.3543093719002437,0.3929967253248047,0.29484156688594176,135572,212431,0.16640504408425355,0.14582852577529923,0.022060281398802704,-0.011079431076128183,1.497992913367502,1.354010227280253
median,marker,cd8_nk,40,4.131519377604804,3.9941631831635087,0.13735619444129554,3,5,0.1953125,2,3,0.3125,0.36226757208421223,0.400312405554458,0.3006487341678932,135572,212431,0.15157894107317496,0.138299644831476,-0.024884177944689997,0.030945114514709784,1.497992913367502,1.354010227280253
median,marker,cd8_nk,60,8.931952611329784,8.716845133149588,0.2151074781801956,3,5,0.3125,1,4,0.1875,0.372234560020718,0.4052628035797818,0.30676189172993923,135572,212431,0.14715035420624223,0.1364330429077592,-0.10322296941599293,0.10030707502878342,1.497992913367502,1.354010227280253
median,marker,cd8_nk,80,15.482249045406046,15.181953694017093,0.3002953513889537,3,5,0.3828125,1,4,0.3125,0.3805979526930171,0.40913169113877784,0.31179677842927933,135572,212431,0.14478159044892616,0.13582694073755935,-0.20123169949198774,0.1864802468554289,1.497992913367502,1.354010227280253
q4,marker,cd8,20,0.6364849209580346,0.6024912706199197,0.033993650338114856,1,7,0.0390625,1,4,0.1875,0.31690523299581025,0.3206964628281666,0.2091132957585616,140003,194698,0.09393520625012589,0.08319475721193441,0.013261468259304184,-0.02488640069706633,0.927350364166248,0.8299550048650298
q4,marker,cd8,40,2.5324706098737684,2.4315728424896816,0.10089776738408673,3,5,0.25,2,3,0.3125,0.34072764265865185,0.3390541992458368,0.22145462673174565,140003,194698,0.09218009210707483,0.08356741294067958,-0.015057389516798265,-0.01295176354793389,0.927350364166248,0.8299550048650298
q4,marker,cd8,60,5.52698825298957,5.352217815969583,0.17477043701998696,3,5,0.25,1,4,0.1875,0.35376479056622767,0.34665002970764625,0.22795357491990678,140003,194698,0.09049060858746077,0.08341719523852771,-0.062427666405576863,0.02336107994678856,0.927350364166248,0.8299550048650298
