dataset,gene,comparison,n_control,n_treat,mean_control,mean_treat,sd_control,sd_treat,log2FC_treat_minus_control,value_type,welch_t_stat,welch_p,mwu_p,welch_FDR_within_dataset
E-MTAB-13704,Cldn4,ATRi vs vehicle,5,4,5.4714,5.4099,0.4132,0.2025,-0.0615,log2(CPM+1),-0.2917,0.780282497642786,0.7301587301587302,0.866980552936429
E-MTAB-13704,Cldn4,ATRi/aPD-L1 vs vehicle,5,5,5.4714,5.5884,0.4132,0.221,0.117,log2(CPM+1),0.5583,0.5964958467384657,0.6904761904761905,0.7456198084230821
E-MTAB-13704,Cldn4,Cisplatin/aPD-L1 /aCTLA4 vs vehicle,5,4,5.4714,5.9884,0.4132,0.3527,0.517,log2(CPM+1),2.024,0.0830277443481208,0.1111111111111111,0.41513872174060396
E-MTAB-13704,Cldn4,VEGFRi/aPD-L1 vs vehicle,5,4,5.4714,5.7063,0.4132,0.2276,0.235,log2(CPM+1),1.0825,0.31819056241360577,0.7301587301587302,0.6363811248272115
E-MTAB-13704,Cldn4,aPD-L1 vs vehicle,5,5,5.4714,5.1762,0.4132,0.245,-0.2952,log2(CPM+1),-1.374,0.2149340480847648,0.30952380952380953,0.537335120211912
E-MTAB-13704,Tacstd2,ATRi vs vehicle,5,4,6.675,6.78,0.0408,0.2257,0.1051,log2(CPM+1),0.9191,0.42274574218955585,1.0,0.7045762369825931
E-MTAB-13704,Tacstd2,ATRi/aPD-L1 vs vehicle,5,5,6.675,6.7112,0.0408,0.113,0.0362,log2(CPM+1),0.6747,0.5296730474651179,0.5476190476190477,0.7456198084230821
E-MTAB-13704,Tacstd2,Cisplatin/aPD-L1 /aCTLA4 vs vehicle,5,4,6.675,6.6656,0.0408,0.1645,-0.0093,log2(CPM+1),-0.1109,0.9180939177061853,0.5555555555555556,0.9180939177061853
E-MTAB-13704,Tacstd2,VEGFRi/aPD-L1 vs vehicle,5,4,6.675,7.0892,0.0408,0.0848,0.4142,log2(CPM+1),8.9735,0.0007560792756517095,0.015873015873015872,0.007560792756517095
E-MTAB-13704,Tacstd2,aPD-L1 vs vehicle,5,5,6.675,6.5525,0.0408,0.1496,-0.1225,log2(CPM+1),-1.7665,0.14277623571006814,0.15079365079365079,0.47592078570022717
GSE239485,Cldn4,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0833,-3.8545,0.9947,1.45,-0.7712,log2_normalised,-1.2405,0.23776200222522692,0.2786324786324786,0.31701600296696925
GSE239485,Cldn4,PolyIC+anti-PD1+anti-C5aR1 vs Control vehicle,8,8,-3.0833,-2.4975,0.9947,1.4207,0.5858,log2_normalised,0.9554,0.3574400818475832,0.1605283605283605,0.3574400818475832
GSE239485,Tacstd2,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0925,-0.9992,1.0896,0.6704,2.0932,log2_normalised,4.6279,0.000630978729467418,0.0006216006216006216,0.0019488723906586128
GSE239485,Tacstd2,PolyIC+anti-PD1+anti-C5aR1 vs Control vehicle,8,8,-3.0925,-0.5164,1.0896,1.3498,2.5761,log2_normalised,4.2003,0.0009744361953293064,0.0018648018648018648,0.0019488723906586128
GSE241978,Cldn4,AhR-KO vs Control,3,3,5.1501,4.556,0.5148,0.0,-0.5941,log2_normalised,-1.9989,0.18365498059701796,0.19670560245894686,0.18365498059701796
GSE241978,Tacstd2,AhR-KO vs Control,3,3,4.556,4.556,0.0,0.0,0.0,log2_normalised,,,,
GSE297630,Cldn4,anti-PD-1 vs Control,3,3,12.44,11.98,0.0436,0.06,-0.46,log2_RMA,-10.7433,0.0006806128739064068,0.1,0.0013612257478128136
GSE297630,Tacstd2,anti-PD-1 vs Control,3,3,5.9433,5.79,0.2316,0.2951,-0.1533,log2_RMA,-0.7079,0.5201207851956501,0.7,0.5201207851956501
GSE330658,Cldn4,PTX vs Control,2,2,4.8389,4.9378,0.0671,0.0823,0.0989,log2(TPM+1),1.3174,0.32287746086837593,0.6666666666666666,0.6495261616716816
GSE330658,Cldn4,PTX-anti-VEGF vs Control,2,2,4.8389,4.8684,0.0671,0.219,0.0295,log2(TPM+1),0.1822,0.8815265638491672,1.0,0.881526563849167
GSE330658,Cldn4,anti-VEGF vs Control,2,2,4.8389,4.9236,0.0671,0.0018,0.0848,log2(TPM+1),1.7855,0.3247630808358408,0.3333333333333333,0.6495261616716816
GSE330658,Tacstd2,PTX vs Control,2,2,3.0494,3.5185,0.1301,0.007,0.4692,log2(TPM+1),5.0923,0.12239263142268607,0.3333333333333333,0.6495261616716816
GSE330658,Tacstd2,PTX-anti-VEGF vs Control,2,2,3.0494,2.9831,0.1301,0.3029,-0.0662,log2(TPM+1),-0.2841,0.8135539440867627,1.0,0.881526563849167
GSE330658,Tacstd2,anti-VEGF vs Control,2,2,3.0494,2.9481,0.1301,0.029,-0.1012,log2(TPM+1),-1.074,0.46428092915682634,0.6666666666666666,0.6964213937352395
