dataset,gene,comparison,n_control,n_treat,mean_control,mean_treat,log2FC,is_icb_arm,value_type,welch_t,welch_p_two,welch_p_up,mwu_p
E-MTAB-13704,Cldn4,ATRi vs vehicle,5,4,5.4714,5.4099,-0.0615,False,log2(CPM+1),-0.2917,0.780282497642786,0.609858751178607,0.7301587301587302
E-MTAB-13704,Cldn4,ATRi/aPD-L1 vs vehicle,5,5,5.4714,5.5884,0.117,True,log2(CPM+1),0.5583,0.5964958467384659,0.29824792336923295,0.6904761904761905
E-MTAB-13704,Cldn4,Cisplatin/aPD-L1 /aCTLA4 vs vehicle,5,4,5.4714,5.9884,0.517,True,log2(CPM+1),2.024,0.08302774434812075,0.04151387217406038,0.1111111111111111
E-MTAB-13704,Cldn4,VEGFRi/aPD-L1 vs vehicle,5,4,5.4714,5.7063,0.235,True,log2(CPM+1),1.0825,0.3181905624136055,0.15909528120680275,0.7301587301587302
E-MTAB-13704,Cldn4,aPD-L1 vs vehicle,5,5,5.4714,5.1762,-0.2952,True,log2(CPM+1),-1.374,0.21493404808476468,0.8925329759576177,0.30952380952380953
E-MTAB-13704,Tacstd2,ATRi vs vehicle,5,4,6.675,6.78,0.1051,False,log2(CPM+1),0.9191,0.42274574218955585,0.21137287109477793,1.0
E-MTAB-13704,Tacstd2,ATRi/aPD-L1 vs vehicle,5,5,6.675,6.7112,0.0362,True,log2(CPM+1),0.6747,0.5296730474651179,0.26483652373255895,0.5476190476190477
E-MTAB-13704,Tacstd2,Cisplatin/aPD-L1 /aCTLA4 vs vehicle,5,4,6.675,6.6656,-0.0093,True,log2(CPM+1),-0.1109,0.9180939177061853,0.5409530411469073,0.5555555555555556
E-MTAB-13704,Tacstd2,VEGFRi/aPD-L1 vs vehicle,5,4,6.675,7.0892,0.4142,True,log2(CPM+1),8.9735,0.0007560792756517095,0.00037803963782585473,0.015873015873015872
E-MTAB-13704,Tacstd2,aPD-L1 vs vehicle,5,5,6.675,6.5525,-0.1225,True,log2(CPM+1),-1.7665,0.1427762357100679,0.928611882144966,0.15079365079365079
GSE114601,Cldn4,JQ1 vs Vehicle,2,2,6.1675,6.0783,-0.0892,False,log2(norm+1),-0.0771,0.9509909526877619,0.524504523656119,1.0
GSE114601,Cldn4,anti-PD1 vs Vehicle,2,2,6.1675,4.8445,-1.323,True,log2(norm+1),-1.7934,0.32294967829505283,0.8385251608524735,0.3333333333333333
GSE114601,Cldn4,anti-PD1+JQ1 vs Vehicle,2,2,6.1675,7.2985,1.131,True,log2(norm+1),2.6916,0.22356020385374367,0.11178010192687184,0.3333333333333333
GSE114601,Tacstd2,JQ1 vs Vehicle,2,2,7.1974,5.1568,-2.0406,False,log2(norm+1),-1.6024,0.25703355118039045,0.8714832244098047,0.3333333333333333
GSE114601,Tacstd2,anti-PD1 vs Vehicle,2,2,7.1974,6.0421,-1.1553,True,log2(norm+1),-0.9664,0.44967007910008633,0.7751649604499569,0.6666666666666666
GSE114601,Tacstd2,anti-PD1+JQ1 vs Vehicle,2,2,7.1974,5.3815,-1.8159,True,log2(norm+1),-1.8027,0.31809863375704045,0.8409506831214798,0.3333333333333333
GSE157880,Cldn4,IgG 4Gy vs IgG 0Gy,3,2,2.5564,3.1089,0.5525,False,log2(abundance+1),1.508,0.26464173318982764,0.13232086659491382,0.2
GSE157880,Cldn4,IgG 8Gy vs IgG 0Gy,3,3,2.5564,1.6691,-0.8873,False,log2(abundance+1),-2.096,0.11870111026985156,0.9406494448650742,0.2
