dataset,platform,gene,sample,group,is_control,value_log2,value_type
GSE239485,bulk RNA-seq,Tacstd2,C_339_S25,Control vehicle,True,-3.45890526188861,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_351_S29,Control vehicle,True,-2.77966153385733,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_356_S27,Control vehicle,True,-5.15742511598652,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_358_S26,Control vehicle,True,-3.42741408638233,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_361_S32,Control vehicle,True,-2.59697658517942,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_364_S28,Control vehicle,True,-3.52835113879256,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_369_S30,Control vehicle,True,-2.34329371199355,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,C_375_S31,Control vehicle,True,-1.44766839688096,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_344_S33,PolyIC+anti-PD1,False,-1.37765183824859,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_357_S37,PolyIC+anti-PD1,False,-1.070949146241,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_359_S39,PolyIC+anti-PD1,False,-0.682119574288495,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_366_S34,PolyIC+anti-PD1,False,-1.87525931868316,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_367_S35,PolyIC+anti-PD1,False,-1.83043951105821,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_368_S36,PolyIC+anti-PD1,False,-0.597495668763158,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_370_S38,PolyIC+anti-PD1,False,-0.62840096492206,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,D_373_S40,PolyIC+anti-PD1,False,0.0683606989642292,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_331_S44,PolyIC+anti-PD1+anti-C5aR1,False,-0.966553271728476,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_352_S48,PolyIC+anti-PD1+anti-C5aR1,False,0.750061120830313,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_353_S45,PolyIC+anti-PD1+anti-C5aR1,False,-2.3987407998846,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_354_S47,PolyIC+anti-PD1+anti-C5aR1,False,0.0552871249139915,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_355_S43,PolyIC+anti-PD1+anti-C5aR1,False,0.96695305508075,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_360_S46,PolyIC+anti-PD1+anti-C5aR1,False,0.89418445759684,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_362_S42,PolyIC+anti-PD1+anti-C5aR1,False,-1.78394032153352,log2_normalised
GSE239485,bulk RNA-seq,Tacstd2,T_363_S41,PolyIC+anti-PD1+anti-C5aR1,False,-1.64812181567333,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_339_S25,Control vehicle,True,-1.87394276116745,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_351_S29,Control vehicle,True,-3.51662712802353,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_356_S27,Control vehicle,True,-3.57246261526537,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_358_S26,Control vehicle,True,-3.42741408638233,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_361_S32,Control vehicle,True,-4.91890468006678,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_364_S28,Control vehicle,True,-2.79138554462635,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_369_S30,Control vehicle,True,-1.98072363260884,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,C_375_S31,Control vehicle,True,-2.5851719206309,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_344_S33,PolyIC+anti-PD1,False,-2.51515536199853,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_357_S37,PolyIC+anti-PD1,False,-4.97783974184952,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_359_S39,PolyIC+anti-PD1,False,-3.34508458701092,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_366_S34,PolyIC+anti-PD1,False,-3.46022181940432,log2_normalised
GSE239485,bulk RNA-seq,Cldn4,D_367_S35,PolyIC+anti-PD1,False,-5.00036451250052,log2_normalised
