dataset,gene,sample,group,is_control,value_log2,value_type,is_icb_arm
GSE114601,Tacstd2,s1795,anti-PD1,False,5.3892226163558945,log2(norm+1),True
GSE114601,Tacstd2,s2467,anti-PD1+JQ1,False,5.2731428593080825,log2(norm+1),True
GSE114601,Tacstd2,s2503,JQ1,False,5.94345253855882,log2(norm+1),False
GSE114601,Tacstd2,s2521,anti-PD1,False,6.695019442356839,log2(norm+1),True
GSE114601,Tacstd2,s2596,Vehicle,True,8.198886990956932,log2(norm+1),False
GSE114601,Tacstd2,s2617,Vehicle,True,6.195938100427832,log2(norm+1),False
GSE114601,Tacstd2,s2625,JQ1,False,4.37016428054021,log2(norm+1),False
GSE114601,Tacstd2,s2669,anti-PD1+JQ1,False,5.489928219405183,log2(norm+1),True
GSE114601,Cldn4,s1795,anti-PD1,False,4.107687869314374,log2(norm+1),True
GSE114601,Cldn4,s2467,anti-PD1+JQ1,False,6.8798282725483055,log2(norm+1),True
GSE114601,Cldn4,s2503,JQ1,False,4.922197848396367,log2(norm+1),False
GSE114601,Cldn4,s2521,anti-PD1,False,5.581351247168778,log2(norm+1),True
GSE114601,Cldn4,s2596,Vehicle,True,6.203201156316611,log2(norm+1),False
GSE114601,Cldn4,s2617,Vehicle,True,6.131754090984813,log2(norm+1),False
GSE114601,Cldn4,s2625,JQ1,False,7.2343863540945454,log2(norm+1),False
GSE114601,Cldn4,s2669,anti-PD1+JQ1,False,7.717196587208685,log2(norm+1),True
GSE114601,Cd8a,s1795,anti-PD1,False,0.722466024471091,log2(norm+1),True
GSE114601,Cd8a,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Cd8a,s2503,JQ1,False,0.963474123974886,log2(norm+1),False
GSE114601,Cd8a,s2521,anti-PD1,False,1.4698859762744636,log2(norm+1),True
GSE114601,Cd8a,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Cd8a,s2617,Vehicle,True,1.0426443374084937,log2(norm+1),False
GSE114601,Cd8a,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cd8a,s2669,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Cd3e,s1795,anti-PD1,False,3.5897634869849773,log2(norm+1),True
GSE114601,Cd3e,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Cd3e,s2503,JQ1,False,2.929790997718597,log2(norm+1),False
GSE114601,Cd3e,s2521,anti-PD1,False,3.300123724569014,log2(norm+1),True
GSE114601,Cd3e,s2596,Vehicle,True,0.7739963251111731,log2(norm+1),False
GSE114601,Cd3e,s2617,Vehicle,True,2.6599245584023783,log2(norm+1),False
GSE114601,Cd3e,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cd3e,s2669,anti-PD1+JQ1,False,2.7782085763980877,log2(norm+1),True
GSE114601,Cd3d,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Cd3d,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Cd3d,s2503,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cd3d,s2521,anti-PD1,False,1.4698859762744636,log2(norm+1),True
GSE114601,Cd3d,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Cd3d,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Cd3d,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Cd3d,s2669,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Gzmb,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Gzmb,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Gzmb,s2503,JQ1,False,0.0,log2(norm+1),False
GSE114601,Gzmb,s2521,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Gzmb,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Gzmb,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Gzmb,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Gzmb,s2669,anti-PD1+JQ1,False,1.298658315564515,log2(norm+1),True
GSE114601,Prf1,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Prf1,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Prf1,s2503,JQ1,False,0.963474123974886,log2(norm+1),False
GSE114601,Prf1,s2521,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Prf1,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Prf1,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Prf1,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Prf1,s2669,anti-PD1+JQ1,False,1.9745293124838819,log2(norm+1),True
GSE114601,Ifng,s1795,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Ifng,s2467,anti-PD1+JQ1,False,0.0,log2(norm+1),True
GSE114601,Ifng,s2503,JQ1,False,0.0,log2(norm+1),False
GSE114601,Ifng,s2521,anti-PD1,False,0.0,log2(norm+1),True
GSE114601,Ifng,s2596,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Ifng,s2617,Vehicle,True,0.0,log2(norm+1),False
GSE114601,Ifng,s2625,JQ1,False,0.0,log2(norm+1),False
GSE114601,Ifng,s2669,anti-PD1+JQ1,False,0.0,log2(norm+1),True
