dataset,gene,group,n,mean_log2,value_type
GSE197260,Cldn4,gefitinib d14,1,5.1497,log2(TPM+1)
GSE197260,Cldn4,gefitinib d3,1,1.926,log2(TPM+1)
GSE197260,Cldn4,gefitinib+anti-PD-1,1,1.2016,log2(TPM+1)
GSE197260,Cldn4,gefitinib+anti-PD-1+anti-VEGFR2,1,3.8176,log2(TPM+1)
GSE197260,Cldn4,gefitinib+anti-VEGFR2,1,6.5714,log2(TPM+1)
GSE197260,Cldn4,gefitinib+vehicle,1,7.7142,log2(TPM+1)
GSE197260,Cldn4,vehicle,1,4.8022,log2(TPM+1)
GSE197260,Tacstd2,gefitinib d14,1,6.0896,log2(TPM+1)
GSE197260,Tacstd2,gefitinib d3,1,3.0704,log2(TPM+1)
GSE197260,Tacstd2,gefitinib+anti-PD-1,1,1.0,log2(TPM+1)
GSE197260,Tacstd2,gefitinib+anti-PD-1+anti-VEGFR2,1,3.7004,log2(TPM+1)
GSE197260,Tacstd2,gefitinib+anti-VEGFR2,1,5.5236,log2(TPM+1)
GSE197260,Tacstd2,gefitinib+vehicle,1,6.5546,log2(TPM+1)
GSE197260,Tacstd2,vehicle,1,4.009,log2(TPM+1)
GSE133604,Cldn4,Asf1a-KO,1,0.2958,log2(pseudobulk CPM+1)
GSE133604,Cldn4,Asf1a-KO+anti-PD1,1,0.8043,log2(pseudobulk CPM+1)
GSE133604,Cldn4,Control,1,0.4853,log2(pseudobulk CPM+1)
GSE133604,Cldn4,Control+anti-PD1,1,0.1235,log2(pseudobulk CPM+1)
GSE133604,Tacstd2,Asf1a-KO,1,4.1102,log2(pseudobulk CPM+1)
GSE133604,Tacstd2,Asf1a-KO+anti-PD1,1,4.0702,log2(pseudobulk CPM+1)
GSE133604,Tacstd2,Control,1,3.6447,log2(pseudobulk CPM+1)
GSE133604,Tacstd2,Control+anti-PD1,1,3.627,log2(pseudobulk CPM+1)
GSE129297,Cldn4,CDK7i (YKL),1,3.6067,log2(pseudobulk CPM+1)
GSE129297,Cldn4,CDK7i+anti-PD-1,1,3.3372,log2(pseudobulk CPM+1)
GSE129297,Cldn4,Control,1,3.5675,log2(pseudobulk CPM+1)
GSE129297,Cldn4,anti-PD-1,1,3.5239,log2(pseudobulk CPM+1)
GSE129297,Tacstd2,CDK7i (YKL),1,4.1768,log2(pseudobulk CPM+1)
GSE129297,Tacstd2,CDK7i+anti-PD-1,1,2.9386,log2(pseudobulk CPM+1)
GSE129297,Tacstd2,Control,1,2.4029,log2(pseudobulk CPM+1)
GSE129297,Tacstd2,anti-PD-1,1,2.7837,log2(pseudobulk CPM+1)
GSE297632,Cldn4,Control,1,0.4643,log2(pseudobulk CPM+1)
GSE297632,Cldn4,anti-PD-1,1,0.9003,log2(pseudobulk CPM+1)
GSE297632,Tacstd2,Control,1,0.6133,log2(pseudobulk CPM+1)
GSE297632,Tacstd2,anti-PD-1,1,0.3628,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD3 Combo,1,2.1036,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD3 Control,1,0.4959,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD45 21DC,1,0.1137,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD45 Combo,1,0.1287,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD45 Control,1,0.5424,log2(pseudobulk CPM+1)
GSE222158,Cldn4,CD45 anti-PD-1,1,0.1265,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD3 Combo,1,3.4635,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD3 Control,1,2.5747,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD45 21DC,1,3.6481,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD45 Combo,1,4.0842,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD45 Control,1,4.3928,log2(pseudobulk CPM+1)
GSE222158,Tacstd2,CD45 anti-PD-1,1,3.8416,log2(pseudobulk CPM+1)
