dataset,n_high,n_low,tacstd2_median,immune_mean_Tacstd2_high,immune_mean_Tacstd2_low,immune_delta_high_minus_low,welch_p,trop2_high_immune_low
E-MTAB-13704,14,13,6.7008,1.3469,1.1782,0.1687,0.007501191493447677,False
GSE114601,4,4,5.7167,0.9113,0.8915,0.0198,0.9438673736879297,False
GSE157880,8,8,2.6239,5.3825,5.4875,-0.105,0.7196441283794394,True
GSE169196,5,4,4.1226,4.2276,3.9772,0.2504,0.6340976331544358,False
GSE197260,4,3,4.009,4.3789,5.3846,-1.0057,0.3553646022382619,True
GSE239485,12,12,-1.5479,3.9519,3.3468,0.6051,0.14397316010584776,False
GSE309199,6,6,1.2404,0.5277,0.5182,0.0094,0.9425243417629462,False
