dataset,gene,comparison,n_control,n_treat,mean_control,mean_treat,log2FC,welch_t,welch_p_two,welch_p_up,mwu_p,kind
GSE239485,Cldn4,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0833,-3.8545,-0.7712,-1.2405,0.2377620022252269,0.8811189988873865,0.2786324786324786,polyIC+ICB
GSE297630,Cldn4,anti-PD-1 vs Control,3,3,12.44,11.98,-0.46,-10.7433,0.0006806128739064,0.9997872387168312,0.1,monotherapy
E-MTAB-13704,Cldn4,aPD-L1 vs vehicle,5,5,5.4714,5.1762,-0.2952,-1.374,0.2149340480847646,0.8925329759576177,0.3095238095238095,monotherapy
GSE114601,Cldn4,anti-PD1 vs Vehicle,2,2,6.1675,4.8445,-1.323,-1.7934,0.3229496782950528,0.8385251608524735,0.3333333333333333,monotherapy
GSE157880,Cldn4,PD-1 0Gy vs IgG 0Gy,3,2,2.5564,2.2322,-0.3242,-0.8548,0.4702351315089394,0.7648824342455303,0.8,monotherapy
GSE309199,Cldn4,aPD1 vs Ctrl,3,3,0.4619,0.7161,0.2541,0.5609,0.6063662451785281,0.303183122589264,0.7,monotherapy
GSE169196,Cldn4,A2V+aPD1 vs IgG,3,3,4.0418,3.6475,-0.3944,-0.8081,0.4701866617730418,0.7649066691134792,0.7,combo
