dataset,gene,comparison,metric,fold_change,p_value
GSE297630,Cldn4,anti-PD-1 vs Control,author Clariom P vs C,-1.36,0.0009
GSE297630,Tacstd2,anti-PD-1 vs Control,author Clariom P vs C,-1.09,0.4245
GSE241978,Cldn4,AhR-KO vs Control,author DE,-6.26821584883229,0.398462267676689
GSE241978,Tacstd2,AhR-KO vs Control,author DE,,
