dataset,gene,comparison,n_control,n_treat,mean_control,mean_treat,log2FC,welch_t,welch_p_two,welch_p_up,mwu_p,kind
GSE239485,Tacstd2,PolyIC+anti-PD1 vs Control vehicle,8,8,-3.0925,-0.9992,2.0932,4.6279,0.0006309787294674,0.0003154893647337,0.0006216006216006,polyIC+ICB
GSE297630,Tacstd2,anti-PD-1 vs Control,3,3,5.9433,5.79,-0.1533,-0.7079,0.5201207851956501,0.7409622580190705,0.7,monotherapy
E-MTAB-13704,Tacstd2,aPD-L1 vs vehicle,5,5,6.675,6.5525,-0.1225,-1.7665,0.1427762357100679,0.928611882144966,0.1507936507936507,monotherapy
GSE114601,Tacstd2,anti-PD1 vs Vehicle,2,2,7.1974,6.0421,-1.1553,-0.9664,0.4496700791000863,0.7751649604499569,0.6666666666666666,monotherapy
GSE157880,Tacstd2,PD-1 0Gy vs IgG 0Gy,3,2,2.3578,2.7056,0.3478,1.03,0.4335422831806585,0.2167711415903292,0.4,monotherapy
GSE309199,Tacstd2,aPD1 vs Ctrl,3,3,0.4504,0.9417,0.4913,0.7892,0.4742225607157797,0.2371112803578898,0.1840386271964254,monotherapy
GSE169196,Tacstd2,A2V+aPD1 vs IgG,3,3,4.1608,4.2872,0.1264,0.2291,0.8358606104484734,0.4179303052242367,1.0,combo
