patient	cohort	unit	file	n_cells	n_malignant_summed	n_genes	libsize
LX653	GSE123902	donor	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	392	145	16145	2016792.0
LX661	GSE123902	donor	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	4566	117	18471	1029399.0
LX666	GSE123902	donor	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	1316	786	17625	21807106.0
LX675	GSE123902	donor	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	3435	618	19856	7639844.0
LX676	GSE123902	donor	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	4014	147	18082	1125713.0
LX255B	GSE123902	donor	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	3886	228	16287	875902.0
LX679	GSE123902	donor	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	2017	497	17390	2954316.0
LX680	GSE123902	donor	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	941	258	18661	6147903.0
LX681	GSE123902	donor	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	1630	1207	18444	19376320.0
LX682	GSE123902	donor	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	4092	421	19451	4379677.0
LX684	GSE123902	donor	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	378	173	16173	1511890.0
LX699	GSE123902	donor	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	2671	46	17400	366899.0
LX701	GSE123902	donor	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	788	90	15684	1634709.0
