analysis	contrast	n	n_event	n_high	n_low	HR	HR_lo	HR_hi	cox_p	logrank_p
primary_median_DESeq	high_vs_low	347	231	174	173	0.890123649902113	0.687691136367593	1.15214530217755	0.376613352100819	0.376540757650142
sensitivity_tertile_T3_vs_T1	T3_vs_T1	232	150	116	116	0.874784175198787	0.634924362181659	1.20525750586851	0.413259771440355	0.415813407860246
sensitivity_Q4_vs_Q1	Q4_vs_Q1	174	109	87	87	0.927759303150119	0.637051008138928	1.35112779602396	0.695840203668666	0.697410892832975
sensitivity_median_log2CPM	high_vs_low	347	231	174	173	0.894173940600581	0.69078278018265	1.15745073413347	0.395609465568388	0.395340764794672
continuous_per_SD_unadjusted	per_SD	347	231	NA	NA	0.97948390536992	0.862519313185399	1.11230984189277	0.749354782946219	NA
