item	value
primary_ORR_fisher_OR_high_vs_low	1.465
primary_ORR_fisher_OR_95CI	0.821-2.637
primary_ORR_fisher_p	0.2139
primary_ORR_n_eval	298
primary_ORR_n_high_resp_over_n_high	39/149
primary_ORR_n_low_resp_over_n_low	29/149
primary_ORR_rate_high	0.262
primary_ORR_rate_low	0.195
primary_OS_HR_high_vs_low	0.890
primary_OS_HR_95CI	0.688-1.152
primary_OS_cox_p	0.3766
primary_OS_logrank_p	0.3765
primary_OS_n	347
primary_OS_n_event	231
CLDN4_median_log2_deseq	8.8693
n_rna_samples_in_cds	348
n_patients_after_dedup	347
n_duplicate_samples_dropped	1
n_NE_excluded_from_ORR	49
