subgroup	n_patients	n_orr	n_resp_high	n_high_orr	n_resp_low	n_low_orr	orr_high	orr_low	fisher_OR	fisher_OR_lo	fisher_OR_hi	fisher_p	n_os	n_event	HR	HR_lo	HR_hi	cox_p	logrank_p
all	347	298	39	149	29	149	0.261744966442953	0.194630872483221	1.46517809645035	0.821147206700448	2.63709218110539	0.213942191144239	347	231	0.890123649902113	0.687691136367593	1.15214530217755	0.376613352100819	0.376540757650142
IC0	97	83	7	42	6	41	0.166666666666667	0.146341463414634	1.16450258395412	0.300646215981312	4.657231818481	1	97	72	0.976374406868836	0.612865030961955	1.55549253787927	0.91984836297829	0.918888359265889
IC1	131	112	17	63	3	49	0.26984126984127	0.0612244897959184	5.59025876018137	1.47224920612338	31.7777951007439	0.00542114502208689	131	92	0.675893318369542	0.448769398963113	1.01796552722201	0.0608277551943979	0.0590675574604482
IC2+	118	102	15	44	20	58	0.340909090909091	0.344827586206897	0.982923439585897	0.394299226427934	2.42246339787508	1	118	67	0.883953465752703	0.540680526795193	1.44516713825019	0.622851759560611	0.618595957485537
platinum_Y	271	233	26	112	23	121	0.232142857142857	0.190082644628099	1.28675737139411	0.652596491193671	2.55097993007137	0.520216328011798	271	190	1.0089686170361	0.759125282500815	1.341040396929	0.95095539516543	0.952249436787812
platinum_N	76	65	13	37	6	28	0.351351351351351	0.214285714285714	1.96554481977528	0.572635186671914	7.46489694608474	0.278560655855622	76	41	0.588206314412743	0.317585907594769	1.08942701814242	0.0914907447404696	0.0887056980745162
liver	97	81	2	37	6	44	0.0540540540540541	0.136363636363636	0.366116657131793	0.0340029679342822	2.22359142766248	0.279418165667333	97	80	1.19034885739369	0.765547212395164	1.85087265599899	0.439112018371555	0.442369731239036
no_liver	218	190	29	100	15	90	0.29	0.166666666666667	2.03467600463834	0.962639287325723	4.44673854776641	0.0577809295757672	218	138	0.746976973495043	0.534600650335594	1.04372225993655	0.087408048280122	0.0868395483654369
TCGA_I	118	107	15	60	8	47	0.25	0.170212765957447	1.61775640378902	0.570419140009785	4.90802815730631	0.3526436440263	118	78	0.742940610671517	0.475158805015337	1.1616342687097	0.192586965172158	0.19142479313305
TCGA_II	94	75	15	54	6	21	0.277777777777778	0.285714285714286	0.96205944596224	0.281923709989673	3.61121079102533	1	94	58	0.998755095324673	0.554007346133087	1.80053883292257	0.996694526275779	0.997892549487001
TCGA_III	69	60	3	12	7	48	0.25	0.145833333333333	1.92782413196083	0.270143779262748	10.7654684684754	0.402733681463291	69	51	1.36152863694138	0.69534741277758	2.66594826578354	0.368037795636955	0.366745015973817
TCGA_IV	66	56	6	23	8	33	0.260869565217391	0.242424242424242	1.10100288102429	0.263335667406406	4.40178593645437	1	66	44	1.02841176845191	0.560362799895849	1.88740359939481	0.927943200185965	0.932933909105829
inflamed	74	62	7	29	12	33	0.241379310344828	0.363636363636364	0.562109946472318	0.155049698408208	1.90856332654745	0.409122537479148	74	43	1.00180738282533	0.548586494063	1.82946179525899	0.995310880621654	0.990780942104203
excluded	133	113	18	59	10	54	0.305084745762712	0.185185185185185	1.92055348356853	0.738909269489138	5.24049402245826	0.190796223554247	133	91	0.791082785035857	0.524273256682435	1.19367517759762	0.264201627455209	0.265773632396377
desert	76	69	9	39	5	30	0.230769230769231	0.166666666666667	1.49134925166488	0.387523144782058	6.43546712505767	0.56117428130265	76	55	0.938069711968289	0.547947675229047	1.60594674326236	0.815716167702979	0.815871683717035
