contrast	n	rho	p	q
CLDN4 vs DPT	65	0.0777097902097902	0.5383622623938942	0.5383622623938942
CLDN4 vs AT2 score	65	0.08557692307692308	0.4978978290457857	0.5383622623938942
CLDN4 vs club score	65	0.25977119506790086	0.03664236061884009	0.04711160650993725
CLDN4 vs basal score	65	0.26560314685314684	0.032485767898810664	0.04711160650993725
CLDN4 vs barrier/keratin (no CLDN4)	65	0.3756993006993007	0.00204207313791622	0.0036757316482491954
CLDN4 vs malignant-like score	65	0.5838723776223776	3.303328950015371e-07	9.909986850046112e-07
CLDN4 vs TACSTD2 (comparator)	65	0.5071678321678321	1.621603997119752e-05	3.648608993519442e-05
SFTPC vs DPT (control)	65	-0.673480937148553	7.882743000374195e-10	3.547234350168388e-09
AT2 score vs DPT (control)	65	-0.7860576923076923	8.711720887548712e-15	7.84054879879384e-14
